Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel Munich offer complimentary Wi-Fi throughout the property?	Yes, high-speed Wi-Fi is free of charge in all guestrooms and public areas.	High
General Information	Is the front desk at Leonardo Boutique Hotel Munich staffed 24 hours a day?	Yes, the reception desk is manned around the clock to assist guests at any time.	High
General Information	What are the standard check-in and check-out times at Leonardo Boutique Hotel Munich?	Check-in is from 15:00 while check-out is required by 12:00 noon.	High
General Information	Does Leonardo Boutique Hotel Munich provide multilingual staff to assist international guests?	Yes, team members speak several languages, including English and German, for international assistance.	Medium
General Information	Does Leonardo Boutique Hotel Munich have on-site parking, and is a fee applied?	Yes, a limited number of on-site parking spaces are available for a daily fee.	High
General Information	Is Leonardo Boutique Hotel Munich considered family-friendly for guests travelling with children?	Yes, baby cots are available on request and children are welcome to stay.	Medium
General Information	Does Leonardo Boutique Hotel Munich feature accessible rooms or facilities for guests with reduced mobility?	Yes, the property has barrier-free access and a limited number of accessible guestrooms.	Medium
General Information	How many guest rooms are available at Leonardo Boutique Hotel Munich?	The boutique property comprises 74 stylishly appointed non-smoking rooms.	Low
General Information	Does Leonardo Boutique Hotel Munich provide concierge services for sightseeing and dining reservations?	Yes, reception staff gladly arrange restaurant bookings, tickets and sightseeing information for guests.	Medium
Accommodation & Room Services	Are the guestrooms at Leonardo Boutique Hotel Munich equipped with individual air-conditioning and heating controls?	Yes, every room features individually adjustable air-conditioning and heating.	High
Accommodation & Room Services	Does every room at Leonardo Boutique Hotel Munich include tea and coffee-making facilities?	No, kettles are not standard; electric kettles can be supplied on request.	Medium
Accommodation & Room Services	Is a minibar or small refrigerator provided in the rooms at Leonardo Boutique Hotel Munich?	Yes, all guestrooms contain a stocked minibar for guests’ convenience.	High
Accommodation & Room Services	Does Leonardo Boutique Hotel Munich supply complimentary toiletries and a hairdryer in all bathrooms?	Yes, bathrooms include free toiletries, a makeup mirror and a wall-mounted hairdryer.	High
Accommodation & Room Services	Are irons and ironing boards available in the rooms or on request at Leonardo Boutique Hotel Munich?	Yes, irons and ironing boards can be borrowed from reception upon request.	Medium
Accommodation & Room Services	Can Leonardo Boutique Hotel Munich provide hypoallergenic bedding or extra pillows upon request?	Yes, housekeeping can deliver hypoallergenic bed linen or additional pillows when notified in advance.	Medium
Accommodation & Room Services	Is 24-hour room service available for guests staying at Leonardo Boutique Hotel Munich?	No, the hotel does not operate a 24-hour room-service programme.	Low
