Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel Larnaca provide complimentary high-speed Wi-Fi throughout the property?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public areas.	High
General Information	Is the front desk at Leonardo Boutique Hotel Larnaca staffed 24 hours a day?	Yes, the reception desk operates 24 hours daily to assist guests at any time.	High
General Information	How many guestrooms does Leonardo Boutique Hotel Larnaca offer?	The property features 65 elegantly appointed guestrooms and suites.	Medium
General Information	Is Leonardo Boutique Hotel Larnaca a completely non-smoking hotel?	Yes, the hotel enforces a strict non-smoking policy across all rooms and indoor spaces.	Medium
General Information	Does the team at Leonardo Boutique Hotel Larnaca speak multiple languages to assist international guests?	Yes, staff members communicate in English, Greek, German, French and Russian for international convenience.	Medium
General Information	Is secure self-parking available at or near Leonardo Boutique Hotel Larnaca and is a fee required?	Yes, secure public parking is available a short walk from the hotel, and a daily surcharge applies. [VERIFY]	High
General Information	Does Leonardo Boutique Hotel Larnaca feature an exclusive business lounge for eligible guests?	Yes, the Mona Liza Business Lounge offers exclusive seating and refreshments for guests with lounge access.	Medium
General Information	Is Leonardo Boutique Hotel Larnaca pet-friendly, and what is the maximum weight allowed for dogs?	Yes, well-behaved dogs up to 10 kg are welcome; a daily fee of €30 per room applies.	High
General Information	Are accessible rooms and public areas available at Leonardo Boutique Hotel Larnaca?	Yes, specially adapted guestrooms, elevators and wheelchair-accessible public areas are provided.	Medium
Accommodation & Room Services	Are all guestrooms at Leonardo Boutique Hotel Larnaca equipped with a minibar?	Yes, every guestroom includes a minibar tray stocked for purchase.	High
Accommodation & Room Services	Do rooms at Leonardo Boutique Hotel Larnaca include coffee and tea making facilities?	Yes, in-room kettles with complimentary coffee and tea supplies are provided.	High
Accommodation & Room Services	Is an iron and ironing board provided in every room at Leonardo Boutique Hotel Larnaca?	Yes, each room comes with an iron and ironing board for personal use.	High
Accommodation & Room Services	Do accommodations at Leonardo Boutique Hotel Larnaca feature soundproofing for added comfort?	Yes, guestroom walls and windows are sound-insulated to minimise outside noise.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel Larnaca replenish complimentary bottled water daily in the rooms?	Yes, complimentary bottled water is refreshed in every room each day.	Medium
Accommodation & Room Services	Are connecting or adjoining rooms available on request at Leonardo Boutique Hotel Larnaca?	Yes, interconnecting rooms are available on prior request, subject to availability.	Medium
Accommodation & Room Services	Do any suites at Leonardo Boutique Hotel Larnaca offer a private outdoor hot tub on the balcony?	Yes, the Skylight Suite features a private outdoor hot tub on its balcony.	Low
Accommodation & Room Services	Is laundry and dry-cleaning service available for guests staying at Leonardo Boutique Hotel Larnaca?	Yes, professional laundry, pressing and dry-cleaning services are offered for an additional fee.	High
Accommodation & Room Services	Are laptop-size safes provided in all rooms at Leonardo Boutique Hotel Larnaca?	Yes, every accommodation includes an electronic safe large enough for a laptop.	Medium
