Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Groningen offer complimentary high-speed Wi-Fi throughout all guest areas?	Yes, complimentary high-speed Wi-Fi is available throughout all guestrooms and public spaces.	High
General Information	Does Leonardo Hotel Groningen operate a 24-hour front desk for arrivals at any time of day or night?	Yes, a multilingual reception desk is staffed around the clock, welcoming arrivals at any hour.	High
General Information	What are the regular check-in and check-out times at Leonardo Hotel Groningen?	Check-in begins at 3:00 pm, while check-out is required by 12:00 noon.	High
General Information	Is Leonardo Hotel Groningen a fully non-smoking hotel?	Yes, the entire hotel is designated non-smoking, with no indoor smoking areas permitted.	Medium
General Information	Does Leonardo Hotel Groningen provide secure underground on-site parking and what is the daily fee?	Yes, covered underground parking is available on-site at a daily charge of €9.50 per vehicle.	High
General Information	Are electric-vehicle charging stations available at Leonardo Hotel Groningen’s car park?	Yes, electric-vehicle charging stations are installed within the hotel’s private parking garage for guest use.	High
General Information	Does Leonardo Hotel Groningen accept only debit/credit card payments, with no cash transactions?	Yes, the property is completely cash-free; all payments must be settled by debit or credit card.	Medium
General Information	Are family rooms or interconnected accommodation options available at Leonardo Hotel Groningen?	Yes, spacious family rooms are offered; however, interconnecting room layouts are not advertised.	Medium
General Information	Does the multilingual team at Leonardo Hotel Groningen speak Dutch, English and German to assist international guests?	Yes, staff members speak Dutch, English and German, ensuring smooth assistance for international travellers.	Medium
Accommodation & Room Services	Do all guestrooms at Leonardo Hotel Groningen feature individual climate control with air-conditioning?	Yes, every guestroom provides individual climate control with integrated air-conditioning for personalised comfort.	High
Accommodation & Room Services	Are tea- and coffee-making facilities, including an electric kettle, provided in every room at Leonardo Hotel Groningen?	Yes, each room includes an electric kettle with complimentary tea and coffee-making supplies.	High
Accommodation & Room Services	Are the rooms at Leonardo Hotel Groningen sound-proofed for enhanced sleeping comfort?	Yes, guestrooms are constructed with sound-proofing to promote a restful night’s sleep.	Medium
Accommodation & Room Services	Does Leonardo Hotel Groningen supply in-room laptop-size safes for personal valuables?	Yes, laptop-compatible safes are fitted in every room to secure personal valuables.	Medium
Accommodation & Room Services	Can guests request an iron and ironing board during their stay at Leonardo Hotel Groningen?	Yes, irons and ironing boards are available on request through housekeeping or reception.	Medium
Accommodation & Room Services	Does Leonardo Hotel Groningen offer eco-friendly housekeeping with cleaning on request via its hotel app?	Yes, eco-friendly housekeeping is provided; rooms are cleaned only when requested via the Duve hotel app.	Low
Accommodation & Room Services	Are interconnecting rooms available at Leonardo Hotel Groningen for families or groups?	Currently, interconnecting rooms are not offered; families may reserve adjacent rooms or dedicated family categories instead. [VERIFY]	Low
Accommodation & Room Services	Are baby cribs or extra beds available at Leonardo Hotel Groningen and what are the applicable charges?	Yes, baby cribs cost €12.50 per night and extra beds €35 per night, both subject to request and availability.	Low
Accommodation & Room Services	Does Leonardo Hotel Groningen provide 24-hour in-room dining or limited room-service hours?	Limited room service is available during set hours; 24-hour in-room dining is not provided. [VERIFY]	Medium
Food & Beverage	Which dining venues are available at Leonardo Hotel Groningen, and is Chef’s! Food & Drinks the main restaurant?	Chef’s! Food & Drinks serves as the main restaurant on the third floor, complemented by a stylish lobby bar for drinks and snacks.	High
Food & Beverage	What are the weekday breakfast-buffet hours at Leonardo Hotel Groningen?	The breakfast buffet is served Monday to Friday from 07:00 until 10:00.	High
Food & Beverage	What are the weekend breakfast-buffet hours at Leonardo Hotel Groningen?	On Saturdays breakfast is available 08:00–11:00, and on Sundays it extends until 12:00.	High
Food & Beverage	Does Leonardo Hotel Groningen provide round-the-clock (24/7) breakfast service for guests who prefer flexible dining times?	Yes, guests may order breakfast items at any hour through the hotel’s 24-hour breakfast service.	Low
Food & Beverage	Are vegetarian and vegan menu options available at Leonardo Hotel Groningen’s restaurant?	Yes, vegetarian and vegan dishes are featured on the Chef’s! Food & Drinks menu.	Medium
Food & Beverage	Can Leonardo Hotel Groningen accommodate gluten-free, halal or other special-diet requests?	Yes, the restaurant can accommodate gluten-free, halal, kosher and other special dietary requirements upon request.	Medium
Food & Beverage	What are the daily opening hours of the bar at Leonardo Hotel Groningen?	The bar opens daily at 12:00 pm and closes at midnight, offering cocktails and light bites.	Medium
Food & Beverage	Does Leonardo Hotel Groningen offer room-service dining, and are kid-friendly meals available?	Yes, room service is offered within limited hours and includes child-friendly meal options.	Medium
Food & Beverage	Is advance booking required for lunch or dinner at Chef’s! Food & Drinks inside Leonardo Hotel Groningen?	No, advance reservations are generally unnecessary, yet they are advisable during busy periods to secure preferred dining times.	Low
Policies & Terms	Are pets permitted at Leonardo Hotel Groningen, and are assistance dogs exempt from restrictions?	No, pets are not permitted; certified assistance dogs are welcomed without restrictions or fees.	High
Policies & Terms	What is the minimum age requirement for check-in at Leonardo Hotel Groningen?	The minimum age to check in is 18 years.	Medium
Policies & Terms	Does Leonardo Hotel Groningen offer express check-in and express check-out services?	Yes, express check-in and express check-out are available for added convenience.	Low
Policies & Terms	Is Leonardo Hotel Groningen a cash-free property, requiring payment by card only?	Yes, the hotel operates on a cash-free basis, accepting major debit and credit cards only.	Medium
Policies & Terms	Does Leonardo Hotel Groningen provide flexible or free-cancellation rate options when booking directly?	Yes, flexible and in many cases free-cancellation rates are available when booking directly through official channels.	Medium
Policies & Terms	Does Leonardo Hotel Groningen offer complimentary baggage storage before check-in or after check-out?	Yes, complimentary luggage storage is provided both before check-in and after check-out.	Low
Policies & Terms	What group-booking conditions apply when reserving more than nine rooms at Leonardo Hotel Groningen?	For bookings of ten rooms or more, special group terms and additional charges apply; contact the sales team for full details.	Low
Policies & Terms	Are cribs or extra beds subject to a nightly surcharge at Leonardo Hotel Groningen, and how should guests reserve them?	Yes, cribs cost €12.50 and extra beds €35 per night; advance request is required. [duplicate]	Low
Location & Transportation	How far is Leonardo Hotel Groningen from Groningen Central Station, and what transport options connect the two?	The hotel is about 2 km from Groningen Central Station, reachable in roughly 5 minutes by bus or 20 minutes on foot.	High
Location & Transportation	What is the distance between Groningen Airport Eelde and Leonardo Hotel Groningen, and is public transport available?	Groningen Airport Eelde lies approximately 12 km away; scheduled buses and taxis provide convenient public transport connections.	Medium
Location & Transportation	Which bus stop is closest to Leonardo Hotel Groningen, and how many metres away is it located?	The nearest stop is ‘Overwinningsplein’, situated about 50 metres from the hotel entrance.	Low
