Category	Question	Answer	Frequency Level
General Information	1. Does NYX Hotel Thessaloniki provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available in all rooms and public spaces.	High
General Information	2. Is the front desk at NYX Hotel Thessaloniki staffed 24 hours a day?	Yes, the reception desk operates 24 hours daily, providing continuous guest assistance.	High
General Information	3. What are the standard check-in and check-out times at NYX Hotel Thessaloniki?	Standard check-in begins at 15:00, while check-out is requested by 12:00.	High
General Information	4. Is NYX Hotel Thessaloniki entirely non-smoking?	Yes, the property is designated as a completely smoke-free hotel, including all rooms and public areas.	High
General Information	5. Does NYX Hotel Thessaloniki offer on-site meeting and conference facilities?	Yes, fully equipped meeting and conference rooms are available on site for corporate or private events.	High
General Information	6. Is there an exclusive Business Lounge at NYX Hotel Thessaloniki, and who may access it?	Yes, a dedicated Business Lounge exists; access is included for rooms and suites booked with ‘Business Lounge Access’ privileges.	High
General Information	7. Are all public areas at NYX Hotel Thessaloniki fully air-conditioned?	Yes, all guest areas are air-conditioned, ensuring a comfortable indoor climate throughout the hotel.	High
General Information	8. Does NYX Hotel Thessaloniki have multilingual staff available at reception?	Yes, reception staff speak English, Greek and German, assisting international guests in multiple languages.	Medium
General Information	9. Are baggage-handling and porter services provided at NYX Hotel Thessaloniki?	Yes, porter and luggage-handling services are provided to assist guests with their baggage on arrival and departure.	Medium
Accommodation & Room Services	10. Do guest rooms at NYX Hotel Thessaloniki include in-room tea and coffee-making facilities?	Yes, every guest room is equipped with an in-room tea and coffee maker for complimentary use.	Medium
Accommodation & Room Services	11. Is a minibar available in every room at NYX Hotel Thessaloniki?	Yes, a stocked minibar is available in each accommodation category for added convenience.	Medium
Accommodation & Room Services	12. Are smart flat-screen TVs with international channels provided in all accommodation categories at NYX Hotel Thessaloniki?	Yes, all rooms feature smart flat-screen televisions offering international satellite channels and streaming capability.	High
Accommodation & Room Services	13. Can NYX Hotel Thessaloniki supply hypo-allergenic bedding or pillows on request?	Yes, hypo-allergenic pillows or bedding can be provided on request prior to arrival.	Medium
Accommodation & Room Services	14. Is 24-hour room service available to guests staying at NYX Hotel Thessaloniki?	Yes, room service operates around the clock, with menus covering breakfast, all-day dining and late-night snacks.	High
Accommodation & Room Services	15. May guests order an early-breakfast box from NYX Hotel Thessaloniki for early departures?	Yes, complimentary early-departure breakfast boxes may be ordered in advance for guests leaving before restaurant opening hours.	Medium
Accommodation & Room Services	16. Are cribs or extra beds for infants provided free of charge at NYX Hotel Thessaloniki?	Yes, cribs for infants up to two years are supplied free of charge, subject to availability.	Medium
Accommodation & Room Services	17. Does NYX Hotel Thessaloniki offer interconnected family rooms for larger parties?	Yes, the hotel offers two-bedroom interconnected Family Rooms ideal for larger parties.	Medium
Accommodation & Room Services	18. Is daily housekeeping included in the room rate at NYX Hotel Thessaloniki?	Yes, daily housekeeping and fresh towel service are included in the nightly room rate.	Medium
Food & Beverage	19. Does NYX Hotel Thessaloniki offer an early-bird buffet breakfast between 04:00 and 06:30?	Yes, an Early-Bird buffet is laid out from 04:00 to 06:30 for departing guests.	Medium
Food & Beverage	20. What are the weekday buffet-breakfast hours at NYX Hotel Thessaloniki?	The weekday breakfast buffet runs from 07:00 until 10:30 Monday through Friday.	Medium
Food & Beverage	21. Can guests enjoy all-day à-la-carte dining at Clash Restaurant in NYX Hotel Thessaloniki?	Yes, Clash Restaurant serves an à-la-carte menu continuously between 12:00 and 23:00.	Medium
Food & Beverage	22. Does NYX Hotel Thessaloniki feature an indoor-outdoor lounge & bar for signature cocktails?	Yes, an integrated indoor-outdoor Clash Lounge & Bar pours signature cocktails throughout the day.	Medium
Food & Beverage	23. Is 24-hour in-room dining available at NYX Hotel Thessaloniki outside restaurant hours?	Yes, the 24-hour room-service menu remains available when restaurant outlets are closed.	High
Food & Beverage	24. Does Clash Restaurant at NYX Hotel Thessaloniki provide outdoor seating options?	Yes, the restaurant provides alfresco seating, allowing guests to dine outdoors weather permitting.	Medium
Food & Beverage	25. Are premium drinks and refined bites served in the adult-only Clash Business Lounge at NYX Hotel Thessaloniki?	Yes, guests aged 18 and over enjoy premium beverages and light bites in the exclusive Business Lounge.	Medium
Food & Beverage	26. Is the weekend breakfast at NYX Hotel Thessaloniki extended until 11:00?	Yes, on Saturdays and Sundays the buffet breakfast service is extended until 11:00.	Medium
Food & Beverage	27. Does NYX Hotel Thessaloniki offer a late-night snack menu via room service after 23:00?	Yes, a dedicated late-night snack selection is offered via room service from 23:00 to 07:00.	Medium
Policies & Terms	28. What is the minimum age required to check in at NYX Hotel Thessaloniki?	The minimum legal age for check-in is 18 years, with valid photo identification required.	Medium
Policies & Terms	29. How do cancellation and pre-payment policies work at NYX Hotel Thessaloniki?	Cancellation and pre-payment conditions depend on the chosen rate; flexible and non-refundable options are clearly stated during booking.	Medium
Policies & Terms	30. Does NYX Hotel Thessaloniki welcome pets, and what fees or weight limits apply?	Yes, well-behaved dogs up to 8 kg are welcome for an additional daily cleaning fee.	High
Policies & Terms	31. Are group reservations of more than five rooms at NYX Hotel Thessaloniki subject to special conditions?	Yes, bookings of six or more rooms are subject to special group terms and potential pre-payment requirements.	Medium
Policies & Terms	32. Which payment cards are accepted at NYX Hotel Thessaloniki upon check-in?	Visa, Mastercard and Maestro credit or debit cards are accepted; the hotel reserves the right to pre-authorise prior to arrival.	Medium
Policies & Terms	33. Does NYX Hotel Thessaloniki accept cash payments at the front desk?	No, the front desk does not accept cash; all charges must be settled by an approved payment card.	Medium
Policies & Terms	34. Are children of all ages welcome to stay at NYX Hotel Thessaloniki?	Yes, children of every age are warmly welcomed to stay when accompanied by an adult.	Medium
Policies & Terms	35. Are parties or similar private events permitted at NYX Hotel Thessaloniki?	No, bachelor parties or similar events are not permitted on the premises.	Medium
Policies & Terms	36. Are extra beds for older children available at NYX Hotel Thessaloniki, and is there an additional charge?	Yes, extra beds for guests aged three and above are available free of charge, subject to request and availability.	Medium
Location & Transportation	37. Where is NYX Hotel Thessaloniki located, and what is the full street address?	The property is located at 1 Tsimiski Street, Thessaloniki 546 25, Greece.	High
Location & Transportation	38. How long does a typical taxi journey from Thessaloniki Airport (SKG) to NYX Hotel Thessaloniki take?	A typical taxi ride from SKG Airport to the hotel lasts approximately 30 minutes in normal traffic.	High
Location & Transportation	39. Which airport bus line connects Thessaloniki Airport to NYX Hotel Thessaloniki, and where should guests alight?	OASTH airport bus 01X (or night service 01N) connects the airport; alight at ‘Platia Aristotelous’ stop, five minutes’ walk away.	High
Location & Transportation	40. Can NYX Hotel Thessaloniki arrange a private airport transfer, and what is the approximate cost?	Yes, private transfers can be arranged through the concierge; the one-way fare is about €55 for a standard sedan. [VERIFY]	Medium
Location & Transportation	41. How far is NYX Hotel Thessaloniki from the White Tower of Thessaloniki?	The landmark White Tower lies roughly 1.4 kilometres east of the hotel, an easy 15-minute stroll.	Medium
Location & Transportation	42. Can guests walk from NYX Hotel Thessaloniki to Aristotelous Square, and what is the distance?	Yes, guests can walk to Aristotelous Square in roughly 350 metres, under five minutes on foot.	High
Location & Transportation	43. Does NYX Hotel Thessaloniki offer on-site parking for guests?	No, the property does not offer its own parking; nearby public garages are available for a fee.	Medium
Location & Transportation	44. How close is NYX Hotel Thessaloniki to the Ladadika nightlife district?	The vibrant Ladadika nightlife quarter begins about 90 metres from the entrance, less than two minutes’ walk.	Medium
Location & Transportation	45. What public-transport options are available within 50 metres of NYX Hotel Thessaloniki?	Yes, a city bus stop serving multiple local lines is situated approximately 50 metres from the lobby.	Medium
Activities & Entertainment	46. Does NYX Hotel Thessaloniki feature a fully equipped gym for guest workouts?	Yes, a modern fitness studio is available for guests’ workouts at no additional cost.	High
Activities & Entertainment	48. Are retro-style arcade games available for guest entertainment at NYX Hotel Thessaloniki?	Yes, a dedicated retro-style arcade zone with classic video games offers light-hearted entertainment.	Medium
Activities & Entertainment	49. Is there a dedicated co-working station with high-speed Wi-Fi at NYX Hotel Thessaloniki?	Yes, a stylish co-working station with high-speed Wi-Fi and power outlets is provided in the lobby area.	Medium
Activities & Entertainment	50. Can meeting rooms at NYX Hotel Thessaloniki be reserved for corporate events or private functions?	Yes, meeting spaces can be pre-booked for corporate gatherings, training sessions or private celebrations through the events team.	High
Activities & Entertainment	51. Is access to the Clash Business Lounge at NYX Hotel Thessaloniki restricted to guests aged 18 and over?	Yes, admission to the Business Lounge is limited to guests aged eighteen or above.	Medium
Activities & Entertainment	52. What are the opening hours of the Clash Business Lounge at NYX Hotel Thessaloniki?	The lounge welcomes eligible guests daily from 07:00 until 21:00.	Medium
Activities & Entertainment	53. Is the gym at NYX Hotel Thessaloniki equipped with both treadmills and free weights?	Yes, the gym contains both cardio treadmills and a section with free weights for strength training. [VERIFY]	Medium
Activities & Entertainment	54. What are the operating hours of the gym at NYX Hotel Thessaloniki?	Information is currently not available. [VERIFY]	Medium
Activities & Entertainment	55. Is the co-working station at NYX Hotel Thessaloniki accessible outside standard business hours?	Information on after-hours access to the co-working station is currently not available. [VERIFY]	Low
