Category	Question	Answer	Frequency Level
General Information	What are the standard check-in and check-out times at Leonardo Hotel Cork?	Standard check-in begins at 3:00 pm, while check-out is requested by 11:00 am.	High
General Information	Does Leonardo Hotel Cork operate a 24-hour front desk for guest assistance?	Yes, an attentive reception team is on duty around the clock for all guest needs.	High
General Information	Does Leonardo Hotel Cork provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, unlimited high-speed Wi-Fi is free in guestrooms, public areas, and meeting spaces.	High
General Information	How many guestrooms does Leonardo Hotel Cork have, and are family rooms available?	The hotel offers 133 guestrooms in total, including spacious dedicated family rooms.	Medium
General Information	Is Leonardo Hotel Cork a completely non-smoking property?	Yes, the entire building—including all bedrooms and public areas—is strictly non-smoking.	Medium
General Information	Does Leonardo Hotel Cork employ multilingual staff at the reception desk?	Yes, receptionists converse in several languages such as English, Spanish, Polish and Portuguese.	Medium
General Information	Has Leonardo Hotel Cork been awarded the Gold Green Tourism Badge for sustainability practices?	Yes, the property proudly holds the prestigious Gold Green Tourism Badge for eco-initiatives.	Low
General Information	Does Leonardo Hotel Cork accept cashless payments only for all services?	Yes, the property is fully cash-free; payment is accepted by card or digital methods only.	Low
General Information	Is Leonardo Hotel Cork equipped with accessible facilities and wheelchair-adapted guestrooms?	Yes, step-free access, lifts and specially adapted wheelchair-friendly rooms are available on request.	High
Accommodation & Room Services	What in-room amenities are standard at Leonardo Hotel Cork, such as flat-screen TVs and coffee/tea facilities?	Every room features a DREAM bed, flat-screen Freeview TV, tea- and coffee-making set, desk, free Wi-Fi and complimentary toiletries.	High
Accommodation & Room Services	Are DREAM beds featured in every guest room at Leonardo Hotel Cork?	Yes, all accommodation categories are fitted with the brand’s signature DREAM beds for enhanced comfort.	Medium
Accommodation & Room Services	Does Leonardo Hotel Cork provide complimentary infant cribs or cots on request?	Yes, infant cribs are supplied free of charge for children up to two years, subject to availability.	High
Accommodation & Room Services	Are wheelchair-accessible rooms available at Leonardo Hotel Cork, and how can they be reserved?	Yes, adapted rooms can be pre-booked directly with the reservations team to guarantee suitable allocation.	High
Accommodation & Room Services	Does Leonardo Hotel Cork offer room service, and what are its operating hours?	Yes, a full room-service menu is available daily from 12:00 pm until 9:30 pm.	High
Accommodation & Room Services	Does Leonardo Hotel Cork supply eco-friendly spa toiletries in each bathroom?	Yes, bathrooms are stocked with complimentary spa-style toiletries aligned with the hotel’s sustainability ethos.	Medium
Accommodation & Room Services	Is a laundry and dry-cleaning service available at Leonardo Hotel Cork?	Yes, professional same-day laundry and dry-cleaning services can be arranged through reception.	Medium
Accommodation & Room Services	Do rooms at Leonardo Hotel Cork include a well-lit work desk suitable for business travellers?	Yes, each guestroom provides a brightly lit desk space with power points for productive work.	Low
Accommodation & Room Services	Are superior rooms at Leonardo Hotel Cork inclusive of daily Lavazza coffee and a complimentary newspaper?	Yes, the Superior Package includes one Lavazza coffee per day plus a newspaper on request.	Low
Food & Beverage	Does Leonardo Hotel Cork serve a daily buffet breakfast, and what are the service hours on weekdays and weekends?	Yes, the extensive buffet runs 6:30–10:00 am Monday–Friday and 7:00–11:00 am on weekends and public holidays.	High
Food & Beverage	What lunch and dinner service times are offered at the restaurant in Leonardo Hotel Cork?	Lunch is available from 12:00 pm to 9:30 pm, with dinner service focused 6:00 pm to 9:30 pm daily.	Medium
Food & Beverage	Does Leonardo Hotel Cork cater for vegetarian and vegan dietary requirements?	Yes, vegetarian dishes are highlighted and additional vegan choices are prepared on request with prior notice.	Medium
Food & Beverage	Are gluten-free options available at breakfast in Leonardo Hotel Cork?	Yes, gluten-free items can be provided at the breakfast buffet when requested from the team.	Low
Food & Beverage	Does Leonardo Hotel Cork provide a dedicated children’s menu in its restaurant or bar?	Yes, a separate Kids Menu is available, offering child-friendly portions and favourites.	Medium
Food & Beverage	Does the bar at Leonardo Hotel Cork overlook the River Lee?	Yes, the stylish bar enjoys panoramic views across the River Lee from its riverside setting.	Low
