Category	Question	Answer	Frequency Level
General Information	האם מלון לאונרדו סיטי טאוור רמת גן מציע אינטרנט אלחוטי ‎(Wi-Fi)‎ ללא תשלום בכל רחבי המלון?	כן, רשת ‎Wi-Fi‎ מהירה וחינמית פרוסה בכל חדרי המלון והשטחים הציבוריים.	High
General Information	האם במלון לאונרדו סיטי טאוור רמת גן פועל דלפק קבלה במשך 24 שעות ביממה?	כן, דלפק הקבלה מאויש 24 שעות ביממה לכל שאלה או שירות.	High
General Information	האם צוות מלון לאונרדו סיטי טאוור רמת גן דובר שפות בינלאומיות כגון עברית ואנגלית?	כן, אנשי הצוות מקבלים אורחים בעברית, באנגלית ובשפות נוספות נחוצות.	Medium
General Information	האם מלון לאונרדו סיטי טאוור רמת גן כולל טרקלין עסקים ייעודי לאורחים?	כן, טרקלין עסקים שקט עם כיבוד קל ונקודות עבודה ממתין לאורחים.	High
General Information	האם במלון לאונרדו סיטי טאוור רמת גן קיימים מתקנים ושירותים לאורחים עם מוגבלויות?	כן, מתקני גישה, חדרים מותאמים ומעליות נגישות זמינים לאורחים עם מוגבלויות.	High
General Information	האם שירות Welcome Baby הזמין במלון לאונרדו סיטי טאוור רמת גן כולל ציוד לתינוקות ומזון מותאם?	כן, שירות Welcome Baby כולל מיטת תינוק, מחמם בקבוקים ומזון תינוק מותאם.	Low
General Information	האם בטרקלין העסקים של מלון לאונרדו סיטי טאוור רמת גן ניתן לקבל שירותי פקס, צילום וחיבור אינטרנט?	כן, בטרקלין ניתנים שירותי פקס, צילום, מחשב ואינטרנט לנוחות אנשי העסקים.	Medium
General Information	כמה חדרי ישיבות וכנסים עומדים לרשות האורחים במלון לאונרדו סיטי טאוור רמת גן?	במקום שמונה אולמות ישיבות וכנסים המצוידים בטכנולוגיה מתקדמת ו-Wi-Fi.	Medium
General Information	האם מלון לאונרדו סיטי טאוור רמת גן מתאים הן לאירוח עסקי והן לחופשות פנאי?	כן, השילוב בין מיקום, ספא, בריכה וטרקלין הופך אותו מושלם לעסקים ולפנאי.	Medium
Accommodation & Room Services	האם כל חדרי מלון לאונרדו סיטי טאוור רמת גן מצוידים במיני-בר?	כן, כל החדרים מצוידים במיני-בר המאובזר במשקאות קרירים ונשנושים.	High
Accommodation & Room Services	האם חדרי מלון לאונרדו סיטי טאוור רמת גן כוללים ערכת קפה ותֵה לשימוש חופשי?	כן, ערכות קפה ותה איכותיות זמינות בכל חדר ללא תשלום נוסף.	High
Accommodation & Room Services	האם ניתן להזמין שירות חדרים במשך 24 שעות ביממה במלון לאונרדו סיטי טאוור רמת גן?	כן, שירות חדרים פועל סביב השעון להזמנות אוכל, שתייה ונוחות נוספת.	High
Accommodation & Room Services	האם ניתן לקבל מיטת תינוק (Crib) בחדר במלון לאונרדו סיטי טאוור רמת גן?	כן, ניתן להזמין מיטת תינוק מראש והיא תוצב בחדר עם ההגעה.	High
Accommodation & Room Services	האם זמינים חדרים עם נוף לבריכה במלון לאונרדו סיטי טאוור רמת גן?	כן, קטגוריית Pool View מציעה חדרים המשקיפים לבריכת הגג ולאופק העירוני.	Medium
Accommodation & Room Services	האם חדרי מלון לאונרדו סיטי טאוור רמת גן כוללים כספת אישית?	כן, כספת אלקטרונית אישית מותקנת בכל חדר לשמירת פריטים יקרי ערך.	High
Accommodation & Room Services	האם ניתן לקבל מגהץ וקרש גיהוץ על-פי בקשה במלון לאונרדו סיטי טאוור רמת גן?	כן, מגהץ וקרש גיהוץ יסופקו לחדר על-פי בקשה מראש לקבלה.	Medium
Accommodation & Room Services	האם במלון לאונרדו סיטי טאוור רמת גן מוצעות סוויטות ג׳וניור וסוויטות נשיאותיות?	כן, מוצעות סוויטות ג׳וניור מרווחות וסוויטות נשיאותיות אלגנטיות בקומות הגבוהות.	High
Accommodation & Room Services	האם קיימת אפשרות לחדרים מקושרים במלון לאונרדו סיטי טאוור רמת גן וכיצד מזמינים זאת?	כן, קיימת אפשרות לחדרים מקושרים; יש לציין דרישה זו בעת ההזמנה. [VERIFY]	Medium
Food & Beverage	האם מלון לאונרדו סיטי טאוור רמת גן מגיש ארוחת בוקר בסגנון בופה?	כן, ארוחת בוקר עשירה מוגשת מדי יום במזנון בופה מגוון ועכשווי.	High
Food & Beverage	אילו אפשרויות תזונה – כשר, צמחוני, טבעוני או ללא-גלוטן – זמינות במסעדות מלון לאונרדו סיטי טאוור רמת גן?	כן, ניתן לקבל מנות כשרות, צמחוניות, טבעוניות וללא-גלוטן בהזמנה מוקדמת.	High
Food & Beverage	האם מסעדת Arugula במלון לאונרדו סיטי טאוור רמת גן פתוחה גם לארוחות צהריים?	כן, מסעדת Arugula מגישה גם ארוחות צהריים בסגנון בופה או א-לה-קארט.	Medium
Food & Beverage	האם ב-Pool Bar של מלון לאונרדו סיטי טאוור רמת גן מוגשים משקאות ונשנושים על שפת הבריכה?	כן, בר-הבריכה מגיש משקאות קלים, קוקטיילים ונשנושים ליד המים.	Medium
Food & Beverage	האם במלון לאונרדו סיטי טאוור רמת גן פועלת מסעדה חלבית-איטלקית בסגנון Tapesta?	כן, פועלת במקום מסעדה חלבית-איטלקית בסגנון Tapesta עם תפריט אותנטי.	Medium
Food & Beverage	האם ניתן להזמין שירות „ארוחת בוקר בחדר” במלון לאונרדו סיטי טאוור רמת גן?	כן, שירות 'ארוחת בוקר בחדר' זמין להזמנה וניתן לאורך כל היום.	High
Food & Beverage	האם ניתן להזמין מנות ללא גלוטן מראש במלון לאונרדו סיטי טאוור רמת גן?	כן, מנות ללא גלוטן אפשר להזמין מראש וצוות המטבח יכין אותן בנפרד.	Medium
Food & Beverage	האם קיים בית-קפה/קונדיטוריה במלון לאונרדו סיטי טאוור רמת גן המגיש קפה ומאפים לאורך היום?	כן, בלובי פועל בית-קפה המגיש קפה גורמה ומאפים טריים במשך היום.	Medium
Food & Beverage	האם מסעדת Tapas Bar במלון לאונרדו סיטי טאוור רמת גן פתוחה גם לארוחות ערב?	כן, Tapas Bar מקבל אורחים גם לארוחות ערב עם תפריט ים-תיכוני כשר.	Medium
Policies & Terms	מהי שעת הצ׳ק-אין במלון לאונרדו סיטי טאוור רמת גן?	שעת הצ׳ק-אין בימי חול היא 15:00, ובשבתות וחגים החל מ-18:00.	High
Policies & Terms	מהי שעת הצ׳ק-אאוט במלון לאונרדו סיטי טאוור רמת גן?	שעת הצ׳ק-אאוט בימי חול היא 11:00, ובשבתות וחגים עד 16:00.	High
Policies & Terms	האם ניתן להזמין צ׳ק-אאוט מאוחר במלון לאונרדו סיטי טאוור רמת גן ומהי העלות?	כן, ניתן לתאם צ׳ק-אאוט מאוחר מול הקבלה תמורת תוספת תשלום ובכפוף לזמינות. [VERIFY]	Medium
Policies & Terms	מהו פיקדון הביטחון הנדרש בעת ההגעה למלון לאונרדו סיטי טאוור רמת גן?	נדרש פיקדון ביטחון בגובה ‎₪500‎ בכרטיס אשראי בעת ההגעה, מוחזר ביציאה.	High
