Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Groningen City Center provide complimentary high-speed Wi-Fi throughout the property?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public areas.	High
General Information	Is the front desk at Leonardo Hotel Groningen City Center staffed 24 hours a day?	Yes, the welcoming reception team is on duty around the clock, 24 hours daily.	High
General Information	What are the standard check-in and check-out times at Leonardo Hotel Groningen City Center?	Check-in begins at 15:00, while check-out is requested by 12:00 midday.	High
General Information	How many guest rooms are there at Leonardo Hotel Groningen City Center?	The property comprises 93 contemporary guest rooms across several categories.	Medium
General Information	Is Leonardo Hotel Groningen City Center a completely non-smoking hotel?	Yes, all interior spaces are 100 percent non-smoking for guest comfort.	High
General Information	Does Leonardo Hotel Groningen City Center employ multilingual staff at reception?	Yes, receptionists speak Dutch, English and German to assist international travellers.	Medium
General Information	What is the minimum age required to check in at Leonardo Hotel Groningen City Center?	The minimum legal age for registration and check-in is eighteen years.	Medium
General Information	Does Leonardo Hotel Groningen City Center offer express check-in or digital key facilities?	Currently, private express check-in is offered; digital key access requires confirmation. [VERIFY]	Low
Accommodation & Room Services	Are guest rooms at Leonardo Hotel Groningen City Center equipped with individual air-conditioning and heating controls?	Yes, every room features individually controlled air-conditioning and adjustable heating.	High
Accommodation & Room Services	Does Leonardo Hotel Groningen City Center provide an in-room coffee and tea set with an electric kettle?	Yes, an electric kettle with complimentary coffee and tea is provided in-room.	High
Accommodation & Room Services	Is a pillow menu or premium bedding available in all rooms at Leonardo Hotel Groningen City Center?	Yes, premium bedding and a selectable pillow menu are standard in all rooms.	Medium
Accommodation & Room Services	Do rooms at Leonardo Hotel Groningen City Center include blackout drapes for enhanced sleep quality?	Yes, blackout curtains ensure a restful, light-free sleeping environment in each room.	Medium
Accommodation & Room Services	Does Leonardo Hotel Groningen City Center offer complimentary cribs for infants on request?	Yes, cribs for infants up to two years are supplied free on request.	Medium
Accommodation & Room Services	Can guests request an iron and ironing board during their stay at Leonardo Hotel Groningen City Center?	Yes, irons and ironing boards can be delivered to the room upon request. [VERIFY]	Medium
Accommodation & Room Services	Are accessible guestrooms with roll-in showers or grab-rail toilets available at Leonardo Hotel Groningen City Center?	Yes, several accessible rooms include grab-rail toilets; roll-in showers can be requested. [VERIFY]	Medium
Accommodation & Room Services	Is daily housekeeping included as part of the stay at Leonardo Hotel Groningen City Center?	Yes, daily housekeeping service is included in the room rate unless declined by guests.	High
Food & Beverage	Does Leonardo Hotel Groningen City Center serve a daily buffet breakfast on site?	Yes, a generous daily buffet breakfast is served in the on-site restaurant.	High
Food & Beverage	What are the usual breakfast hours at Leonardo Hotel Groningen City Center on weekdays and weekends?	Breakfast generally operates 07:00–10:00 on weekdays and extends to 11:00 weekends. [VERIFY]	Medium
Food & Beverage	Are vegetarian or vegan options available at the breakfast buffet in Leonardo Hotel Groningen City Center?	Yes, vegetarian and vegan selections are available within the breakfast buffet every morning.	Medium
Food & Beverage	Does Leonardo Hotel Groningen City Center offer children’s pricing for breakfast?	Yes, reduced children’s pricing applies; breakfast is approximately €9.25 per child.	Low
Food & Beverage	Is there an elegant lobby bar at Leonardo Hotel Groningen City Center serving wine, cocktails, and bar snacks?	Yes, the stylish lobby bar pours wines, cocktails and light bar snacks until midnight.	High
