Category	Question	Answer	Frequency Level
General Information	Is Leonardo Plaza Cypria Maris Beach Hotel & Spa an adults-only resort and what is the minimum guest age?	Yes, the resort is strictly adults-only, welcoming guests aged sixteen years and above.	High
General Information	How many guest rooms are available at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	There are 382 stylish guest rooms and suites available for reservation.	Medium
General Information	Does Leonardo Plaza Cypria Maris Beach Hotel & Spa provide complimentary high-speed Wi-Fi throughout the property?	Yes, unlimited high-speed Wi-Fi is provided free of charge in all areas.	High
General Information	Is the reception desk at Leonardo Plaza Cypria Maris Beach Hotel & Spa staffed 24 hours a day?	Yes, the front-desk team operates around the clock for check-in and assistance.	High
General Information	Does Leonardo Plaza Cypria Maris Beach Hotel & Spa operate on an all-inclusive basis?	Yes, the hotel runs an all-inclusive programme covering meals, snacks and local beverages.	High
General Information	Are disabled-friendly or fully accessible rooms offered at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Yes, wheelchair-accessible guest rooms with adapted bathrooms can be pre-booked on request.	Medium
General Information	Is complimentary on-site parking provided for guests of Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Yes, residents enjoy free outdoor on-site parking without the need for prior reservation.	High
General Information	Does Leonardo Plaza Cypria Maris Beach Hotel & Spa offer direct access to the Mediterranean beach?	Yes, landscaped gardens lead directly to a private stretch of Mediterranean beachfront.	High
General Information	Are meeting and conference facilities available at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Yes, fully equipped meeting rooms and conference technology are available for events and seminars.	Medium
Accommodation & Room Services	Do the guest rooms at Leonardo Plaza Cypria Maris Beach Hotel & Spa include a private balcony or terrace?	Yes, every room features a furnished private balcony or terrace for outdoor relaxation.	Medium
Accommodation & Room Services	Does every room at Leonardo Plaza Cypria Maris Beach Hotel & Spa feature a mini fridge?	Yes, a convenient mini fridge is provided as standard in all accommodation categories.	Medium
Accommodation & Room Services	Are Deluxe Rooms with Executive Lounge Access at Leonardo Plaza Cypria Maris Beach Hotel & Spa equipped with an espresso machine?	Yes, Deluxe Rooms with Executive Lounge Access include a personal espresso coffee machine.	Low
Accommodation & Room Services	Are tea- and coffee-making facilities provided in the rooms of Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Yes, each room offers an electric kettle with complimentary tea- and coffee-making supplies.	Medium
Accommodation & Room Services	Does Leonardo Plaza Cypria Maris Beach Hotel & Spa offer satellite television in all accommodation categories?	Yes, flat-screen televisions with a wide range of satellite channels are installed in every room.	Medium
Accommodation & Room Services	Is an in-room safe available in every room at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Yes, a private electronic safe is fitted in every guest room for secure storage.	Medium
Accommodation & Room Services	Are swim-up or pool-access rooms offered at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Yes, selected swim-up rooms provide direct access from the terrace to semi-private pools.	Low
Accommodation & Room Services	Does Leonardo Plaza Cypria Maris Beach Hotel & Spa provide room service, and what are the service hours?	Information is currently not available. [VERIFY]	Medium
Accommodation & Room Services	Is professional laundry and dry-cleaning service available for guests of Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Yes, same-day laundry and dry-cleaning services are available for an additional charge.	Medium
Food & Beverage	What are the breakfast-buffet hours at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Breakfast is served daily in the main restaurant from 07:00 until 10:00.	High
Food & Beverage	Does Leonardo Plaza Cypria Maris Beach Hotel & Spa cater for vegetarian or vegan dietary requirements?	Yes, the culinary team gladly prepares dedicated vegetarian and vegan dishes upon advance notice.	Medium
Food & Beverage	Are gluten-free menu options available at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Yes, gluten-free meals can be arranged; guests should advise the staff before arrival.	Medium
Food & Beverage	How many à-la-carte restaurants are included in the all-inclusive plan at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	The all-inclusive programme includes access to four themed à-la-carte restaurants.	Medium
Food & Beverage	Does Leonardo Plaza Cypria Maris Beach Hotel & Spa feature a swim-up pool bar?	Yes, a vibrant swim-up pool bar serves refreshing drinks and light snacks throughout the day.	Medium
Food & Beverage	Is there a smart-casual dress code in the restaurants of Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Yes, a smart-casual dress code applies; beachwear, sleeveless shirts and sports shorts are discouraged at dinner.	Medium
Food & Beverage	Are advance reservations required for the à-la-carte venues at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Yes, advance reservations are mandatory for all à-la-carte restaurants under the plan.	Medium
Food & Beverage	Does the all-inclusive package at Leonardo Plaza Cypria Maris Beach Hotel & Spa include premium alcoholic beverages?	No, premium and branded alcoholic beverages are excluded from the standard all-inclusive offering.	Low
Food & Beverage	Does Leonardo Plaza Cypria Maris Beach Hotel & Spa serve mid-morning snacks or afternoon tea within the all-inclusive programme?	Yes, complimentary mid-morning snacks and afternoon bites are available at the pool bar.	Low
Policies & Terms	What are the standard check-in and check-out times at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Check-in begins at 14:00, and check-out must be completed by 12:00 noon.	High
Policies & Terms	Does Leonardo Plaza Cypria Maris Beach Hotel & Spa offer early check-in or late check-out, and are additional fees applicable?	Yes, early arrival or late departure can be arranged subject to availability and extra fees.	Medium
Policies & Terms	What is the minimum age requirement for check-in at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	The minimum legal age for check-in is eighteen years.	High
Policies & Terms	Are pets permitted at Leonardo Plaza Cypria Maris Beach Hotel & Spa, and what weight limits and daily fees apply?	Yes, dogs up to 10 kg are accepted; a small daily cleaning fee is charged.	Medium
Policies & Terms	Is a security deposit or credit-card pre-authorisation required upon arrival at Leonardo Plaza Cypria Maris Beach Hotel & Spa?	Yes, a refundable credit-card pre-authorisation or cash deposit is taken on arrival for incidental charges.	Medium
