Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel Rigihof Zurich offer complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available across all guestrooms and public areas, free of charge.	High
General Information	What are the official check-in and check-out times at Leonardo Boutique Hotel Rigihof Zurich?	Check-in is from 3:00 PM until midnight, while check-out must be completed by 11:00 AM.	High
General Information	Is the front desk at Leonardo Boutique Hotel Rigihof Zurich staffed 24 hours a day?	Yes, the reception operates continuously, providing attentive front-desk service 24 hours a day.	High
General Information	How many guestrooms does Leonardo Boutique Hotel Rigihof Zurich have?	The property offers 67 contemporarily styled guestrooms spread across its three accommodation floors.	Medium
General Information	Is Leonardo Boutique Hotel Rigihof Zurich a completely non-smoking hotel?	Yes, all interior areas are strictly non-smoking; guests may smoke only in designated outdoor spaces.	Medium
General Information	Does the team at Leonardo Boutique Hotel Rigihof Zurich speak multiple languages?	Yes, courteous staff members speak at least English and German, ensuring smooth communication with international guests.	Low
General Information	Are dedicated meeting or conference facilities available at Leonardo Boutique Hotel Rigihof Zurich?	Yes, a bright meeting room with modern audiovisual equipment can be reserved for conferences and events.	Medium
General Information	Can AdvantageCLUB members earn points when staying at Leonardo Boutique Hotel Rigihof Zurich?	Yes, registered AdvantageCLUB members accrue loyalty points on eligible stays booked via the official website.	Low
General Information	Is there on-site shopping or a boutique facility at Leonardo Boutique Hotel Rigihof Zurich?	Yes, on-site convenience shopping is provided, offering travel essentials and small boutique items to guests.	Low
Accommodation & Room Services	Which room categories are available at Leonardo Boutique Hotel Rigihof Zurich (Comfort, Superior, Suite)?	Guests may choose Comfort Rooms, Superior Rooms, spacious Suites or Suite Triple accommodations.	High
Accommodation & Room Services	Do guestrooms at Leonardo Boutique Hotel Rigihof Zurich include a minibar?	Yes, every room is equipped with a stocked minibar for convenient in-room refreshments.	Medium
Accommodation & Room Services	Are tea and coffee-making facilities provided in all rooms at Leonardo Boutique Hotel Rigihof Zurich?	Yes, electric kettles with complimentary tea and coffee supplies are provided in every guestroom.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel Rigihof Zurich supply bathrobes and slippers in its guest bathrooms?	Yes, plush bathrobes and comfortable slippers are placed in all bathrooms for guest use.	Low
Accommodation & Room Services	Is an iron and ironing board available on request at Leonardo Boutique Hotel Rigihof Zurich?	Yes, housekeeping will promptly deliver an iron and ironing board to any room on request.	Low
Accommodation & Room Services	Does Leonardo Boutique Hotel Rigihof Zurich provide complimentary baby cots or infant beds?	Yes, complimentary baby cots or infant beds are available upon advance request, subject to availability.	Medium
Accommodation & Room Services	Are connecting or adjoining rooms offered at Leonardo Boutique Hotel Rigihof Zurich?	Yes, a limited number of connecting or adjoining rooms can be pre-arranged for families or groups.	Low
Accommodation & Room Services	What are the daily room-service hours at Leonardo Boutique Hotel Rigihof Zurich?	Information is currently not available. [VERIFY]	Low
Accommodation & Room Services	Are accessible or disabled-friendly rooms available at Leonardo Boutique Hotel Rigihof Zurich?	Yes, an adapted wheelchair-accessible double room can be booked; advance reservation is recommended.	Medium
Accommodation & Room Services	Do guestrooms at Leonardo Boutique Hotel Rigihof Zurich feature blackout curtains for light control?	Yes, blackout drapes are fitted in every room to ensure restful, light-controlled sleep.	Low
Food & Beverage	Does Leonardo Boutique Hotel Rigihof Zurich serve a daily buffet breakfast?	Yes, a generous buffet breakfast is prepared and served every morning in the restaurant.	High
Food & Beverage	What are the breakfast service hours at Leonardo Boutique Hotel Rigihof Zurich on weekdays and weekends?	Breakfast is available 6:30–10:30 AM Monday to Friday and 6:30–11:00 AM on weekends and holidays.	Medium
Food & Beverage	What is the price of the breakfast buffet at Leonardo Boutique Hotel Rigihof Zurich?	The buffet is priced at approximately CHF 30 per adult, payable directly at the restaurant.	Medium
Food & Beverage	Does Leonardo Boutique Hotel Rigihof Zurich cater for vegetarian or vegan dietary requirements?	Yes, vegetarian options are always offered and vegan dishes can be prepared upon prior request.	Low
Food & Beverage	Is there an on-site restaurant at Leonardo Boutique Hotel Rigihof Zurich, and what type of cuisine does it serve?	Yes, Restaurant Rigihof serves flavourful Italian, Mediterranean and locally inspired Swiss dishes on site.	High
Food & Beverage	What are the opening hours of the Burger Boutique Züri restaurant at Leonardo Boutique Hotel Rigihof Zurich?	Information is currently not available. [VERIFY]	Low
Food & Beverage	Does Leonardo Boutique Hotel Rigihof Zurich have a bar, and what are its operating hours?	Yes, a relaxed lobby bar pours drinks daily; exact operating times vary seasonally. [VERIFY]	Medium
Food & Beverage	Is in-room dining available at Leonardo Boutique Hotel Rigihof Zurich?	Yes, limited in-room dining is offered via room service during designated service periods. [VERIFY]	Medium
Food & Beverage	Is there a coffee shop or café within Leonardo Boutique Hotel Rigihof Zurich?	Yes, a cosy on-site café serves speciality coffees, pastries and light snacks throughout the day.	Low
Policies & Terms	What is the minimum age required for check-in at Leonardo Boutique Hotel Rigihof Zurich?	The minimum legal age for check-in is 18 years.	High
Policies & Terms	Are pets welcome at Leonardo Boutique Hotel Rigihof Zurich and what daily fee applies?	Yes, well-behaved pets are accepted for an additional charge of CHF 20 per night.	High
Policies & Terms	What are the daily charges and reservation policy for on-site parking at Leonardo Boutique Hotel Rigihof Zurich?	On-site self-parking costs CHF 20 per night; spaces are first-come, first-served and cannot be pre-reserved.	High
Policies & Terms	What is the standard cancellation and prepayment policy at Leonardo Boutique Hotel Rigihof Zurich?	Cancellation and prepayment conditions depend on the selected rate and are clearly shown during booking.	Low
Policies & Terms	Does Leonardo Boutique Hotel Rigihof Zurich offer luggage storage before check-in or after check-out?	Yes, secure luggage storage is provided free of charge both before check-in and after check-out.	Low
Policies & Terms	Is a security deposit or credit card pre-authorisation required at check-in at Leonardo Boutique Hotel Rigihof Zurich?	Yes, a credit-card pre-authorisation or refundable cash deposit may be requested at arrival. [VERIFY]	Low
Policies & Terms	Do group bookings at Leonardo Boutique Hotel Rigihof Zurich carry different terms and conditions?	Yes, reservations of six or more rooms are subject to separate group policies and possible extra fees.	Low
Policies & Terms	Which credit cards are accepted for payment at Leonardo Boutique Hotel Rigihof Zurich?	The hotel accepts major cards, including Visa, Mastercard, American Express, Diners Club and JCB.	Low
Policies & Terms	Are photo identification and the original payment card required upon check-in at Leonardo Boutique Hotel Rigihof Zurich?	Yes, guests must present government photo identification and the original payment card when checking in.	Low
Location & Transportation	How far is Leonardo Boutique Hotel Rigihof Zurich from Zurich Main Station?	The main station lies roughly one kilometre away—about a 10-minute walk or short tram ride.	High
Location & Transportation	Which tram stop is closest to Leonardo Boutique Hotel Rigihof Zurich, and how far is it?	Winkelriedstrasse tram stop is approximately 150 metres from the entrance, less than a two-minute walk.	Medium
Location & Transportation	Does tram line 10 provide a direct connection from Leonardo Boutique Hotel Rigihof Zurich to Zurich Airport?	Yes, tram line 10 offers a direct, no-transfer service between the hotel area and Zurich Airport.	Low
Location & Transportation	What is the approximate travel time by car from Leonardo Boutique Hotel Rigihof Zurich to Zurich Airport?	The journey by car typically takes around 15 minutes, depending on city traffic conditions.	Medium
Location & Transportation	Is a parking reservation required in advance at Leonardo Boutique Hotel Rigihof Zurich?	No, parking operates on a first-come basis; advance reservations are not required or accepted.	Medium
Location & Transportation	How close is Leonardo Boutique Hotel Rigihof Zurich to ETH Zurich?	ETH Zurich’s main campus is roughly 650 metres away, an easy five-minute stroll uphill.	Low
Location & Transportation	Does Leonardo Boutique Hotel Rigihof Zurich offer secure bicycle storage for guests?	Yes, locked indoor bicycle storage is available for guests’ use at no extra charge.	Low
Location & Transportation	Is Zurich’s Bahnhofstrasse shopping street within comfortable walking distance of Leonardo Boutique Hotel Rigihof Zurich?	Yes, Bahnhofstrasse can be reached on foot in about 10–12 minutes downhill from the hotel.	Low
Location & Transportation	Can Leonardo Boutique Hotel Rigihof Zurich arrange taxi transfers or public-transport tickets for guests?	Yes, the front-desk team will happily arrange taxis and advise on or sell public-transport tickets.	Low
Activities & Entertainment	Does Leonardo Boutique Hotel Rigihof Zurich provide tour or ticket assistance for local attractions?	Yes, knowledgeable staff offer tour and ticket assistance to help guests explore Zurich’s attractions.	Medium
Activities & Entertainment	Are there recommended jogging or walking routes near Leonardo Boutique Hotel Rigihof Zurich?	Yes, staff recommend scenic runs and walks through nearby Rigiblick forest and Dolder woods.	Low
Activities & Entertainment	Is a hair salon available on site at Leonardo Boutique Hotel Rigihof Zurich?	Yes, an on-site hair salon offers professional styling and grooming services for guests.	Low
Activities & Entertainment	Does Leonardo Boutique Hotel Rigihof Zurich host local artist showcases or exhibitions?	Yes, the hotel periodically features works by local artists in its public spaces to enrich ambience.	Low
Activities & Entertainment	Is there a business corner with computer and printer access for guests at Leonardo Boutique Hotel Rigihof Zurich?	Yes, a complimentary business corner with computer and printer is accessible to guests around the clock.	Low
Activities & Entertainment	Does Leonardo Boutique Hotel Rigihof Zurich offer secure bicycle storage for active guests?	Yes, the property provides dedicated secure bicycle storage for the convenience of cycling guests. [duplicate]	Low
Activities & Entertainment	Are vending machines for snacks or drinks available at Leonardo Boutique Hotel Rigihof Zurich?	Yes, lobby vending machines dispense a selection of chilled drinks and packaged snacks 24 hours.	Low
