Category	Question	Answer	Frequency Level
General Information	Does master Bat Yam provide complimentary high-speed Wi-Fi in all apartments and public areas?	Yes, high-speed Wi-Fi is free throughout every apartment and all shared areas of the property.	High
General Information	Does master Bat Yam operate a 24-hour front desk or virtual concierge service for guests’ assistance?	Yes, a staffed or virtual concierge team is available 24 hours a day via the lobby desk and WhatsApp.	High
General Information	How many serviced apartments are available at master Bat Yam?	Currently, the building contains 55 modern one-bedroom serviced apartments available for guests.	High
General Information	Does master Bat Yam feature contact-less self-check-in kiosks for added convenience?	Yes, a contact-less self-check-in kiosk in the lobby enables fast, keyless arrival at any time.	Medium
General Information	Is master Bat Yam a completely smoke-free property, and where are the designated smoking areas located?	Yes, all indoor spaces are smoke-free; smoking is allowed only in the signed outdoor zone beside the entrance.	Medium
General Information	Does master Bat Yam welcome families travelling with children and provide suitable family facilities?	Yes, children and infants are welcome, with sofa-beds, spacious layouts and nearby child-friendly beachfront activities.	Medium
General Information	Which languages are spoken by the staff at master Bat Yam?	Staff communicate fluently in English and Hebrew, with Russian support available on request.	Medium
General Information	Is master Bat Yam suitable for extended-stay guests such as digital nomads or corporate travellers?	Yes, full kitchens, weekly cleaning, co-working rooms and ultra-fast Wi-Fi cater perfectly to extended-stay business and digital nomad needs.	Low
General Information	Does master Bat Yam offer on-site meeting rooms or co-working spaces for business guests?	Yes, each floor provides a large shared room with multiple workstations that can serve as a private meeting space.	Low
Location & Transportation	How many minutes’ walk is master Bat Yam from the Mediterranean beachfront promenade?	The Mediterranean promenade can be reached in roughly six minutes on foot, less than 500 metres away.	High
Location & Transportation	Which light-rail or train station is closest to master Bat Yam for travel into Tel Aviv?	The nearest Red-Line stop is Bat Yam–Komemiyyut Station, around five minutes’ drive or two tram stops from the building.	High
Location & Transportation	Does master Bat Yam arrange private airport transfers to and from Ben Gurion Airport?	Yes, pre-booked private transfers to and from Ben Gurion Airport are available for an additional fee.	High
Location & Transportation	What is the typical driving time from master Bat Yam to Ben Gurion Airport under normal traffic?	Under typical traffic conditions the journey takes approximately 30–45 minutes door to door.	Medium
Location & Transportation	Does master Bat Yam offer secure on-site parking for guests, and what is the nightly charge?	Yes, secure on-site self-parking is offered; the current nightly charge is about ILS 60 per vehicle.	High
Location & Transportation	Is accessible parking available at master Bat Yam for guests with disabilities?	Yes, designated accessible parking bays are available within the on-site car park and can be reserved in advance.	Medium
Location & Transportation	Can taxi and ride-share services easily access the entrance of master Bat Yam at all hours?	Yes, taxis and ride-share vehicles may drive directly to the entrance 24 hours a day without restrictions.	Medium
Location & Transportation	Which nearby industrial parks or business hubs are most convenient to reach from master Bat Yam?	Yavne, Rishon LeZion, Holon and Me’uyan Soreq industrial parks are all within a short, convenient drive.	Low
Rooms & Amenities	Are all apartments at master Bat Yam equipped with full kitchens including oven, microwave and dishwasher?	Yes, every apartment features a fully equipped kitchen with stovetop, oven, microwave, dishwasher and full-size refrigerator.	High
Rooms & Amenities	Does every apartment at master Bat Yam feature a Smart TV with Netflix streaming capabilities?	Yes, living-room and bedroom Smart TVs come pre-loaded with Netflix and other popular streaming apps.	High
Rooms & Amenities	Does master Bat Yam supply Egyptian-cotton bedding and premium artisanal toiletries?	Yes, suites are fitted with Egyptian-cotton linens and stocked with premium artisanal bathroom toiletries.	Medium
Rooms & Amenities	Are dedicated workstations or co-working areas provided on each floor of master Bat Yam?	Yes, each floor includes a spacious room with desks and high-speed Wi-Fi for co-working or small meetings.	Medium
Rooms & Amenities	Is weekly housekeeping included for long-stay guests at master Bat Yam, and can additional cleaning be arranged?	Yes, weekly housekeeping is provided automatically, and extra cleaning sessions can be booked for an additional fee.	Medium
Rooms & Amenities	Does master Bat Yam have a complimentary self-service laundry room available 24 hours a day?	Yes, a complimentary self-service laundry room with washers and dryers is open to guests around the clock.	High
Rooms & Amenities	Is a fully equipped fitness studio or gym available on-site at master Bat Yam?	Yes, a modern fitness studio with cardio and strength equipment is located on the ground floor for guest use.	High
Rooms & Amenities	Are accessible or wheelchair-adapted apartments available to reserve at master Bat Yam?	Yes, specially adapted, wheelchair-friendly apartments with step-free access and grab rails are available on request.	High
Food & Dining	Do the kitchens in every master Bat Yam apartment include cookware, utensils and a coffee-espresso machine?	Yes, cupboards are stocked with cookware, utensils and a Nespresso-style espresso machine in every kitchen.	High
Food & Dining	Does master Bat Yam provide tea and coffee facilities as part of the in-room amenities?	Yes, complimentary tea bags, coffee capsules and an electric kettle are supplied and refreshed at check-in.	High
Food & Dining	Are grocery stores or supermarkets within easy walking distance of master Bat Yam for self-catering supplies?	Information is currently not available. [VERIFY]	Medium
Food & Dining	Can master Bat Yam recommend local restaurants that deliver to the serviced apartments?	Currently, the concierge can share trusted local delivery options on request, though no in-house menu is provided. [VERIFY]	Medium
Food & Dining	Does master Bat Yam offer guidance on kosher, vegan or gluten-free dining options nearby?	The team can recommend nearby kosher, vegan and gluten-free eateries upon request, including options reachable by tram. [VERIFY]	Low
