Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Weimar provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available in all rooms and public areas.	High
General Information	Is the reception desk at Leonardo Hotel Weimar staffed 24 hours a day?	Yes, a multilingual reception team is on duty around the clock, 24 hours daily.	Medium
General Information	What are the official check-in and check-out times at Leonardo Hotel Weimar?	Check-in officially begins at 3:00 pm and check-out is required by 12:00 noon.	High
General Information	How many guestrooms does Leonardo Hotel Weimar offer?	The property offers 294 comfortably appointed guestrooms across several room categories.	Medium
General Information	Does Leonardo Hotel Weimar feature accessible guestrooms and facilities for guests with reduced mobility?	Yes, the hotel is barrier-free and provides two fully accessible rooms plus adapted facilities.	Medium
General Information	Are family rooms available at Leonardo Hotel Weimar?	Yes, dedicated family rooms and free baby cots are available upon request.	Medium
General Information	Does Leonardo Hotel Weimar operate as a non-smoking hotel?	Yes, the entire property is designated non-smoking, with smoking prohibited in all interiors.	Medium
General Information	How many conference and meeting rooms are available at Leonardo Hotel Weimar?	Twelve flexible conference and meeting rooms equipped with modern technology are available.	High
General Information	Does Leonardo Hotel Weimar provide digital newspapers or e-papers for guests?	Yes, complimentary digital newspapers are offered to guests through the hotel’s online service.	Low
Accommodation & Room Services	Are all rooms at Leonardo Hotel Weimar equipped with air-conditioning?	Yes, every guestroom features individually controlled air-conditioning for year-round comfort.	High
Accommodation & Room Services	Do guestrooms at Leonardo Hotel Weimar include a flat-screen satellite TV?	Yes, all rooms contain a 28-inch flat-screen HD television with satellite channels.	High
Accommodation & Room Services	Does every bathroom at Leonardo Hotel Weimar provide complimentary spa toiletries?	Yes, each private bathroom is stocked with complimentary spa-quality toiletries for guests.	Medium
Accommodation & Room Services	Is an electric kettle or coffee/tea making facility provided in the rooms at Leonardo Hotel Weimar?	Yes, rooms include an electric kettle with tea and coffee making provisions.	Medium
Accommodation & Room Services	Can guests request a free baby cot when staying at Leonardo Hotel Weimar?	Yes, baby cots are provided free of charge upon prior request and availability.	Medium
Accommodation & Room Services	Does Leonardo Hotel Weimar offer room service, and what are its daily operating hours?	Yes, room service operates daily from 7:00 am until 10:00 pm for meals and drinks.	High
Accommodation & Room Services	Are in-room safes available in the accommodation at Leonardo Hotel Weimar?	Yes, every room is equipped with a personal safe for secure storage of valuables.	Low
Accommodation & Room Services	Can guests request rollaway or extra beds at Leonardo Hotel Weimar and what is the nightly surcharge?	Yes, extra beds are available on request at a surcharge of €30 per night.	Low
Accommodation & Room Services	Does Leonardo Hotel Weimar supply adapters or chargers to guests on request?	Yes, adapters and device chargers can be borrowed from reception upon request.	Low
Food & Beverage	Does Leonardo Hotel Weimar serve a daily breakfast buffet?	Yes, a generous hot and cold breakfast buffet is served every morning in the restaurant.	High
Food & Beverage	What are the breakfast hours at Leonardo Hotel Weimar on weekdays and at weekends?	Breakfast is served Monday–Friday 6:30 am–10:30 am and Saturday–Sunday 7:00 am–10:30 am.	Medium
Food & Beverage	Does the Esplanade restaurant at Leonardo Hotel Weimar cater for vegan, gluten-free and lactose-free dietary requirements?	Yes, the Esplanade restaurant offers clearly labelled vegan, gluten-free and lactose-free options.	Medium
Food & Beverage	Is dinner served in the Esplanade restaurant at Leonardo Hotel Weimar, and is advance reservation recommended?	Yes, dinner is served in the Esplanade; advance reservation is recommended, especially on busy evenings.	Medium
Food & Beverage	What are the opening hours of the bar at Leonardo Hotel Weimar?	The hotel bar welcomes guests daily from 5:00 pm until 12:00 midnight.	Medium
Food & Beverage	Does the bar at Leonardo Hotel Weimar include billiards tables and bowling alleys for guests?	Yes, the bar area features billiards tables plus two neon-lit bowling alleys for entertainment.	High
Food & Beverage	Are special children’s meals available at Leonardo Hotel Weimar?	Yes, the restaurant can prepare children’s meals on request for an additional fee.	Low
Food & Beverage	May guests enjoy food or drinks outdoors in the beer garden at Leonardo Hotel Weimar?	Yes, guests may enjoy meals and beverages outside on the leafy terrace and beer garden.	Low
Food & Beverage	Does Leonardo Hotel Weimar provide breakfast-in-the-room service on request?	Yes, breakfast can be delivered to the room upon request and applicable service charge.	Low
Policies & Terms	What is the minimum age requirement for check-in at Leonardo Hotel Weimar?	Check-in requires that at least one guest be 18 years of age or older.	Medium
Policies & Terms	What is the pet policy at Leonardo Hotel Weimar and what daily fee is charged?	Yes, pets are welcome for a supplement of €20 per pet, per day.	High
Policies & Terms	What are the daily parking charges at Leonardo Hotel Weimar’s outdoor and underground car parks?	Outdoor self-parking costs €13 per day, while underground garage parking costs €15 per day.	High
Policies & Terms	Is smoking permitted anywhere within Leonardo Hotel Weimar?	No, smoking is not permitted inside; designated outdoor smoking areas must be used instead.	Medium
Policies & Terms	Are service animals welcomed at Leonardo Hotel Weimar free of charge?	Yes, certified service animals are accommodated free of charge in accordance with hotel policy.	Low
Policies & Terms	Is a local city tax payable when staying at Leonardo Hotel Weimar?	Information is currently not available. [VERIFY]	Low
Policies & Terms	What is the nightly fee for rollaway or extra beds at Leonardo Hotel Weimar?	The nightly surcharge for a rollaway or extra bed is €30.	Low
Policies & Terms	Does Leonardo Hotel Weimar accept group reservations of more than five rooms, and do different policies apply?	Yes, group bookings of more than five rooms are accepted, and different conditions will apply.	Low
Location & Transportation	How far is Leonardo Hotel Weimar from Weimar’s historic city centre?	The hotel lies about 2 kilometres south of Weimar’s historic centre, roughly a 15-minute walk.	Medium
