Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Inverness offer free Wi-Fi throughout the property?	Yes, free Wi-Fi is offered throughout the property. This amenity allows all guests to stay connected in rooms and public areas.	High
General Information	What are the check-in and check-out times at Leonardo Hotel Inverness?	Check-in is from 3:00 pm, while check-out is generally by 11:00 am. Staff can accommodate special requests when possible.	High
General Information	Is Leonardo Hotel Inverness family-friendly, and do they offer facilities for children?	Yes, the property is family-friendly, providing family rooms and amenities. Highchairs, kids’ menu options, and baby cots are also available upon request.	High
General Information	Does Leonardo Hotel Inverness have a 24-hour front desk for late arrivals or departures?	Yes, the front desk is open around the clock, ensuring support for guests arriving late or departing early.	Medium
General Information	Does Leonardo Hotel Inverness provide accessible facilities for guests with disabilities?	Yes, accessible rooms and facilities are available, including ramps and elevators to accommodate guests with mobility needs.	High
General Information	Are multilingual staff available at Leonardo Hotel Inverness?	Yes, the property employs multilingual staff members. Assistance in various languages is offered for international guests.	Medium
General Information	Is on-site parking offered at Leonardo Hotel Inverness, and is there an additional fee?	Yes, on-site parking is available, and a fee may apply. Guests are encouraged to check availability in advance.	High
General Information	Can guests host meetings or conferences at Leonardo Hotel Inverness?	Yes, meeting spaces and conference facilities are provided. Staff can arrange equipment and catering upon request.	Medium
General Information	Is there a business center available at Leonardo Hotel Inverness for corporate travelers?	Yes, a dedicated business center is accessible, offering printing and other essential services for corporate guests.	Low
Accommodation & Room Services	What types of rooms are available at Leonardo Hotel Inverness?	Rooms include standard doubles, twins, and family accommodations. Each room is designed with comfort and convenience in mind.	High
Accommodation & Room Services	Does Leonardo Hotel Inverness provide tea and coffee-making facilities in each room?	Yes, each room includes a kettle and complimentary tea and coffee supplies, replenished daily.	High
Accommodation & Room Services	Are there minibars or small fridges in the rooms at Leonardo Hotel Inverness?	Yes, some rooms have small fridges; guests can inquire at booking for confirmation. [VERIFY].	Medium
Accommodation & Room Services	Does Leonardo Hotel Inverness offer 24-hour room service for guests?	Yes, 24-hour room service is provided to ensure meals and snacks are available at any time.	Medium
Accommodation & Room Services	Is there an iron and ironing board available in all rooms at Leonardo Hotel Inverness?	Yes, each room is equipped with an iron and ironing board for guest convenience.	Medium
Accommodation & Room Services	Can Leonardo Hotel Inverness provide hypoallergenic bedding upon request?	Yes, hypoallergenic bedding is available on request to accommodate allergies and sensitivities.	Medium
Accommodation & Room Services	Does Leonardo Hotel Inverness have USB charging sockets in the rooms?	Yes, most rooms include USB charging sockets, though adapters may be provided by the front desk if needed.	Low
Accommodation & Room Services	Are complimentary toiletries replenished daily at Leonardo Hotel Inverness?	Yes, complimentary toiletries are refreshed each day to maintain a comfortable stay.	Medium
Accommodation & Room Services	Is a laundry and dry-cleaning service offered at Leonardo Hotel Inverness?	Yes, laundry and dry-cleaning services are available. Turnaround times vary based on the service selected.	Low
