Category	Question	Answer	Frequency Level
General Information	האם מלון סאם ובלונדי מציע חיבור Wi-Fi חינם בכל שטחי המלון?	כן, חיבור Wi-Fi מהיר וחינמי זמין בכל חדרי המלון ובאזורים הציבוריים בכל שעות היממה.	High
General Information	האם דלפק הקבלה במלון סאם ובלונדי פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש 24 שעות ביממה ומעניק סיוע לאורחים בכל צורך.	High
General Information	מהן שעות הצ’ק-אין והצ’ק-אאוט במלון סאם ובלונדי?	צ’ק-אין מתחיל בשעה 15:00 ואילו צ’ק-אאוט נדרש עד 11:00 בבוקר.	High
General Information	האם מלון סאם ובלונדי מוגדר כמלון ללא-עישון בכל האזורים?	כן, המלון כולו מוגדר כסביבה ללא-עישון והעישון אסור בכל השטחים הפנימיים.	Medium
General Information	האם קיימת חניה סמוכה למלון סאם ובלונדי ומהי העלות לאורחים?	כן, חניון ציבורי מוסדר נמצא כ-500 מטרים מהמלון; העלות משוערת כ-₪100 ללילה, בתשלום לחניון.	Medium
General Information	האם במלון סאם ובלונדי יש חדר נגיש לכיסא-גלגלים ומתקנים תואמי נגישות נוספים?	כן, קיימים חדרים נגישים עם דלת רחבה, שירותים עם מאחזים ומעלית מונגשת לכיסאות גלגלים.	High
General Information	האם צוות מלון סאם ובלונדי דובר שפות נוספות מעבר לעברית ואנגלית?	כן, הצוות דובר גם ערבית, רוסית, צרפתית, ספרדית, אוקראינית ושפות נוספות לנוחות האורחים.	Medium
General Information	כמה חדרים וסוגי חדרים כוללים במלון סאם ובלונדי?	המלון מציע 45 חדרים בקטגוריות דלאקס, דלאקס-מרפסת, סטודיו וסוויטת טרסה מרווחת.	Medium
General Information	האם במלון סאם ובלונדי קיימת מעלית תואמת שבת או שמדובר במעלית רגילה בלבד?	לא, פועלת מעלית רגילה בלבד; מעלית שבת אינה מותקנת במלון. [VERIFY]	Low
General Information	האם ניתן להשאיר מזוודות לאחסון זמני במלון סאם ובלונדי לפני הצ’ק-אין או לאחר הצ’ק-אאוט?	כן, שירות שמירת מזוודות מאובטח מוצע ללא חיוב לפני ההגעה או לאחר העזיבה.	Low
Accommodation & Room Services	אילו מתקני קפה/תה או מכונת אספרסו זמינים בכל חדר במלון סאם ובלונדי?	כן, בכל חדר מכונת אספרסו ‏Nespresso וערכת קפה/תה איכותית לשימוש חופשי.	Medium
Accommodation & Room Services	האם בכל חדר במלון סאם ובלונדי קיים מיני-בר לשימוש האורחים?	כן, מיני-בר מצויד ומקורר זמין בכל חדר לרענון האורחים בכל עת.	Medium
Accommodation & Room Services	האם חדרי מלון סאם ובלונדי כוללים כספת-לפטופ מאובטחת?	כן, כספת-לפטופ אלקטרונית וחינמית מותקנת בכל חדר לאחסון חפצי ערך.	Medium
Accommodation & Room Services	האם ניתן להזמין חדר עם מרפסת פרטית במלון סאם ובלונדי?	כן, חדרי דלאקס-מרפסת וסוויטות טרסה מציעים מרפסת פרטית מרוהטת.	Medium
Accommodation & Room Services	האם במלון סאם ובלונדי מוצעת סוויטת טרסה עם ג’קוזי חיצוני?	כן, סוויטת הטרסה כוללת גג פרטי מרווח עם אמבט ג’קוזי חיצוני. [VERIFY]	Medium
Accommodation & Room Services	האם ניתן להזמין מצעים היפו-אלרגניים או כריות נוספות במלון סאם ובלונדי?	כן, מצעים היפו-אלרגניים וכריות נוספות זמינים לבקשה מראש או בדלפק הקבלה.	Low
Accommodation & Room Services	האם חדרי מלון סאם ובלונדי אטומים לרעש לשהייה שקטה?	כן, הקירות והחלונות מבודדי-קול ומבטיחים סביבה שקטה ונינוחה בחדרים.	Medium
Accommodation & Room Services	האם מלון סאם ובלונדי מספק שירותי כביסה וניקוי-יבש לאורחים?	כן, שירותי כביסה וניקוי-יבש באותו-יום זמינים בתשלום ותיאום מול הקבלה.	Low
Accommodation & Room Services	האם שירות משק-בית יומי כלול בשהייה במלון סאם ובלונדי?	כן, שירות משק-בית יומי יסודי כולל סידור מיטות והחלפת מגבות כלול במחיר.	Low
Food & Beverage	האם מלון סאם ובלונדי מגיש ארוחת בוקר לאורחים במתחם המלון?	כן, ארוחת בוקר טרייה מוגשת מדי יום במסעדת Eats הסמוכה ללובי.	High
Food & Beverage	מהן שעות ההגשה של ארוחת הבוקר במסעדת Eats של מלון סאם ובלונדי?	ארוחת הבוקר מוגשת בכל יום בין ‎08:30‎ ל-12:00 במסעדת Eats.	Low
Food & Beverage	האם ארוחת הבוקר במלון סאם ובלונדי כשרה או לא-כשרה?	לא, הארוחה איננה כשרה ונערכת ללא השגחת כשרות רשמית. [VERIFY]	Medium
Food & Beverage	אילו סוגי ארוחת בוקר (קונטיננטלית / à la carte) זמינים במלון סאם ובלונדי?	ארוחה קונטיננטלית מלאה מוגשת à la carte עם מבחר מנות ביצים, מאפים ושתייה.	Medium
Food & Beverage	האם מסעדת Eats במלון סאם ובלונדי פתוחה גם לארוחות נוספות מעבר לארוחת הבוקר?	כן, מסעדת Eats ממשיכה לפעול בצהריים ובערב עם תפריט קל וקינוחים. [VERIFY]	High
Food & Beverage	האם במלון סאם ובלונדי פועל בר או טרקלין לשתייה קלה ואלכוהולית?	כן, בלובי פועל בר אינטימי המציע יינות, קוקטיילים ומשקאות חמים לאורך היום.	Low
Food & Beverage	האם ארוחת הבוקר במלון סאם ובלונדי כרוכה בתוספת תשלום, ואם כן מהו המחיר המשוער?	כן, לאורחים ששוהים ללא תכנית בוקר העלות משוערת היא כ-₪90 לאדם.	Low
Food & Beverage	האם מלון סאם ובלונדי מציע אפשרות לשירות חדרים של מזון ומשקאות?	כן, שירות חדרים למזון ומשקאות זמין בשעות מוגבלות בהזמנה טלפונית מהחדר. [VERIFY]	Low
Policies & Terms	מהי מדיניות הביטול הכללית של מלון סאם ובלונדי להזמנות גמישות או בלתי-גמישות?	במסלול גמיש ניתן לבטל ללא חיוב עד 48 שעות לפני ההגעה; במסלול בלתי-גמיש אין החזר כספי. [VERIFY]	High
Policies & Terms	מהו גיל המינימום לביצוע צ’ק-אין במלון סאם ובלונדי?	גיל המינימום לצ’ק-אין הוא 18 שנים עם הצגת תעודה מזהה תקפה.	Medium
Policies & Terms	האם מלון סאם ובלונדי מאפשר צ’ק-אין מוקדם או צ’ק-אאוט מאוחר בכפוף לזמינות?	כן, צ’ק-אין מוקדם או צ’ק-אאוט מאוחר ניתנים על-פי זמינות ובתוספת תשלום.	Medium
Policies & Terms	האם ניתן לארח חיות מחמד במלון סאם ובלונדי, ומהן המגבלות והעלויות?	כן, כלב אחד עד ‎6 ק״ג מתקבל בעלות כ-₪87 ללילה, בכפוף להזמנה מוקדמת.	Medium
Policies & Terms	האם בעת הצ’ק-אין במלון סאם ובלונדי נדרש פיקדון או חיוב-אשראי לביטחון?	כן, בצ’ק-אין מתבצעת הרשאת אשראי לביטחון בגובה עלות השהייה. [VERIFY]	Low
Policies & Terms	האם תיירים פטורים מתשלום מע”מ במלון סאם ובלונדי, ומה קורה עם אזרחי ישראל?	כן, תיירים בעלי אשרת B2/B3 פטורים ממע”מ; אזרחי ישראל מחויבים בתוספת 17 % מע”מ.	Low
Policies & Terms	האם מלון סאם ובלונדי מקבל הזמנות קבוצתיות ומהם התנאים להזמנת יותר משלושה חדרים?	כן, בהזמנת מעל שלושה חדרים חלים תנאי ותעריפי ביטול מיוחדים שיש לאשר מראש.	Low
Policies & Terms	מהי מדיניות מלון סאם ובלונדי לגבי ילדים, עריסות ומיטות-תוספת?	ילדים מתקבלים בכל גיל; עריסה חינם עד גיל 2, מיטה נוספת לילד 3-12 בעלות ‎₪150 ללילה.	Medium
Policies & Terms	האם בצ’ק-אין בשבתות ובחגים נדרש להמתין לשעה 18:00 במלון סאם ובלונדי?	כן, בימי שבת וחג ניתן לבצע צ’ק-אין רק לאחר צאת השבת, סביב 18:00. [VERIFY]	Low
Location & Transportation	היכן ממוקם מלון סאם ובלונדי ברחוב שנקין בתל-אביב?	המלון שוכן ברחוב שנקין 20, פינת כיכר מגן-דוד, בלב תל-אביב התוססת.	High
Location & Transportation	כמה דקות הליכה מפרידות בין מלון סאם ובלונדי לשוק הכרמל?	כשש דקות הליכה נוחות מפרידות בין המלון לשוק הכרמל הצבעוני.	Medium
Location & Transportation	מה המרחק מחוף פרישמן למלון סאם ובלונדי?	כ-850 מטר, כ-10 – 12 דקות הליכה נעימה לחוף פרישמן.	Medium
Location & Transportation	מהו המרחק בין מלון סאם ובלונדי לשדרות רוטשילד?	שדרות רוטשילד נמצאות כ-600 מטרים מהמלון, כ-8 דקות הליכה רגועה.	Medium
Location & Transportation	כמה קילומטרים מפרידים בין מלון סאם ובלונדי לנמל התעופה בן-גוריון וכמה זמן אורכת נסיעה במונית?	מרחק של כ-24 ק״מ; נסיעה במונית אורכת כ-25–30 דקות בהתאם לתנועה.	Medium
Location & Transportation	האם מלון סאם ובלונדי מציע שירות הסעות לשדה התעופה בתוספת תשלום?	כן, ניתן להזמין שירות הסעת מונית או שאטל לשדה התעופה בעלות נוספת.	Low
Location & Transportation	איזו תחנת רכבת או אוטובוס ציבורית היא הקרובה ביותר למלון סאם ובלונדי?	תחנת הרכבת תל-אביב השלום במרחק כ-10 דקות נסיעה; קווי אוטובוס מרחוב אלנבי במרחק שתי דקות. [VERIFY]	Low
Location & Transportation	האם מלון סאם ובלונדי מעמיד אופניים להשאלה חינם לטיול בעיר?	כן, אופניים מושאלים ללא תשלום לאורחים המעוניינים לחקור את העיר.	Low
Location & Transportation	היכן נמצא חניון הציבורי המומלץ הקרוב ביותר למלון סאם ובלונדי?	חניון “גן העיר” או חניון הכרמל הסמוכים מומלצים ומשתרעים במרחק הליכה נוח. [VERIFY]	Medium
Activities & Entertainment	האם במלון סאם ובלונדי קיימת טרסת גג עם נוף פנוראמי לעיר?	כן, טרסת גג רחבת-ידיים משקיפה פנורמית על קו-הרקיע של תל-אביב.	Medium
Activities & Entertainment	האם אורחי מלון סאם ובלונדי יכולים ליהנות מבריכת טבילה או ג’קוזי על הגג?	כן, על הגג מותקן ג’קוזי חמים זמין לאורחים במשך רוב שעות היום.	Medium
Activities & Entertainment	האם במלון סאם ובלונדי יש חדר כושר מאובזר לשימוש האורחים?	כן, חדר כושר בוטיק עם מכשירי אירובי ומשקולות זמין ללא תשלום נוסף.	Medium
Activities & Entertainment	האם מלון סאם ובלונדי מציע סיורי הליכה מודרכים בתל-אביב?	כן, דלפק הקבלה ישמח לתאם סיורי הליכה מודרכים בתשלום סמלי ובתיאום מראש.	Low
Activities & Entertainment	האם ניתן להזמין טיפולי ספא או עיסויים במלון סאם ובלונדי?	כן, טיפולי ספא ועיסויי עומק זמינים בחדר טיפולים ייעודי בהזמנה מוקדמת.	Low
Activities & Entertainment	האם במלון סאם ובלונדי זמינה אמבטיית ג’קוזי משותפת לכלל האורחים?	כן, ג’קוזי משותף על הגג עומד לרשות כל האורחים הרשומים במלון.	Medium
Activities & Entertainment	האם ניתן לשכור אופניים במלון סאם ובלונדי ללא תשלום נוסף?	שאלה כפולה; נא עיין בתשובת מיקום & תחבורה בנושא האופניים. [duplicate]	Low
Activities & Entertainment	האם טרסת השמש של מלון סאם ובלונדי מתאימה לאירועים או קוקטיילים פרטיים בתיאום מראש?	כן, טרסת השמש ניתנת לסגירה לאירועי קוקטייל אינטימיים בכפוף לתיאום מוקדם. [VERIFY]	Low
