Category	Question	Answer	Frequency Level
General Information	Does The GrandResort Limited Edition by Leonardo Hotels provide complimentary high-speed Wi-Fi throughout the resort?	Yes, complimentary high-speed Wi-Fi is provided in all guest rooms, suites, and public areas.	High
General Information	Does The GrandResort Limited Edition by Leonardo Hotels operate a 24-hour front desk for arrivals at any time of day or night?	Yes, a fully staffed reception desk operates around the clock, welcoming arrivals and departures at any hour.	High
General Information	What are the official check-in and check-out times at The GrandResort Limited Edition by Leonardo Hotels?	Check-in officially begins at 15:00 and check-out is requested by 12:00 noon.	High
General Information	Does The GrandResort Limited Edition by Leonardo Hotels offer secure on-site parking and is there any associated charge?	Yes, secure on-site parking—including dedicated coach bays—is provided free of charge for registered guests.	High
General Information	Is The GrandResort Limited Edition by Leonardo Hotels considered family-friendly, welcoming children of all ages?	Yes, children of all ages are warmly welcomed and enjoy dedicated pools, clubs, and family-oriented facilities.	High
General Information	Does the reception team at The GrandResort Limited Edition by Leonardo Hotels speak multiple languages?	Yes, multilingual staff converse fluently in English, Greek, German, French, Hebrew, and Russian to assist international guests.	Medium
General Information	How many guest rooms and suites are available at The GrandResort Limited Edition by Leonardo Hotels?	The resort comprises 255 elegant guest rooms and suites, including 22 exclusive swim-up suites.	Low
General Information	Does The GrandResort Limited Edition by Leonardo Hotels feature accessible rooms or facilities for guests with reduced mobility?	Information is currently not available. [VERIFY]	Medium
General Information	Are meeting and conference facilities, including the largest ballroom in Cyprus, available at The GrandResort Limited Edition by Leonardo Hotels?	Yes, extensive meeting facilities are offered, highlighted by the largest pillar-free ballroom in Cyprus for conferences and galas.	Medium
General Information	Does booking direct with The GrandResort Limited Edition by Leonardo Hotels unlock an AdvantageCLUB loyalty discount?	Yes, direct bookings that include free AdvantageCLUB registration receive an immediate 10 % members’ rate discount.	Low
Accommodation & Room Services	Do all rooms at The GrandResort Limited Edition by Leonardo Hotels feature a private furnished balcony or terrace?	Yes, every guest room and suite includes a furnished private balcony or terrace, many facing the Mediterranean Sea.	Medium
Accommodation & Room Services	Does The GrandResort Limited Edition by Leonardo Hotels offer exclusive Swim-Up Rooms with direct pool access?	Yes, select Swim-Up Rooms and suites provide private terraces with steps leading directly into a shared pool.	Low
Accommodation & Room Services	Are Nespresso coffee machines provided in every guest room at The GrandResort Limited Edition by Leonardo Hotels?	Yes, a personal Nespresso machine with complimentary capsules is a standard amenity in every accommodation category.	Medium
Accommodation & Room Services	Does The GrandResort Limited Edition by Leonardo Hotels supply premium bathroom toiletries as a complimentary amenity?	Yes, bathrooms are stocked with premium designer toiletries, replenished daily for the comfort of adult and child guests.	Medium
Accommodation & Room Services	Is 24-hour in-room dining available for guests staying at The GrandResort Limited Edition by Leonardo Hotels?	Yes, round-the-clock in-room dining delivers an extensive menu of meals, snacks, and beverages to every room.	Medium
Accommodation & Room Services	Can inter-connecting or adjoining family rooms be arranged at The GrandResort Limited Edition by Leonardo Hotels upon request?	Yes, inter-connecting and adjoining rooms are available on request and confirmed subject to availability at booking.	Low
Accommodation & Room Services	Are hypo-allergenic pillows or bedding options available at The GrandResort Limited Edition by Leonardo Hotels?	Yes, hypo-allergenic bedding and pillow menus are offered to ensure a restful, allergen-free sleep experience.	Medium
Accommodation & Room Services	Does The GrandResort Limited Edition by Leonardo Hotels provide baby cots free of charge?	Yes, baby cots are supplied free of charge for children up to two years old, subject to advance request and availability.	High
Accommodation & Room Services	Do rooms at The GrandResort Limited Edition by Leonardo Hotels include USB charging sockets and international power adapters?	Yes, all accommodations feature integrated USB charging points and provide international adapters upon request.	Medium
Accommodation & Room Services	Are laundry and dry-cleaning services offered at The GrandResort Limited Edition by Leonardo Hotels?	Yes, same-day laundry, pressing, and dry-cleaning services are available for an additional charge.	High
Food & Beverage	Does The GrandResort Limited Edition by Leonardo Hotels serve a daily international buffet breakfast, and what are the service hours?	Yes, an extensive international buffet breakfast is served 07:00–10:30 Monday-Friday and 07:00–11:00 on weekends.	High
Food & Beverage	Are vegetarian, vegan, and gluten-free menu options available at The GrandResort Limited Edition by Leonardo Hotels?	Yes, chefs prepare clearly labelled vegetarian, vegan, and gluten-free dishes at all main restaurants upon request.	High
Food & Beverage	How many on-site restaurants does The GrandResort Limited Edition by Leonardo Hotels operate, and do they include Asian cuisine?	Nine distinct restaurants operate on-site, spanning Mediterranean, Asian, seafood, buffet, and patisserie concepts, including a dedicated open-air Asian venue.	High
Food & Beverage	Does The GrandResort Limited Edition by Leonardo Hotels offer an all-inclusive dining plan?	Yes, guests may book an optional all-inclusive plan covering meals, snacks, and selected beverages throughout the day.	High
Food & Beverage	Is there a dedicated pool bar at The GrandResort Limited Edition by Leonardo Hotels for cocktails and light bites?	Yes, the Aloha Pool Bar serves signature cocktails, fresh juices, and light fare beside the main lagoon-style pool.	High
Food & Beverage	May non-resident guests dine at the restaurants of The GrandResort Limited Edition by Leonardo Hotels with prior reservation?	Information is currently not available. [VERIFY]	Low
Food & Beverage	Are children’s menus available in the restaurants at The GrandResort Limited Edition by Leonardo Hotels?	Information is currently not available. [VERIFY]	Medium
Food & Beverage	Does The GrandResort Limited Edition by Leonardo Hotels feature a lobby lounge suitable for afternoon tea or evening cocktails?	Yes, the elegant Lobby Bar offers comfortable seating for afternoon refreshments and refined evening cocktails.	Medium
Food & Beverage	Are signature cocktails served at the Aloha Pool Bar of The GrandResort Limited Edition by Leonardo Hotels?	Yes, mixologists at the Aloha Pool Bar prepare bespoke and classic signature cocktails throughout the day.	Low
Policies & Terms	What is the minimum legal age for check-in at The GrandResort Limited Edition by Leonardo Hotels?	The minimum check-in age is 18 years, with identification required on arrival.	High
Policies & Terms	Does The GrandResort Limited Edition by Leonardo Hotels offer flexible or free-cancellation rates?	Yes, several rate plans provide free or flexible cancellation when booked within the stated policy deadlines.	High
Policies & Terms	Are pets permitted at The GrandResort Limited Edition by Leonardo Hotels, and what weight limit and nightly fee apply?	Yes, one dog up to 8 kg is permitted per room for a nightly fee of €30; service animals stay free.	High
Policies & Terms	Can early check-in or late check-out be pre-arranged at The GrandResort Limited Edition by Leonardo Hotels?	Yes, early check-in and late check-out may be arranged in advance, subject to availability and a nominal fee.	Medium
Policies & Terms	Is a security deposit or pre-authorisation required on arrival at The GrandResort Limited Edition by Leonardo Hotels?	Yes, a credit-card pre-authorisation is taken on arrival to secure incidentals during the stay.	Medium
Policies & Terms	What special conditions apply to group bookings at The GrandResort Limited Edition by Leonardo Hotels?	When reserving more than five rooms, alternative payment terms and additional conditions apply to the group contract.	Medium
Policies & Terms	Does The GrandResort Limited Edition by Leonardo Hotels provide complimentary baggage storage for early arrivals or late departures?	Yes, secure luggage storage is offered free of charge before check-in and after check-out.	Medium
Policies & Terms	Is smoking permitted anywhere within The GrandResort Limited Edition by Leonardo Hotels, or is it a fully non-smoking property?	No, the resort is a fully non-smoking property; smoking is prohibited in all rooms and indoor areas.	Medium
Policies & Terms	Are designated dog-friendly guest rooms available at The GrandResort Limited Edition by Leonardo Hotels?	Yes, all room categories can be prepared as dog-friendly when requested at the time of booking.	Low
Policies & Terms	Does The GrandResort Limited Edition by Leonardo Hotels offer express check-in and express check-out services?	Yes, streamlined express and contactless check-in and check-out options are available for added convenience.	Medium
Location & Transportation	Where is The GrandResort Limited Edition by Leonardo Hotels situated in relation to Limassol city centre?	The resort lies approximately 11 km east of Limassol’s historic centre, in the seaside district of Agios Tychon.	Medium
Location & Transportation	Which sandy beaches can be reached on foot from The GrandResort Limited Edition by Leonardo Hotels?	Guests enjoy direct access to the resort’s private sandy beach and can stroll to Panagies Beach, about 1 km away.	Medium
Location & Transportation	What is the distance from The GrandResort Limited Edition by Leonardo Hotels to the nearest bus stop ‘Amathountos 1’?	The ‘Amathountos 1’ bus stop is roughly 280 metres from the hotel entrance, a pleasant three-minute walk.	High
Location & Transportation	Approximately how long is the drive from The GrandResort Limited Edition by Leonardo Hotels to Larnaca International Airport?	The journey to Larnaca International Airport spans about 56 km and typically takes 40–45 minutes by car.	Medium
Location & Transportation	Does The GrandResort Limited Edition by Leonardo Hotels arrange private airport shuttle transfers and at what cost?	Yes, private chauffeured transfers can be arranged on request from €70 per vehicle each way.	High
Location & Transportation	Are taxi and car-rental services available directly through The GrandResort Limited Edition by Leonardo Hotels concierge?	Yes, the concierge desk books licensed taxis and offers on-site car-rental services for self-drive excursions.	Medium
Location & Transportation	Does The GrandResort Limited Edition by Leonardo Hotels provide complimentary parking for coaches or tour buses?	Yes, complimentary on-site parking includes dedicated bays for touring coaches and buses.	Low
Location & Transportation	Which archaeological or cultural landmarks lie within a 2 km radius of The GrandResort Limited Edition by Leonardo Hotels?	The UNESCO-listed Archaeological Site of Amathous is located approximately 1.8 km west of the resort.	Medium
Location & Transportation	Is yacht or marina mooring available close to The GrandResort Limited Edition by Leonardo Hotels for seafaring guests?	Yes, Limassol Marina, offering full-service berths for yachts, is around 13 km along the coast.	Low
Location & Transportation	Can guests hire bicycles or join guided cycling tours through The GrandResort Limited Edition by Leonardo Hotels?	Yes, the activities team arranges bicycle rentals and guided coastal cycling tours on request.	Low
Activities & Entertainment	Does The GrandResort Limited Edition by Leonardo Hotels feature both indoor and outdoor swimming pools?	Yes, an all-season indoor pool complements expansive outdoor lagoon pools set amid tropical gardens.	High
Activities & Entertainment	Is the children’s pool at The GrandResort Limited Edition by Leonardo Hotels equipped with a waterslide?	Yes, the dedicated children’s pool features a fun waterslide supervised by lifeguards.	Medium
Activities & Entertainment	What spa facilities and signature treatments are offered at The GrandResort Limited Edition by Leonardo Hotels?	The spa offers hammam, sauna, hot tub, and tailored massages, wraps, scrubs, and aromatherapy rituals using premium products.	High
Activities & Entertainment	Are daily fitness or yoga classes available at The GrandResort Limited Edition by Leonardo Hotels’ health club?	Yes, complimentary daily schedules include yoga, aerobics, and fitness classes led by certified instructors.	Medium
Activities & Entertainment	Does The GrandResort Limited Edition by Leonardo Hotels have floodlit tennis courts and provide complimentary equipment?	Yes, an outdoor floodlit tennis court is available and racquets with tennis balls are provided on a complimentary basis. [VERIFY]	High
Activities & Entertainment	Does The GrandResort Limited Edition by Leonardo Hotels host evening entertainment such as live music or themed shows?	Yes, nightly programmes range from live bands and DJs to themed shows and cultural performances.	Medium
Activities & Entertainment	Are supervised kids’ and teens’ clubs available at The GrandResort Limited Edition by Leonardo Hotels, and what are their operating hours?	Yes, supervised Kids Club runs 10:00–12:30 and 14:30–18:00, while the Teens Hub is open 10:00–19:00 daily.	High
Activities & Entertainment	Can water-sports activities such as wind-surfing or snorkeling be booked through The GrandResort Limited Edition by Leonardo Hotels?	Yes, the beach desk organises wind-surfing, snorkeling, diving, and other water-sports experiences with accredited partners.	Medium
Activities & Entertainment	Does The GrandResort Limited Edition by Leonardo Hotels offer direct access to a private sandy beach with sun loungers and umbrellas?	Yes, the resort opens onto its own private sandy beach, fully equipped with loungers, umbrellas, and towel service.	High
Activities & Entertainment	Are bespoke team-building or incentive activities available for conference delegates at The GrandResort Limited Edition by Leonardo Hotels?	Information is currently not available. [VERIFY]	Low
