Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel & Residenz München provide complimentary high-speed Wi-Fi throughout the entire property?	Yes, complimentary high-speed Wi-Fi is provided in all guest rooms, public areas and meeting spaces.	High
General Information	Is the reception desk at Leonardo Hotel & Residenz München staffed 24 hours a day?	Yes, the reception is staffed around the clock, ensuring assistance is available 24 hours a day.	High
General Information	How many guest rooms and apartments does Leonardo Hotel & Residenz München offer?	The property offers 270 rooms and apartments, including extended-stay units with kitchenettes.	Medium
General Information	Does Leonardo Hotel & Residenz München have multilingual staff available to assist international guests?	Yes, the team speaks German, English and additional languages to assist international travellers.	High
General Information	Are meeting or conference rooms available at Leonardo Hotel & Residenz München?	Yes, three flexible meeting rooms equipped with modern audiovisual technology can host up to 40 participants.	High
General Information	Does Leonardo Hotel & Residenz München have on-site private parking for guests?	Yes, on-site underground parking spaces are available directly beneath the building.	High
General Information	Is the on-site parking at Leonardo Hotel & Residenz München subject to a daily fee?	Yes, parking currently costs approximately €17 per vehicle per day.	Medium
General Information	Does Leonardo Hotel & Residenz München offer accessible rooms or facilities for guests with reduced mobility?	Yes, wheelchair-accessible rooms and barrier-free public areas, lifts and restrooms are available.	High
General Information	Is Leonardo Hotel & Residenz München considered a family-friendly property?	Yes, the property welcomes families with spacious family rooms, baby cots and highchairs on request.	Medium
General Information	Does Leonardo Hotel & Residenz München provide daily housekeeping service?	Yes, rooms are serviced with full housekeeping on a daily basis, including towel refresh and bed-making.	Medium
Accommodation & Room Services	Do the rooms at Leonardo Hotel & Residenz München feature a kitchenette or cooking facilities?	Yes, many Comfort Apartments include a kitchenette with sink, hob, microwave and refrigerator.	High
Accommodation & Room Services	Are tea and coffee-making facilities provided in every room at Leonardo Hotel & Residenz München?	Yes, an electric kettle with complimentary tea and coffee supplies is provided in every room.	High
Accommodation & Room Services	Does each room at Leonardo Hotel & Residenz München include air-conditioning?	Yes, all accommodation units are equipped with individually controlled air-conditioning.	Medium
Accommodation & Room Services	Is a minibar available in the guest rooms at Leonardo Hotel & Residenz München?	Yes, a stocked minibar or small refrigerator is present in each guest room.	High
