Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel San Sebastián provide complimentary high-speed Wi-Fi throughout all guest rooms and public areas?	Yes, complimentary high-speed Wi-Fi is available in every guest room and all public areas.	High
General Information	Is the reception desk at Leonardo Hotel San Sebastián staffed 24 hours a day?	Yes, the reception desk operates 24 hours daily, ensuring assistance at any time.	High
General Information	How many guest rooms are available at Leonardo Hotel San Sebastián?	The property offers 115 stylishly appointed guest rooms.	Medium
General Information	Does Leonardo Hotel San Sebastián offer rooms adapted for guests with reduced mobility?	Yes, several rooms are specifically adapted for guests with reduced mobility.	Medium
General Information	Is Leonardo Hotel San Sebastián a completely non-smoking property?	Yes, it is an entirely non-smoking hotel with no indoor smoking areas.	Medium
General Information	Does Leonardo Hotel San Sebastián feature on-site meeting and conference facilities?	Yes, two fully equipped meeting rooms are available for conferences and events.	Medium
General Information	Is a multilingual team available at Leonardo Hotel San Sebastián to assist international guests?	Yes, the front-desk team speaks English, Spanish, Basque, French and additional languages.	Low
General Information	Does Leonardo Hotel San Sebastián have an elevator providing step-free access to all floors?	Yes, an interior elevator offers step-free access to every accommodation floor.	Medium
General Information	Can guests at Leonardo Hotel San Sebastián earn or redeem Leonardo AdvantageCLUB benefits during their stay?	Yes, stays qualify for earning and redeeming Leonardo AdvantageCLUB points and privileges.	Low
Accommodation & Room Services	What room categories can be booked at Leonardo Hotel San Sebastián?	Comfort Room, Superior Room, Deluxe Triple Room and Family Room categories are available.	High
Accommodation & Room Services	Does Leonardo Hotel San Sebastián offer family rooms or accommodation for up to four guests?	Yes, dedicated Family Rooms and Deluxe Quadruple options comfortably accommodate up to four guests.	Medium
Accommodation & Room Services	Are all guest rooms at Leonardo Hotel San Sebastián equipped with individual air-conditioning and heating controls?	Yes, every room provides individual climate controls for air-conditioning and heating.	High
Accommodation & Room Services	Does every room at Leonardo Hotel San Sebastián include an in-room safe for valuables?	Information is currently not available. [VERIFY]	Low
Accommodation & Room Services	Do bathrooms at Leonardo Hotel San Sebastián feature rainfall showers and complimentary toiletries?	All bathrooms include complimentary toiletries; rainfall shower specification is currently not confirmed. [VERIFY]	Medium
Accommodation & Room Services	Is daily housekeeping included for guests staying at Leonardo Hotel San Sebastián?	Yes, daily housekeeping service is provided for all occupied rooms.	Low
Accommodation & Room Services	Are baby cribs available at Leonardo Hotel San Sebastián, and is there a charge for them?	Yes, baby cribs are available on request free of charge for children up to two years.	Medium
Accommodation & Room Services	Can extra beds be arranged at Leonardo Hotel San Sebastián for children aged 3-9, and what is the nightly fee?	Yes, an extra bed can be arranged for children aged 3–9 at €25 per night.	Medium
Accommodation & Room Services	Do guest rooms at Leonardo Hotel San Sebastián provide a dedicated work desk and high-speed Wi-Fi suitable for business use?	Yes, each room offers a work desk paired with high-speed Wi-Fi ideal for productive tasks.	Medium
Accommodation & Room Services	Does Leonardo Hotel San Sebastián offer a wake-up call service on request?	Yes, a complimentary wake-up call can be arranged through reception upon request.	Low
Food & Beverage	What type of breakfast is served each morning at Leonardo Hotel San Sebastián?	A generous international buffet breakfast is served every morning in the breakfast room.	High
Food & Beverage	What are the weekday and weekend breakfast buffet hours at Leonardo Hotel San Sebastián?	Monday–Friday 7:00–10:30; Saturday–Sunday 8:00–11:00.	Medium
Food & Beverage	Does the breakfast at Leonardo Hotel San Sebastián include vegetarian, vegan, gluten-free or dairy-free options?	Yes, the buffet includes clearly labelled vegetarian, vegan, gluten-free and lactose-free selections.	Medium
Food & Beverage	What is the current price per person for the breakfast buffet at Leonardo Hotel San Sebastián?	The breakfast buffet is currently priced at €15 per person.	Low
Food & Beverage	Does Leonardo Hotel San Sebastián have an on-site restaurant, and what are its daily lunch and dinner service times?	Yes, the onsite restaurant serves lunch 13:00–16:00 and dinner 19:00–22:30 daily.	Medium
Food & Beverage	Is there an on-site bar at Leonardo Hotel San Sebastián, and what hours is it open?	Yes, the lobby bar is open daily from 07:00 to 23:00.	Medium
Food & Beverage	Does Leonardo Hotel San Sebastián feature a coffee shop or café for light refreshments during the day?	No, a dedicated coffee shop or café is not available on-site. [VERIFY]	Low
Policies & Terms	What are the standard check-in and check-out times at Leonardo Hotel San Sebastián?	Check-in begins at 15:00, and check-out is requested by 11:00.	High
Policies & Terms	What is the minimum age required to check in at Leonardo Hotel San Sebastián?	The minimum registered guest age for check-in is 18 years.	High
Policies & Terms	Are pets permitted to stay with guests at Leonardo Hotel San Sebastián?	No, pets are not permitted to stay at the property.	High
Policies & Terms	Is Leonardo Hotel San Sebastián entirely smoke-free, and are there designated smoking areas?	Yes, the hotel is entirely smoke-free and no designated indoor smoking areas are provided.	Medium
Policies & Terms	What is the nightly fee for on-site parking at Leonardo Hotel San Sebastián, and is reservation required?	Paid parking is available nearby at €15 per 24-hour period; spaces are subject to availability and cannot be reserved in advance.	High
Policies & Terms	What is the cancellation or prepayment policy for reservations at Leonardo Hotel San Sebastián?	Cancellation and prepayment conditions vary by selected rate and room type; details are shown during the booking process.	Medium
Policies & Terms	What payment methods are accepted at Leonardo Hotel San Sebastián at check-in?	American Express, Visa, Mastercard, Maestro and cash payments are accepted.	Low
Policies & Terms	Do special terms apply when booking more than five rooms at Leonardo Hotel San Sebastián?	Yes, group bookings of more than five rooms are subject to different policies and possible supplements.	Low
Policies & Terms	Does Leonardo Hotel San Sebastián offer complimentary baggage storage before check-in or after check-out?	Yes, complimentary luggage storage is provided before arrival or after departure.	Medium
Location & Transportation	How far is Leonardo Hotel San Sebastián from La Concha Beach?	La Concha Beach is approximately 1.0 kilometre away.	Medium
Location & Transportation	What is the walking distance from Leonardo Hotel San Sebastián to Ondarreta Beach?	Ondarreta Beach can be reached on foot in roughly 1.2 kilometres.	Medium
Location & Transportation	How close is the “Bera Bera 85” bus stop to Leonardo Hotel San Sebastián?	The “Bera Bera 85” bus stop is located about 120 metres from the hotel entrance.	Low
Location & Transportation	What is the distance between Leonardo Hotel San Sebastián and Lugaritz train station?	Lugaritz train station lies approximately 1.0 kilometre away.	Low
Location & Transportation	Approximately how many kilometres separate Leonardo Hotel San Sebastián from San Sebastián Airport (EAS)?	The hotel is about 17 kilometres from San Sebastián Airport.	Medium
Location & Transportation	Is an electric-vehicle charging station available in the car park at Leonardo Hotel San Sebastián?	Currently, no on-site electric-vehicle charging station is available. [VERIFY]	Low
Location & Transportation	What is the distance from Leonardo Hotel San Sebastián to Miramar Palace?	Miramar Palace is roughly 3.0 kilometres from the property.	Medium
Activities & Entertainment	Does Leonardo Hotel San Sebastián feature a rooftop outdoor swimming pool?	Yes, a seasonal rooftop outdoor pool is available to registered guests.	High
Activities & Entertainment	During which months is the seasonal pool at Leonardo Hotel San Sebastián open?	The pool operates each year from 1 June through 30 September.	High
Activities & Entertainment	What are the daily opening hours for the pool at Leonardo Hotel San Sebastián?	Information is currently not available. [VERIFY]	High
Activities & Entertainment	Is there a fully equipped fitness centre at Leonardo Hotel San Sebastián for guest use?	Yes, a modern fitness room equipped with cardio and strength machines is available.	High
Activities & Entertainment	Does Leonardo Hotel San Sebastián provide sun loungers or a sun terrace for relaxing outdoors?	Yes, the rooftop terrace offers sun loungers and seating for outdoor relaxation.	Low
Activities & Entertainment	Is there a rooftop terrace at Leonardo Hotel San Sebastián offering panoramic city views?	Yes, guests can enjoy panoramic views from the expansive rooftop terrace.	Medium
Activities & Entertainment	Is the rooftop swimming pool at Leonardo Hotel San Sebastián supervised by a lifeguard?	Lifeguard supervision details are currently not available. [VERIFY]	Low
Activities & Entertainment	Are meeting rooms at Leonardo Hotel San Sebastián available for private events or seminars?	Yes, two flexible meeting rooms can be reserved for private events and seminars.	Medium
Activities & Entertainment	Does Leonardo Hotel San Sebastián provide pool towels for guests using the rooftop pool?	Pool towel availability is currently not confirmed. [VERIFY]	Low
