Category	Question	Answer	Frequency Level
General Information	What star rating and style of hospitality does The Manor Amsterdam offer?	Yes, it operates as a refined 4-star boutique hotel blending contemporary design with the gracious service of a historic landmark.	Medium
General Information	Does The Manor Amsterdam provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, high-speed Wi-Fi is free of charge in all guestrooms and public areas.	High
General Information	What are the standard check-in and check-out times at The Manor Amsterdam?	Check-in begins at 15:00 and check-out is required by 12:00 midday.	High
General Information	Does The Manor Amsterdam operate a 24-hour front desk service?	Yes, the reception desk is staffed around the clock for arrivals and assistance.	High
General Information	Is The Manor Amsterdam a completely non-smoking hotel?	Yes, all interior spaces and guestrooms are strictly non-smoking.	High
General Information	Does The Manor Amsterdam employ multilingual staff to assist international guests?	Yes, team members speak Dutch, English, German, French, Spanish and Italian.	Medium
General Information	How many guest rooms and suites are available at The Manor Amsterdam?	There are 125 exquisitely appointed rooms and suites across four accommodation floors.	Medium
General Information	Is The Manor Amsterdam housed in an historic 19th-century building, and has it been modernised for today’s travellers?	Yes, the property occupies an 1891 former hospital fully renovated with modern comforts.	Low
General Information	Are dedicated meeting and conference facilities available at The Manor Amsterdam?	Yes, four daylight-filled meeting rooms and a business centre accommodate events and conferences.	Medium
Accommodation & Room Services	What categories of rooms and suites can guests choose from at The Manor Amsterdam?	Superior King or Twin, Deluxe King or Twin, Superior Triple, Family Room, Junior Suite and a Superior King with Balcony.	High
Accommodation & Room Services	Do all guest rooms at The Manor Amsterdam feature individually controlled air-conditioning and heating?	Yes, every accommodation includes individually adjustable air-conditioning and central heating for year-round comfort.	High
Accommodation & Room Services	Are tea- and coffee-making facilities provided in every room at The Manor Amsterdam?	Yes, all rooms are equipped with an electric kettle plus premium tea and coffee supplies.	Medium
Accommodation & Room Services	Is a mini-fridge or minibar included in the guest rooms at The Manor Amsterdam?	Yes, each room contains a stocked minibar and compact refrigerator.	Medium
Accommodation & Room Services	Does The Manor Amsterdam supply baby cots or cribs on request, and is there a charge?	Yes, complimentary baby cots are available on advance request for infants.	Medium
Accommodation & Room Services	Can guests request an extra bed or roll-away bed at The Manor Amsterdam?	Yes, roll-away beds can be arranged for €50 per night subject to availability.	Medium
Accommodation & Room Services	Is daily housekeeping service offered for rooms at The Manor Amsterdam?	Yes, attentive housekeeping refreshes every room and bathroom each day.	High
Accommodation & Room Services	Are ironing boards and irons available to guests staying at The Manor Amsterdam?	Yes, an iron and ironing board are delivered promptly on request.	Medium
Accommodation & Room Services	Do any rooms at The Manor Amsterdam include a private balcony or terrace?	Yes, select Superior King Balcony rooms provide a furnished private outdoor space.	Low
Food & Beverage	Does The Manor Amsterdam serve a daily buffet breakfast on-site?	Yes, a generous buffet breakfast is presented each morning in the lounge-bar.	High
