Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel Madrid provide complimentary Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public areas.	High
General Information	Is the reception at Leonardo Boutique Hotel Madrid staffed 24 hours a day?	Yes, the front desk operates continuously, welcoming arrivals and assisting guests at any hour.	High
General Information	How many guestrooms are available at Leonardo Boutique Hotel Madrid?	The hotel offers 75 contemporary guestrooms across Economy, Comfort, Triple and Deluxe categories.	Medium
General Information	What sustainability certification does Leonardo Boutique Hotel Madrid hold?	Currently, the property holds the Ecostars sustainability certification recognised by Travel Sustainable.	Low
General Information	Is Leonardo Boutique Hotel Madrid entirely non-smoking?	Yes, the property is completely smoke-free, including all rooms, corridors and public spaces.	Medium
General Information	Does Leonardo Boutique Hotel Madrid offer facilities accessible to guests with reduced mobility?	Yes, wheelchair-accessible public areas and two specially adapted guestrooms accommodate reduced-mobility guests.	High
General Information	Are multilingual team members present at Leonardo Boutique Hotel Madrid?	Yes, multilingual staff speaking English and Spanish are on hand to assist international visitors.	Medium
General Information	Does Leonardo Boutique Hotel Madrid participate in the Leonardo AdvantageCLUB loyalty programme?	Yes, membership in the Leonardo AdvantageCLUB is available, providing points and exclusive rate benefits.	Low
General Information	Is an elevator available to all guest floors at Leonardo Boutique Hotel Madrid?	Yes, passenger lifts serve every guest floor, ensuring effortless access to rooms and facilities.	Medium
Accommodation & Room Services	Do all rooms at Leonardo Boutique Hotel Madrid include individual air-conditioning?	Yes, each guestroom features individually controlled air-conditioning for personalised temperature comfort year-round.	High
Accommodation & Room Services	Is a large flat-screen satellite TV provided in every room at Leonardo Boutique Hotel Madrid?	Yes, every room is equipped with a large flat-screen television offering international satellite channels.	High
Accommodation & Room Services	Can guests prepare tea and coffee in their room at Leonardo Boutique Hotel Madrid?	Yes, complimentary tea- and coffee-making facilities are provided in all guestrooms for convenience.	High
Accommodation & Room Services	Are baby cots available on request at Leonardo Boutique Hotel Madrid?	Yes, baby cots are available free of charge upon prior request and subject to availability.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel Madrid offer laundry and dry-cleaning services?	Yes, same-day laundry and professional dry-cleaning services can be arranged through the housekeeping team.	Medium
Accommodation & Room Services	Is a personal safe provided in the guestrooms at Leonardo Boutique Hotel Madrid?	Yes, each guestroom contains an electronic safe for secure storage of valuables and documents.	Medium
Accommodation & Room Services	Do deluxe rooms at Leonardo Boutique Hotel Madrid feature a private terrace with city views?	Yes, Deluxe rooms on the top floor include private terraces affording pleasant Madrid city views.	Low
Accommodation & Room Services	Are hairdryers supplied in all bathrooms at Leonardo Boutique Hotel Madrid?	Yes, powerful wall-mounted hairdryers are provided in every private bathroom.	High
Accommodation & Room Services	Does Leonardo Boutique Hotel Madrid provide a mini-refrigerator or minibar in each room?	Yes, all guestrooms feature a minibar-style refrigerator for keeping drinks and snacks chilled.	Medium
Food & Beverage	Does Leonardo Boutique Hotel Madrid serve a daily buffet breakfast?	Yes, a generous buffet breakfast with hot and cold selections is served each morning.	High
Food & Beverage	What are the weekday breakfast hours at Leonardo Boutique Hotel Madrid?	Breakfast is available Monday to Friday from 07:00 until 10:30.	Medium
Food & Beverage	What are the weekend breakfast hours at Leonardo Boutique Hotel Madrid?	On Saturdays and Sundays breakfast is served from 08:00 to 11:30.	Medium
Food & Beverage	Is there an additional charge for breakfast at Leonardo Boutique Hotel Madrid when it is not included in the room rate?	Yes, when not included, breakfast may be added for approximately €15 per person.	Medium
Food & Beverage	Does the breakfast buffet at Leonardo Boutique Hotel Madrid offer gluten-free products?	Yes, gluten-free items are provided on the buffet or quickly prepared on request.	Medium
Food & Beverage	Are vegetarian or vegan items available at the breakfast buffet of Leonardo Boutique Hotel Madrid?	Yes, clearly labelled vegetarian and vegan options are included among the breakfast selections.	Medium
Food & Beverage	Can guests request in-room dining or room service at Leonardo Boutique Hotel Madrid?	Yes, room service with a limited menu is available for private in-room dining.	Low
Food & Beverage	Are vending machines for snacks and drinks available on site at Leonardo Boutique Hotel Madrid?	Yes, 24-hour vending machines in the lobby dispense assorted snacks and beverages.	Low
Food & Beverage	Where within Leonardo Boutique Hotel Madrid is the breakfast buffet served?	The buffet is laid out in the bright ground-floor breakfast room beside the lobby. [VERIFY]	Low
Policies & Terms	What is the standard check-in time at Leonardo Boutique Hotel Madrid?	Standard check-in commences at 15:00, with early arrivals accommodated when cleaned rooms are ready.	High
Policies & Terms	What is the standard check-out time at Leonardo Boutique Hotel Madrid?	Standard check-out is at 12:00 noon, allowing guests a leisurely departure morning.	High
Policies & Terms	What is the minimum age requirement for check-in at Leonardo Boutique Hotel Madrid?	The minimum legal age to register and check-in is 18 years.	High
Policies & Terms	Does Leonardo Boutique Hotel Madrid accept cash payments, or are cashless transactions mandatory?	Currently, the hotel operates cashless; payments are accepted by credit or debit card only.	Medium
Policies & Terms	Are pets permitted at Leonardo Boutique Hotel Madrid, and are guide dogs exempt from the policy?	No, pets are not allowed, but certified guide or assistance dogs are warmly accepted.	High
Policies & Terms	What daily fee applies to the hotel’s underground parking at Leonardo Boutique Hotel Madrid?	Secure underground parking is available at an approximate cost of €24.20 per day.	Medium
Policies & Terms	Does Leonardo Boutique Hotel Madrid require a government-issued photo ID and a credit card at check-in?	Yes, guests must present valid photo identification and a credit card upon check-in for incidentals.	Medium
Policies & Terms	Do special conditions apply when reserving more than five rooms at Leonardo Boutique Hotel Madrid?	Yes, group reservations of six or more rooms are subject to special terms and possible supplements.	Low
Policies & Terms	Is luggage storage available for early arrivals or late departures at Leonardo Boutique Hotel Madrid?	Yes, complimentary luggage storage is offered both before check-in and after check-out.	Medium
Location & Transportation	How far is Leonardo Boutique Hotel Madrid from Canal Metro Station?	Canal Metro Station is about 500 metres away, roughly a five-minute walk.	High
Location & Transportation	What is the approximate walking time from Leonardo Boutique Hotel Madrid to Gran Vía?	Gran Vía can be reached in around 30 minutes on foot, covering about 1.7 km.	Medium
Location & Transportation	What is the distance between Leonardo Boutique Hotel Madrid and Atocha railway station?	Atocha railway station lies approximately 3.5 kilometres from the hotel entrance.	Medium
Location & Transportation	How many kilometres separate Leonardo Boutique Hotel Madrid from Adolfo Suárez Madrid–Barajas Airport?	The airport is located about 12 kilometres away, a 20-minute drive in normal traffic.	Medium
Location & Transportation	Does Leonardo Boutique Hotel Madrid provide on-site private parking for guests arriving by car?	Yes, secure private underground parking is situated directly beneath the property.	High
Location & Transportation	Is the underground parking at Leonardo Boutique Hotel Madrid accessible without prior reservation?	Yes, spaces are offered on a first-come, first-served basis; no advance reservation is needed.	Medium
Location & Transportation	Which major cultural landmarks lie within two kilometres of Leonardo Boutique Hotel Madrid?	Nearby landmarks within two kilometres include Teatro Real, Gran Vía, Puerta del Sol and the Royal Palace.	Low
Location & Transportation	Can the front desk at Leonardo Boutique Hotel Madrid arrange taxi transfers to the airport?	Yes, reception can pre-book licensed taxis or private transfers to Adolfo Suárez Madrid–Barajas Airport.	Medium
Location & Transportation	How far is Leonardo Boutique Hotel Madrid from the Royal Palace of Madrid?	The Royal Palace is roughly 1.9 kilometres away, a pleasant 25-minute walk.	Low
Activities & Entertainment	Does Leonardo Boutique Hotel Madrid operate a concierge or tour desk to assist with city excursions?	Yes, concierge and tour-desk services are available to organise excursions, dining and transport.	Medium
Activities & Entertainment	Can Leonardo Boutique Hotel Madrid arrange tickets for local theatres and attractions?	Yes, staff can source and book tickets for theatres, museums and other attractions on request.	Low
Activities & Entertainment	Is there an outdoor terrace at Leonardo Boutique Hotel Madrid where guests can relax?	Yes, a furnished outdoor terrace offers a calm spot for drinks or reading.	Low
Activities & Entertainment	Does Leonardo Boutique Hotel Madrid offer wake-up calls for early departures?	Yes, personalised wake-up calls can be scheduled through reception for early flights or meetings.	Low
Activities & Entertainment	Are vending machines for drinks and snacks available 24/7 at Leonardo Boutique Hotel Madrid?	Yes, lobby vending machines dispense drinks and snacks around the clock for guest convenience.	Low
Activities & Entertainment	Is a luggage storage facility provided at Leonardo Boutique Hotel Madrid for guests exploring the city after check-out?	Yes, complimentary luggage storage is provided after check-out for guests continuing to explore. [duplicate]	High
Activities & Entertainment	Are fax and photocopying services available for business travellers at Leonardo Boutique Hotel Madrid?	Yes, fax and photocopying services are offered via reception for business needs.	Low
Activities & Entertainment	Can guests hire a car directly through Leonardo Boutique Hotel Madrid for day trips?	Yes, the front desk can arrange car-rental services for day trips and excursions.	Medium
Activities & Entertainment	Does Leonardo Boutique Hotel Madrid offer wheelchair-accessible public areas and guest rooms?	Yes, public areas are wheelchair friendly and two guestrooms are fully wheelchair-accessible.	Medium
