Category	Question	Answer	Frequency Level
General Information	Does Jan Luyken Amsterdam by Leonardo Hotels offer complimentary Wi-Fi throughout the property?	Yes, complimentary high-speed Wi-Fi is available in all guest rooms and public spaces.	High
General Information	What are the standard check-in and check-out times at Jan Luyken Amsterdam by Leonardo Hotels?	Check-in begins at 15:00 while check-out is required by 12:00 noon.	High
General Information	Is the reception at Jan Luyken Amsterdam by Leonardo Hotels staffed 24 hours a day?	Yes, a courteous front-desk team is on duty around the clock for any assistance.	High
General Information	How many guest rooms are there at Jan Luyken Amsterdam by Leonardo Hotels?	The intimate townhouse hotel comprises 62 thoughtfully designed guest rooms and suites.	Medium
General Information	Does the team at Jan Luyken Amsterdam by Leonardo Hotels speak multiple languages?	Yes, staff members speak Dutch, English, German, Italian and Spanish for international guests.	Medium
General Information	Is Jan Luyken Amsterdam by Leonardo Hotels a completely non-smoking hotel?	Yes, the entire building operates as a 100 percent smoke-free environment.	Medium
General Information	Does Jan Luyken Amsterdam by Leonardo Hotels hold an official eco-certification?	Yes, the property is Green Key certified, confirming recognised sustainable hotel standards.	Low
General Information	Is there an elevator providing step-free access to all floors at Jan Luyken Amsterdam by Leonardo Hotels?	Yes, a modern elevator ensures step-free access from reception to every guest floor.	Medium
General Information	What official star rating has been awarded to Jan Luyken Amsterdam by Leonardo Hotels?	The hotel is officially classified as a comfortable 4-star accommodation.	Medium
General Information	Does Jan Luyken Amsterdam by Leonardo Hotels provide concierge or tour-desk services?	Yes, the reception gladly offers concierge-style tour and ticket assistance for local attractions.	Medium
Accommodation & Room Services	Are all guest rooms at Jan Luyken Amsterdam by Leonardo Hotels equipped with individual air-conditioning?	Yes, every room features individually controlled air-conditioning for personalised climate comfort.	High
Accommodation & Room Services	Do rooms at Jan Luyken Amsterdam by Leonardo Hotels include in-room coffee and tea making facilities?	Yes, an electric kettle with complimentary coffee and tea is provided in every room.	High
Accommodation & Room Services	Are blackout curtains provided in the rooms at Jan Luyken Amsterdam by Leonardo Hotels?	Yes, rooms are fitted with blackout drapes to ensure a restful night’s sleep.	Medium
Accommodation & Room Services	Does Jan Luyken Amsterdam by Leonardo Hotels supply premium bedding in every room type?	Yes, all categories are dressed with soft, premium bedding for elevated comfort.	Low
Accommodation & Room Services	Is a flat-screen television available in all guest rooms at Jan Luyken Amsterdam by Leonardo Hotels?	Yes, each guest room includes a contemporary flat-screen TV with international channels.	Medium
Accommodation & Room Services	Are in-room safes provided for personal valuables at Jan Luyken Amsterdam by Leonardo Hotels?	Yes, a secure laptop-size safe is installed in every guest room for valuables.	Medium
Accommodation & Room Services	Is daily housekeeping provided automatically, or do guests request room cleaning via the hotel app at Jan Luyken Amsterdam by Leonardo Hotels?	Currently, housekeeping is arranged on request through the in-house Duve app to support sustainability.	High
Accommodation & Room Services	Is room service available at Jan Luyken Amsterdam by Leonardo Hotels?	Yes, selected food and beverage items can be delivered to the room on request.	Medium
Accommodation & Room Services	Can Jan Luyken Amsterdam by Leonardo Hotels provide baby cots for infants?	Yes, complimentary baby cots are available on prior reservation and subject to availability.	Low
Food & Beverage	Does Jan Luyken Amsterdam by Leonardo Hotels serve a daily breakfast buffet?	Yes, a generous buffet breakfast featuring local produce is served every morning.	High
Food & Beverage	What are the breakfast service hours at Jan Luyken Amsterdam by Leonardo Hotels?	Breakfast is offered daily between 07:00 and 11:00 in the lounge area.	Low
Food & Beverage	Are vegetarian, vegan or gluten-free options available at breakfast at Jan Luyken Amsterdam by Leonardo Hotels?	Yes, vegetarian, vegan and gluten-free selections are happily prepared when advised in advance.	Medium
Food & Beverage	Can guests at Jan Luyken Amsterdam by Leonardo Hotels request an early breakfast before 07:00 a.m.?	Yes, an earlier breakfast can be arranged with prior notice to the team.	Low
