Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Plymouth provide free Wi-Fi throughout the property?	Yes, free Wi-Fi is available throughout all areas of the property, ensuring guests remain connected.	High
General Information	What are the standard check-in and check-out times at Leonardo Hotel Plymouth?	The standard check-in time is 3:00 PM, and check-out is 11:00 AM. The staff can accommodate special requests when possible.	High
General Information	Is the front desk at Leonardo Hotel Plymouth open 24 hours a day?	Yes, the front desk operates around the clock, allowing guests to receive assistance at any time.	Medium
General Information	Does Leonardo Hotel Plymouth have multilingual staff members to assist international guests?	Yes, some staff members speak multiple languages to help international visitors, subject to availability.	Medium
General Information	Is on-site parking available at Leonardo Hotel Plymouth, and is there a fee?	No, the property does not have on-site parking. Arrangements with a nearby public car park are available, and fees apply. [VERIFY]	High
General Information	Can guests host business meetings at Leonardo Hotel Plymouth's conference facilities?	Yes, the hotel offers conference facilities suitable for business meetings, with versatile setups and equipment available on request.	Medium
General Information	Are families welcome at Leonardo Hotel Plymouth, and does the hotel offer child-friendly amenities?	Yes, families are welcome, and the hotel provides amenities such as family rooms and kids’ meal options. [VERIFY]	Medium
General Information	Does Leonardo Hotel Plymouth offer fully accessible facilities for guests with reduced mobility?	Yes, the property provides accessible rooms and public areas designed to accommodate guests with reduced mobility.	Medium
General Information	Are there any special promotions for weekend stays at Leonardo Hotel Plymouth?	Currently, there may be special weekend promotions offered. Guests are advised to contact reservations for the latest deals. [VERIFY]	Low
General Information	Do all guests at Leonardo Hotel Plymouth receive complimentary newspapers or magazines in the lobby?	No, complimentary newspapers or magazines are not offered to all guests. Availability may vary. [VERIFY]	Low
Accommodation & Room Services	Do all rooms at Leonardo Hotel Plymouth include a mini-fridge and tea & coffee-making facilities?	Yes, each guestroom features tea and coffee-making facilities, and most rooms include a mini-fridge. Availability can vary by room type. [VERIFY]	High
Accommodation & Room Services	Does Leonardo Hotel Plymouth provide hairdryers and ironing equipment in every room?	Yes, every room is equipped with a hairdryer and ironing setup to ensure guest convenience.	Medium
Accommodation & Room Services	Can guests at Leonardo Hotel Plymouth request extra pillows or hypoallergenic bedding?	Yes, extra pillows and hypoallergenic bedding are available upon request, subject to availability.	Medium
Accommodation & Room Services	Does Leonardo Hotel Plymouth offer 24-hour room service for late-night dining?	Yes, 24-hour room service is provided, allowing guests to order meals and snacks at any hour. [VERIFY]	High
Accommodation & Room Services	Are USB charging sockets available in the rooms at Leonardo Hotel Plymouth?	Currently, many rooms offer USB charging sockets, but availability can vary by room type. [VERIFY]	Medium
Accommodation & Room Services	Is air-conditioning provided in every guest room at Leonardo Hotel Plymouth?	Yes, all guestrooms include air-conditioning for personalized climate control.	High
Accommodation & Room Services	What laundry and dry-cleaning services are available at Leonardo Hotel Plymouth?	The hotel offers laundry and dry-cleaning services upon request, with same-day options typically available for a fee. Items are usually returned within 24 hours.	Medium
Accommodation & Room Services	Does Leonardo Hotel Plymouth supply complimentary toiletries in the bathrooms?	Yes, complimentary toiletries are provided in each bathroom for guest use during their stay.	Medium
Accommodation & Room Services	Can guests at Leonardo Hotel Plymouth request an in-room dining menu specialized for dietary requirements?	Yes, specialized meals can be prepared upon request to accommodate dietary needs. [VERIFY]	Low
Accommodation & Room Services	Is there a limit to the number of additional rollaway beds per room at Leonardo Hotel Plymouth?	Yes, typically only one rollaway bed can be added per room, subject to room capacity. [VERIFY]	Low
Food & Beverage	Does Leonardo Hotel Plymouth serve a buffet breakfast, and what are the breakfast hours?	Yes, the hotel serves a buffet breakfast. Weekday hours typically start around 6:30 AM, and weekend hours begin around 7:00 AM. [VERIFY]	High
Food & Beverage	Are vegetarian and vegan breakfast options available at Leonardo Hotel Plymouth?	Yes, vegetarian and vegan selections are generally included in the breakfast lineup, and the kitchen can accommodate special requests.	Medium
Food & Beverage	Does Leonardo Hotel Plymouth offer a gluten-free menu for guests with dietary restrictions?	Yes, gluten-free dishes are available, and staff members take care to prepare items separately whenever possible.	Medium
Food & Beverage	Is there a bar at Leonardo Hotel Plymouth that non-residents can visit?	Yes, the property’s bar welcomes both registered guests and external visitors seeking to enjoy drinks.	High
Food & Beverage	Does Leonardo Hotel Plymouth offer afternoon tea service, and is a reservation required?	Yes, afternoon tea is offered, and reserving in advance is recommended to ensure availability. [VERIFY]	Medium
Food & Beverage	Is there a late-night snack menu through room service at Leonardo Hotel Plymouth?	Yes, a limited late-night snack menu is available through room service for those who need to dine after standard hours. [VERIFY]	Low
