Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel München City West offer complimentary Wi-Fi throughout the property?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public spaces.	High
General Information	Is the reception at Leonardo Hotel München City West open 24 hours a day?	Yes, the reception desk operates 24 hours daily, assisting guests at any time.	High
General Information	What are the standard check-in and check-out times at Leonardo Hotel München City West?	Check-in begins at 15:00, while check-out is requested by 12:00 noon.	High
General Information	Does Leonardo Hotel München City West provide on-site underground parking for guests?	Yes, an on-site underground car park is available directly beneath the building.	High
General Information	Is Leonardo Hotel München City West equipped with facilities for guests with reduced mobility?	Yes, accessible guestrooms, step-free entrances and elevators accommodate guests with reduced mobility.	Medium
General Information	Does Leonardo Hotel München City West have multilingual staff available?	Yes, front-of-house staff speak German, English and additional languages when required.	Medium
General Information	Are family or connecting rooms available at Leonardo Hotel München City West?	Yes, the property offers family rooms and some units with connecting doors.	Medium
General Information	How many meeting or conference rooms does Leonardo Hotel München City West offer?	The hotel provides five fully equipped meeting rooms for seminars and conferences.	Medium
General Information	Does Leonardo Hotel München City West provide laundry or dry-cleaning services?	Yes, professional laundry and same-day dry-cleaning services can be arranged through reception.	Medium
Accommodation & Room Services	Are the guestrooms at Leonardo Hotel München City West air-conditioned?	Yes, all guestrooms include individually controlled air conditioning for year-round comfort.	High
Accommodation & Room Services	Is daily housekeeping included in the stay at Leonardo Hotel München City West?	Yes, daily housekeeping refreshes rooms, replaces linens and replenishes amenities during a stay.	Medium
Accommodation & Room Services	Does Leonardo Hotel München City West offer room service, and during which hours is it available?	Yes, room service is available; orders may be placed daily from 18:00–22:30.	High
Accommodation & Room Services	Do rooms at Leonardo Hotel München City West feature a kitchenette?	Yes, many rooms include a kitchenette with microwave, fridge and basic utensils.	Medium
Accommodation & Room Services	Is a minibar provided in every room at Leonardo Hotel München City West?	Yes, each guestroom contains a stocked minibar charged according to consumption.	High
Accommodation & Room Services	Does Leonardo Hotel München City West provide tea and coffee making facilities in guestrooms?	Yes, complimentary tea-and-coffee trays with kettle are provided in all accommodation categories.	Medium
Accommodation & Room Services	Are balconies available in some rooms at Leonardo Hotel München City West?	Yes, selected rooms feature private balconies overlooking the courtyard or city surroundings.	Medium
Accommodation & Room Services	Are ironing facilities available or obtainable at Leonardo Hotel München City West?	Yes, irons and ironing boards can be delivered promptly to guestrooms upon request.	Medium
Accommodation & Room Services	Can hypoallergenic bedding or extra pillows be requested at Leonardo Hotel München City West?	Yes, hypoallergenic bedding and additional pillows are available on advance or on-site request.	Low
Food & Beverage	Does Leonardo Hotel München City West serve a daily breakfast buffet?	Yes, a substantial hot-and-cold breakfast buffet is prepared every morning.	High
Food & Beverage	What are the breakfast service hours at Leonardo Hotel München City West?	Breakfast is served weekdays 06:30–10:30 and weekends as well as holidays 07:00–11:00.	High
Food & Beverage	Are vegetarian or vegan choices available at breakfast at Leonardo Hotel München City West?	Yes, vegetarian and clearly labelled vegan options form part of the daily buffet selection.	Medium
Food & Beverage	Is there an on-site restaurant at Leonardo Hotel München City West?	Yes, the “La Terrazza” restaurant operates on-site with indoor and garden seating.	High
Food & Beverage	Does the restaurant at Leonardo Hotel München City West provide lunch and dinner?	Yes, Mediterranean-style lunches and dinners are served; reservations are recommended.	Medium
Food & Beverage	Does Leonardo Hotel München City West operate a bar or lounge?	Yes, a cosy lobby bar pours cocktails, Bavarian beers and soft drinks nightly.	High
Food & Beverage	Are gluten-free meal options available at Leonardo Hotel München City West?	Yes, gluten-free breads and products can be provided; advise staff in advance.	Medium
Food & Beverage	Can non-residents dine at the restaurant of Leonardo Hotel München City West?	Yes, outside guests are welcome to dine in the restaurant subject to availability.	Low
Food & Beverage	Does Leonardo Hotel München City West offer a children’s menu?	Information is currently not available. [VERIFY]	Low
Policies & Terms	What is the standard cancellation policy at Leonardo Hotel München City West?	Cancellation is free until 18:00 on arrival day for flexible rates; non-refundable reservations cannot be cancelled without charge.	High
Policies & Terms	Does Leonardo Hotel München City West allow pets, and what fee is charged?	Yes, well-behaved dogs are accepted for a cleaning fee of €15 per night.	High
Policies & Terms	Is Leonardo Hotel München City West a smoke-free hotel?	Yes, all interior areas are non-smoking, with designated outdoor smoking zones only.	High
Policies & Terms	Can early check-in or late check-out be arranged at Leonardo Hotel München City West?	Yes, early arrival or late departure may be arranged subject to availability and a surcharge.	High
Policies & Terms	Does Leonardo Hotel München City West offer luggage storage before check-in or after check-out?	Yes, secure luggage storage is complimentary at reception for arriving or departing guests.	Medium
Policies & Terms	Does Leonardo Hotel München City West provide express check-in and express check-out services?	Yes, express check-in/checkout can be requested to speed up formalities at the desk.	Medium
Policies & Terms	What is the minimum age required to check in at Leonardo Hotel München City West?	At least one guest per room must be 18 years of age.	Medium
Policies & Terms	Does Leonardo Hotel München City West request a security deposit or pre-authorisation at check-in?	Yes, a credit-card pre-authorisation is taken on arrival to cover incidentals.	Medium
Policies & Terms	What policies apply to group bookings or events at Leonardo Hotel München City West?	Group reservations of six rooms or more are subject to special contracts and advance deposits.	Low
Location & Transportation	Which U-Bahn station is closest to Leonardo Hotel München City West?	The nearest stop is Brudermühlstraße station on line U3, approximately 100 metres away.	High
Location & Transportation	How far is Leonardo Hotel München City West from Munich city centre (Marienplatz)?	It is roughly 3 kilometres south of Marienplatz, about 10 minutes by U-Bahn.	High
Location & Transportation	What are the parking fees at Leonardo Hotel München City West?	Underground parking costs €15 per vehicle per day, payable at reception.	High
Location & Transportation	Does Leonardo Hotel München City West provide directions or service to Munich Airport, and how long is the journey?	Reception supplies detailed public-transport and taxi directions; the journey averages 40–45 minutes.	Medium
Location & Transportation	Is an airport shuttle service available through Leonardo Hotel München City West?	No, the property does not run its own shuttle but will arrange taxis on request.	Medium
Location & Transportation	Is Leonardo Hotel München City West within walking distance of the Isar River or Hellabrunn Zoo?	Yes, the Isar riverbank and Hellabrunn Zoo can be reached on foot in around 15 minutes.	Medium
Location & Transportation	Can Leonardo Hotel München City West arrange taxi or car-hire services for guests?	Yes, the front desk will order taxis or organise car-rental pickup for guests.	Medium
Location & Transportation	Does Leonardo Hotel München City West offer bicycle rental or secure bike storage?	Secure indoor bike storage is available; rental bicycles can be organised through nearby partners.	Low
Location & Transportation	What is the best route from Leonardo Hotel München City West to the Messe München trade fair centre?	Take U3 to Marienplatz, change to U2 towards Messestadt West; total ride about 25 minutes.	Low
Activities & Entertainment	Does Leonardo Hotel München City West have an on-site fitness centre?	Yes, a compact fitness room equipped with cardio and strength machines is free to use.	High
Activities & Entertainment	Is there a sauna or steam bath available to guests at Leonardo Hotel München City West?	Yes, guests may relax in the Finnish sauna and adjoining steam bath area.	High
Activities & Entertainment	Does Leonardo Hotel München City West feature a rooftop terrace or sun deck?	Yes, a spacious rooftop terrace with loungers provides city and Alpine views.	Medium
Activities & Entertainment	Can guests book guided city tours through Leonardo Hotel München City West?	Yes, reception will gladly reserve organised walking or bus tours of Munich upon request.	Medium
Activities & Entertainment	Does Leonardo Hotel München City West arrange tickets for local attractions or events?	Yes, ticket assistance for concerts, museums and public transport is offered at the desk.	Medium
Activities & Entertainment	Are children permitted to use the wellness area at Leonardo Hotel München City West?	Yes, children may access the wellness zone when accompanied and supervised by an adult.	Low
Activities & Entertainment	Are spa or massage treatments offered at Leonardo Hotel München City West?	No dedicated spa treatments or massages are provided on-site at this property.	Low
Activities & Entertainment	Does Leonardo Hotel München City West provide fitness classes or personal training sessions?	Information is currently not available. [VERIFY]	Low
Activities & Entertainment	Is live entertainment or themed evening entertainment available at Leonardo Hotel München City West?	No, the property does not schedule live entertainment or themed evening programmes.	Low
