Category	Question	Answer	Frequency Level
General Information	האם מלון הרודס הרצליה מציע אינטרנט אלחוטי חופשי בכל שטחי המלון?	כן, אינטרנט אלחוטי חופשי וללא הגבלה פועל בכל שטחי המלון, החדרים, הלובי ומתחמי האירועים.	High
General Information	האם דלפק הקבלה במלון הרודס הרצליה פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש מסביב לשעון ומעניק סיוע מקצועי לאורחים 24/7.	Medium
General Information	מהן שעות הצ’ק-אין במלון הרודס הרצליה?	צ’ק-אין בימים ראשון-שישי החל מ-15:00; בשבתות ובחגים רק מצאת השבת, סביב 19:00.	High
General Information	מהן שעות הצ’ק-אאוט במלון הרודס הרצליה?	צ’ק-אאוט מתבצע בימים ראשון-שישי עד 11:00, ובשבתות וחגים עד 14:00 ללא תשלום.	High
General Information	האם מלון הרודס הרצליה מתאים לאירוח משפחות עם ילדים?	כן, חדרי משפחה, מועדון ילדים, בריכת פעוטות ושירותי בייביסיטר הופכים אותו ידידותי למשפחות.	Medium
General Information	האם מלון הרודס הרצליה כולל מתקנים ושירותים נגישים לאורחים עם מוגבלויות?	כן, חמשת חדרי הנגישות, דרכי הגישה, מעליות ומעלית לבריכה מותאמים במלואם לאורחים עם מוגבלות.	High
General Information	כמה חדרים וסוויטות יש במלון הרודס הרצליה?	במתחם 252 חדרים וסוויטות מעוצבים, רבים מהם משקיפים לים או למרינה.	Low
General Information	האם במלון הרודס הרצליה קיימים אולמות וחדרי ישיבות לאירועים עסקיים?	כן, מספר אולמות מרווחים וחדרי ישיבות מאובזרים בטכנולוגיה מתקדמת זמינים לכנסים ואירועים.	Medium
General Information	האם במלון הרודס הרצליה קיימת חניה חינם לאורחים?	כן, חניה חינמית עומדת לרשות האורחים בסמוך למלון ללא צורך בהזמנה מוקדמת.	High
General Information	האם מלון הרודס הרצליה פועל תחת תעודת כשרות מוסמכת?	כן, המטבח פועל בכשרות מהודרת בפיקוח הרבנות הראשית באמצעות תעודת “שוהם”.	Medium
Accommodation & Room Services	האם בכל חדר במלון הרודס הרצליה קיימת מערכת מיזוג אוויר וחימום אישית?	כן, בכל חדר מותקנת מערכת מיזוג אוויר מתקדמת הנשלטת אישית להתאמת טמפרטורה מדויקת.	High
Accommodation & Room Services	האם חדרי מלון הרודס הרצליה מצוידים במיני-בר?	כן, מיני-בר מאובזר זמין בכל החדרים והסוויטות לרענון ומשקאות קלים.	High
Accommodation & Room Services	האם ניתן להזמין שירות חדרים במלון הרודס הרצליה 24 שעות ביממה?	כן, שירות חדרים קולינרי פעיל 24 שעות ומספק מנות ומשקאות בכל שעה.	Medium
Accommodation & Room Services	האם חדרי מלון הרודס הרצליה כוללים ערכת תה וקפה?	כן, ערכת הכנה של תה וקפה עם קומקום חשמלי זמינה ללא עלות בכל חדר.	Medium
Accommodation & Room Services	האם מלון הרודס הרצליה מספק חלוקי רחצה ונעלי בית בחדרים?	כן, חלוקי רחצה רכים ונעלי בית מפנקות ממתינים לאורחים בכל חדרי האירוח.	Medium
Accommodation & Room Services	האם בחדרי מלון הרודס הרצליה קיימת כספת תואמת מחשב-נייד?	כן, כספת אלקטרונית תואמת-מחשב-נייד מותקנת בכל חדר לשמירת חפצים יקרי ערך.	Low
Accommodation & Room Services	האם מלון הרודס הרצליה מציע שירותי כביסה וניקוי יבש לאורחים?	כן, שירותי כביסה וניקוי יבש מקצועיים נאספים מן החדר ומבוצעים בתשלום נוסף.	High
Accommodation & Room Services	האם במלון הרודס הרצליה ניתן להזמין חדרים מחוברים למשפחות?	Currently, המידע בדבר זמינות חדרים מחוברים טרם אושר סופית. [VERIFY]	Low
Accommodation & Room Services	האם ניתן להזמין מיטת תינוק (עריסה) בחדר במלון הרודס הרצליה?	כן, עריסות לתינוק זמינות לפי בקשה מוקדמת ובעלות סמלית ללילה, בהתאם למלאי.	High
Accommodation & Room Services	האם מרפסות החדרים במלון הרודס הרצליה משקיפות לים או למרינה?	כן, רבות מהמרפסות צופות לים התיכון או למרינת הרצליה ומציעות נוף מרהיב.	Medium
Food & Beverage	איזה סוג ארוחת בוקר מוגשת במלון הרודס הרצליה?	ארוחת בוקר כשרה עשירה בסגנון מזנון ישראלי-בינלאומי, עם מבחר מאפים, סלטים ותחנות חמות.	High
Food & Beverage	מהן שעות הגשת ארוחת הבוקר במלון הרודס הרצליה?	ארוחת הבוקר מוגשת א'–ה' 07:00-10:30, ובשישי-שבת וחגים 07:00-11:00.	Medium
Food & Beverage	האם במלון הרודס הרצליה זמינות אפשרויות תפריט טבעוני, צמחוני או ללא גלוטן?	כן, בהזמנה מוקדמת ניתן לקבל מנות טבעוניות, צמחוניות וללא גלוטן בהתאם לכשרות.	Medium
Food & Beverage	האם מסעדת מלון הרודס הרצליה פתוחה גם לארוחות צהריים וערב?	כן, המסעדה הראשית מגישה תפריטי צהריים וערב מגוונים מול נוף הים.	High
Food & Beverage	האם בר הגג של מלון הרודס הרצליה מציע קוקטיילים מול נוף הים?	כן, בר הגג האלגנטי מגיש קוקטיילים ייחודיים אל מול הים והמרינה.	Medium
Food & Beverage	האם ניתן להזמין שירות חדרים קולינרי במלון הרודס הרצליה במשך כל שעות היממה?	כן, תפריט שירות החדרים זמין 24/7 וכולל מנות חמות, קינוחים ומשקאות.	Medium
Food & Beverage	האם במלון הרודס הרצליה פועל טרקלין קוקטיילים לאורחים?	כן, טרקלין הקוקטיילים מציע משקאות איכותיים ואווירה אינטימית בשעות הערב.	Low
Food & Beverage	האם טרקלין העסקים במלון הרודס הרצליה כולל כיבוד קל ומשקאות?	כן, טרקלין העסקים מגיש משקאות חמים, שתייה קלה וכיבוד קל לאורך היום. [VERIFY]	Low
Policies & Terms	מהי מדיניות הביטול הגמישה של מלון הרודס הרצליה?	Currently, בתעריף גמיש אפשר לבטל ללא חיוב עד 48 שעות לפני ההגעה, בהתאם לסוג החדר. [VERIFY]	High
Policies & Terms	האם מלון הרודס הרצליה מאפשר צ’ק-אין מוקדם בכפוף לזמינות ובתשלום נוסף?	כן, ניתן לבקש צ’ק-אין מוקדם; האישור כפוף לזמינות ועלול להיות כרוך בתשלום. [VERIFY]	Medium
Policies & Terms	האם ניתן לבצע צ’ק-אאוט מאוחר במלון הרודס הרצליה?	כן, ניתן להאריך שהייה עד שעות אחר-הצהריים תמורת כ-₪150 ובהתאם לזמינות.	Medium
Policies & Terms	מהי מדיניות מלון הרודס הרצליה לגבי אירוח ילדים ותינוקות?	המלון מקבל ילדים מכל הגילאים; עריסות זמינות בתשלום, אך אין מיטות נוספות.	High
Policies & Terms	האם קיימים תנאים מיוחדים להזמנת קבוצות במלון הרודס הרצליה?	Currently, הזמנה של חמש יחידות ומעלה מחייבת הסכם מיוחד ותנאי תשלום נפרדים. [VERIFY]	Medium
Policies & Terms	מהו הגיל המינימלי לביצוע צ’ק-אין במלון הרודס הרצליה?	צ’ק-אין מותר לאורחים בני שמונה-עשרה ומעלה בלבד בהתאם למדיניות המלון.	High
Policies & Terms	האם מותר להביא חיות מחמד למלון הרודס הרצליה או רק כלבי שירות?	לא, חיות מחמד אינן מורשות; רק כלבי שירות מתקבלים בליווי תעודה מתאימה.	High
Policies & Terms	האם אורחים ישראלים במלון הרודס הרצליה מחויבים בתשלום מע”מ?	כן, בהתאם לחוק הישראלי, אזרחים ותושבים מחויבים בתוספת מע״מ בעת התשלום.	High
Policies & Terms	האם במלון הרודס הרצליה חלים זמני צ’ק-אין/אאוט ייחודיים בשבתות ובחגים יהודיים?	כן, בשבתות וחגים הצ’ק-אין מתאפשר רק אחרי צאת השבת והצ’ק-אאוט עד 14:00.	High
Policies & Terms	האם מלון הרודס הרצליה מציע שירות אחסון מזוודות לפני הצ’ק-אין או לאחר הצ’ק-אאוט?	כן, אחסון מזוודות מאובטח מוצע ללא עלות לפני הצ’ק-אין ולאחר הצ’ק-אאוט.	Medium
Location & Transportation	היכן ממוקם מלון הרודס הרצליה ביחס למרינה של הרצליה?	המלון ניצב על אי קטן במרכז מרינת הרצליה, צמוד לטיילת היאכטות.	High
Location & Transportation	מהו המרחק מחוף הים הקרוב ביותר למלון הרודס הרצליה?	חוף הים נמצא כ-1.8 ק״מ מהמלון, נסיעה קצרה או הליכה נעימה.	High
Location & Transportation	מהו המרחק בין מלון הרודס הרצליה לתחנת הרכבת הרצליה?	המרחק לתחנת רכבת הרצליה כ-6 ק״מ, נסיעה של כעשר דקות ברכב.	Medium
Location & Transportation	כמה זמן נסיעה משוער מנמל התעופה בן-גוריון אל מלון הרודס הרצליה?	המרחק כ-33.5 ק״מ, והנסיעה ברכב פרטי אורכת כ-30-40 דקות בתנועה רגילה.	Medium
Location & Transportation	האם מלון הרודס הרצליה מפעיל שירות שאטל חינם לחוף הים או לאתרים סמוכים?	כן, בעונת הרחצה פועל שאטל חינמי קבוע לחוף הסמוך ולאתרי בילוי קרובים.	Medium
Location & Transportation	האם צוות מלון הרודס הרצליה מסייע בארגון מוניות או הסעות פרטיות לשדה התעופה?	כן, צוות הקונסיירז' ישמח להזמין מוניות או הסעה פרטית לשדה התעופה בכל שעה.	Low
Location & Transportation	מהי הקרבה של מלון הרודס הרצליה לאזור ההייטק בהרצליה פיתוח?	אזור ההייטק בהרצליה-פיתוח ממוקם כ-3 ק״מ בלבד, נסיעה של חמש-שבע דקות.	Low
Location & Transportation	כמה קילומטרים מפרידים בין מלון הרודס הרצליה לתל אביב?	תל אביב מרוחקת כ-10 ק״מ דרומה, נסיעה קצרה של כ-15-20 דקות.	Low
Activities & Entertainment	האם במלון הרודס הרצליה קיימת בריכת שחייה חיצונית עונתית?	כן, בריכה חיצונית עונתית משקיפה למרינה ופתוחה בקיץ בין 10:00-18:00.	High
Activities & Entertainment	האם במלון הרודס הרצליה יש בריכת ילדים נפרדת?	כן, לצד הבריכה הראשית קיימת בריכת ילדים רדודה ובטיחותית לפעוטות.	Medium
Activities & Entertainment	האם מרכז הספא של מלון הרודס הרצליה כולל סאונה וג’קוזי?	כן, הספא מציע שתי סאונות מחוממות וג׳קוזי מפנק לשימוש האורחים.	High
Activities & Entertainment	אילו טיפולי ספא זמינים במלון הרודס הרצליה?	מגוון עיסויים קלאסיים, טיפולי יופי עם מוצרי L'OCCITANE ופילינגים מרגיעים זמינים בהזמנה.	Medium
Activities & Entertainment	האם חדר הכושר במלון הרודס הרצליה פתוח 24 שעות ביממה?	כן, חדר הכושר המאובזר פתוח לאורחים ללא הפסקה 24 שעות ביממה.	Medium
Activities & Entertainment	האם במלון הרודס הרצליה מתקיימת מוזיקה חיה בלובי?	כן, ערבי מוזיקה חיה בלובי מוסיפים אווירה ייחודית ונעימה לאורחים.	Low
Activities & Entertainment	האם מלון הרודס הרצליה מפעיל מועדון ילדים ופעילויות עבורם?	כן, מועדון הילדים מציע סדנאות יצירה, משחקים והפעלות בהשגחת מדריכים מקצועיים.	Medium
Activities & Entertainment	האם ניתן לשכור אופניים במלון הרודס הרצליה לטיול לאורך הטיילת?	כן, שירות השכרת אופניים זמין בתשלום ומאפשר רכיבה נעימה לאורך החוף.	Low
Activities & Entertainment	האם במלון הרודס הרצליה קיימת מרפסת שמש וגנים המתאימים לאירועים פרטיים?	כן, מרפסת השמש והגנים המטופחים זמינים לאירועים פרטיים באווירה יוקרתית.	Low
