Category	Question	Answer	Frequency Level
General Information	Does master Mazeh Tel Aviv offer complimentary high-speed Wi-Fi in all apartments and public areas?	Yes, complimentary high-speed Wi-Fi is provided in every apartment and throughout all shared areas of the property.	High
General Information	Does master Mazeh Tel Aviv provide on-site self-parking for guests, and what is the nightly charge?	Yes, secure on-site self-parking is available for guests at a nightly fee of ₪60 per vehicle, payable at the property.	High
General Information	Does master Mazeh Tel Aviv feature a 24-hour fitness center for guests’ exclusive use?	Yes, a fully equipped fitness center is open 24 hours a day exclusively for registered guests.	High
General Information	Is a 24-hour front desk or virtual concierge service available at master Mazeh Tel Aviv?	Yes, while there is no staffed reception desk around the clock, a virtual concierge team is available 24⁄7 to assist guests by phone or messaging.	Medium
General Information	Are all interior spaces at master Mazeh Tel Aviv strictly non-smoking?	Yes, all apartments and interior public spaces are completely smoke-free, and smoking is prohibited inside the building.	Medium
General Information	Does master Mazeh Tel Aviv have multilingual staff who speak English, Hebrew and Russian?	Currently, staff members provide service in English and Hebrew; Russian-language assistance is not guaranteed and should be requested in advance. [VERIFY]	Low
General Information	Is master Mazeh Tel Aviv suitable for families, and are cribs or high chairs available on request?	Yes, the serviced apartments welcome families, and complimentary cribs or high chairs can be provided on request, subject to availability.	Medium
General Information	Does master Mazeh Tel Aviv provide elevator access to the upper floors?	Yes, all upper floors are accessible by elevator, ensuring step-free movement to every apartment.	Medium
Location & Transportation	What is the exact street address of master Mazeh Tel Aviv?	56 Mazeh Street, Tel Aviv, 65789, Israel.	High
Location & Transportation	How long does a taxi ride from Ben Gurion Airport to master Mazeh Tel Aviv usually take?	A licensed airport taxi normally reaches the property in around 20–30 minutes, depending on traffic conditions.	Medium
Location & Transportation	Which train station is recommended when travelling from Ben Gurion Airport to master Mazeh Tel Aviv?	Travelers arriving by train should alight at Tel Aviv Savidor Center station, then continue by taxi or bus to Mazeh 56.	Medium
Location & Transportation	How many minutes’ walk is it from master Mazeh Tel Aviv to Rothschild Boulevard?	Information is currently not available. [VERIFY]	High
Location & Transportation	What is the walking distance from master Mazeh Tel Aviv to Carmel Market?	It is about a 15-minute walk—roughly one kilometre—from the property to Carmel Market.	High
Location & Transportation	Approximately how long does it take to reach Aviv Beach from master Mazeh Tel Aviv on foot?	Reaching Aviv Beach takes approximately 15 minutes of leisurely walking from the aparthotel.	Medium
Location & Transportation	Does master Mazeh Tel Aviv offer on-site parking spaces that can be reserved in advance?	No, on-site parking operates on a first-come, first-served basis and cannot be reserved in advance.	Medium
Location & Transportation	What are the recommended public-transport routes from Tel Aviv Central Bus Station to master Mazeh Tel Aviv?	Guests can walk 25 minutes northwest, or take a north-bound city bus toward Lev Tel Aviv and alight near Mazeh Street, then walk a few minutes to number 56.	Low
Rooms & Amenities	Which apartment categories are available at master Mazeh Tel Aviv, from one-bedroom to two-bedroom layouts?	Apartment types include One-Bedroom, One-Bedroom with Sofa Bed, One-Bedroom with Balcony, One-Bedroom with Balcony & Sofa Bed, One-Bedroom with Big Terrace & Sofa Bed, and Two-Bedroom with Sofa Bed layouts.	Medium
Rooms & Amenities	Do all apartments at master Mazeh Tel Aviv include a fully equipped kitchenette with refrigerator, stovetop, microwave-oven combo and espresso machine?	Yes, every unit features a kitchenette with refrigerator, stovetop, microwave-oven combination and an in-room espresso machine for fresh coffee.	High
Rooms & Amenities	Is an in-unit washer and dryer provided in every apartment at master Mazeh Tel Aviv?	Yes, each apartment is fitted with its own washer-dryer set for private laundry.	Medium
Rooms & Amenities	Does master Mazeh Tel Aviv supply branded bath amenities and fresh towels in each apartment?	Yes, branded bath products and freshly laundered towels are provided and replenished as needed in all apartments.	Low
Rooms & Amenities	Is Chromecast or a streaming service available on the in-room smart televisions at master Mazeh Tel Aviv?	Yes, built-in Chromecast enables guests to stream Netflix or other services directly to the smart television in every apartment.	Medium
Rooms & Amenities	Are laptop-compatible safes installed in all apartments at master Mazeh Tel Aviv?	Yes, a personal safe large enough for a laptop is installed in every unit.	Low
Rooms & Amenities	Are iron and ironing board supplied as standard in every apartment at master Mazeh Tel Aviv?	Yes, a full-size iron and ironing board are supplied as standard equipment in each apartment.	Low
Rooms & Amenities	Do select apartment types at master Mazeh Tel Aviv feature private balconies or spacious terraces?	Yes, several categories—such as One-Bedroom with Balcony or Big Terrace—include furnished private outdoor space.	Medium
Food & Dining	Does master Mazeh Tel Aviv serve breakfast on-site, and what style of breakfast is available?	Currently, breakfast is not prepared or served on-site; apartments are fully self-catering.	Medium
Food & Dining	Are vegetarian or vegan breakfast choices offered at master Mazeh Tel Aviv?	Because breakfast is not offered on-site, specific vegetarian or vegan options are unavailable.	Low
Food & Dining	Are tea and coffee-making facilities, including an espresso machine, provided in every apartment at master Mazeh Tel Aviv?	Yes, every apartment contains an electric kettle and an espresso machine with complimentary coffee capsules and tea bags.	High
Food & Dining	Is a lobby lounge or coffee bar available to guests at master Mazeh Tel Aviv?	Yes, a relaxed lobby lounge with complimentary coffee is opening on site, offering a comfortable place to meet or work. [VERIFY]	Low
Food & Dining	Does master Mazeh Tel Aviv provide the kitchenware and cookware necessary for preparing meals in-apartment?	Yes, complete sets of cookware, dishes, glassware, and utensils are stocked so guests can prepare and serve meals with ease.	Medium
Food & Dining	Can guests at master Mazeh Tel Aviv enjoy self-catering using the in-room toaster and oven?	Yes, the kitchenette includes a toaster and combination oven, enabling guests to cook or heat meals independently.	Medium
Food & Dining	Are grocery markets or convenience stores within walking distance of master Mazeh Tel Aviv for guests planning to cook?	Small supermarkets and convenience stores operate on nearby streets just a few minutes’ walk away. [VERIFY]	Low
Check-in & Check-out	What are the standard check-in and check-out times at master Mazeh Tel Aviv?	Check-in begins at 3:00 pm, and check-out is required by 11:00 am.	High
Check-in & Check-out	Does master Mazeh Tel Aviv offer express check-in and express check-out services?	Yes, express digital check-in and fast check-out services are provided for added convenience.	Medium
Check-in & Check-out	Is luggage storage available at master Mazeh Tel Aviv for early arrivals or late departures?	Yes, complimentary luggage storage is available before check-in or after check-out upon request.	Medium
Check-in & Check-out	Does master Mazeh Tel Aviv require a refundable security deposit at check-in, and what is the amount?	Yes, a refundable damage deposit of ₪1,500 is pre-authorised seven days before arrival.	High
Check-in & Check-out	What form of payment is accepted for the damage deposit at master Mazeh Tel Aviv, and when is it released?	The deposit is charged to the guest’s credit card and is automatically released within seven days after check-out, pending inspection.	Medium
Check-in & Check-out	Is a signed rental agreement required prior to arrival at master Mazeh Tel Aviv?	Yes, guests receive a short-term rental agreement that must be signed and returned prior to arrival.	Low
Check-in & Check-out	What is the minimum age requirement for check-in at master Mazeh Tel Aviv?	The primary guest must be at least 18 years old to check in.	Medium
Check-in & Check-out	Are guests required to present a photo ID and credit card upon check-in at master Mazeh Tel Aviv?	Yes, guests must present a valid photo ID and the credit card used for booking at check-in.	Low
Reservations & Policies	What are the cancellation and prepayment terms for reservations at master Mazeh Tel Aviv?	Cancellation and prepayment conditions vary by rate and apartment type; the policy shown during booking will apply.	Medium
Reservations & Policies	Is a refundable security or damage deposit mandatory when booking master Mazeh Tel Aviv, and how much is it?	Yes, a ₪1,500 refundable damage deposit is mandatory and is secured on the guest’s credit card before arrival. [duplicate]	High
Reservations & Policies	Which credit cards are accepted for payment at master Mazeh Tel Aviv?	The property accepts American Express, Visa, Mastercard, Diners Club and Maestro cards; cash is not accepted.	Low
Reservations & Policies	Are pets permitted to stay at master Mazeh Tel Aviv?	No, pets are not permitted to stay in the apartments.	High
Reservations & Policies	Is smoking permitted anywhere within master Mazeh Tel Aviv or on its balconies?	No, smoking is not allowed inside apartments, common areas or on private balconies according to the smoke-free policy.	High
Reservations & Policies	Is Israeli VAT included in the room rate for international tourists staying at master Mazeh Tel Aviv?	For holders of an Israeli tourist visa, VAT is exempt and therefore not included in the quoted room rate.	Low
Reservations & Policies	What is the policy on cribs and extra beds for children at master Mazeh Tel Aviv?	Complimentary cribs are available on request for infants up to one year; extra beds are not provided.	Medium
Reservations & Policies	Does master Mazeh Tel Aviv require guests to sign a short-term rental agreement before arrival?	Yes, a short-term rental agreement is emailed in advance and must be signed prior to arrival. [duplicate]	Low
Attractions & Experiences	Is Rothschild Boulevard within a short walking distance of master Mazeh Tel Aviv?	Yes, Rothschild Boulevard begins just around the corner, making it reachable in a very short stroll.	High
Attractions & Experiences	Do apartments at master Mazeh Tel Aviv offer views of Tel Aviv’s UNESCO-listed White City architecture?	Yes, many upper-floor apartments overlook the surrounding Bauhaus and eclectic “White City” buildings recognised by UNESCO.	Medium
Attractions & Experiences	Is Carmel Market easily reachable on foot from master Mazeh Tel Aviv for fresh produce shopping?	Yes, Carmel Market is about a 15-minute walk away, making it convenient for fresh produce shopping.	High
Attractions & Experiences	Is Aviv Beach reachable within 15 minutes’ walk of master Mazeh Tel Aviv?	Yes, guests can walk to Aviv Beach in roughly 15 minutes.	Medium
Attractions & Experiences	Is the Bauhaus Center located within walking distance of master Mazeh Tel Aviv?	Information is currently not available. [VERIFY]	Medium
Attractions & Experiences	Are Shenkin Street’s boutiques and cafés a short stroll from master Mazeh Tel Aviv?	Information is currently not available. [VERIFY]	Medium
Attractions & Experiences	Does master Mazeh Tel Aviv provide guidance on exploring nearby Bauhaus and eclectic architecture?	The remote concierge team can share self-guided itineraries and local tips on the neighbourhood’s Bauhaus and eclectic landmarks. [VERIFY]	Low
Attractions & Experiences	Are guided tours or cultural experiences easily bookable from master Mazeh Tel Aviv’s reception or virtual concierge?	Information is currently not available. [VERIFY]	Low
