Category	Question	Answer	Frequency Level
General Information	What are the check-in and check-out times at Hotel Nürnberg City Center by Leonardo Hotels?	Check-in at Hotel Nürnberg City Center by Leonardo Hotels is from 15:00, and check-out is by 12:00 noon.	High
General Information	Does Hotel Nürnberg City Center by Leonardo Hotels operate a 24-hour front desk?	Yes, the front desk is staffed around the clock for arrivals, departures, and guest assistance.	High
General Information	Does Hotel Nürnberg City Center by Leonardo Hotels provide free Wi-Fi throughout the building?	Yes, complimentary high-speed Wi-Fi is available in all guest rooms and public areas.	High
General Information	Is Hotel Nürnberg City Center by Leonardo Hotels a completely non-smoking hotel?	Yes, Hotel Nürnberg City Center by Leonardo Hotels is entirely non-smoking in guest rooms and indoor public areas.	High
General Information	Does Hotel Nürnberg City Center by Leonardo Hotels have multilingual staff available at reception?	Yes, multilingual team members at reception can assist in several common European languages.	Medium
General Information	Does Hotel Nürnberg City Center by Leonardo Hotels offer an accessible guest room and accessible public areas for travellers with reduced mobility?	Yes, the hotel provides one fully adapted accessible guest room and barrier-free access to the lifts, restaurant, bar, and other public areas.	High
General Information	How many meeting or conference rooms are available at Hotel Nürnberg City Center by Leonardo Hotels?	The property offers four naturally lit meeting and conference rooms equipped with modern technology.	Medium
General Information	Does Hotel Nürnberg City Center by Leonardo Hotels have a dedicated business corner or business centre for guests?	Yes, a small business corner with a computer, printer, and basic office services is available near the lobby.	Medium
General Information	What is the minimum age required to check in at Hotel Nürnberg City Center by Leonardo Hotels?	Guests must be at least 18 years old to check in without an accompanying adult.	Medium
Accommodation & Room Services	Are all rooms at Hotel Nürnberg City Center by Leonardo Hotels equipped with air-conditioning?	Yes, every guest room features individually controlled air-conditioning for year-round comfort.	High
Accommodation & Room Services	Do rooms at Hotel Nürnberg City Center by Leonardo Hotels feature soundproof windows?	Yes, all accommodation is fitted with double-glazed, soundproof windows to minimise exterior noise.	Medium
Accommodation & Room Services	Does Hotel Nürnberg City Center by Leonardo Hotels provide tea and coffee-making facilities in any room categories?	Yes, tea and coffee-making facilities are included in the hotel’s Deluxe room categories.	Medium
Accommodation & Room Services	Are baby cots available on request at Hotel Nürnberg City Center by Leonardo Hotels?	Yes, baby cots can be supplied free of charge on request, subject to availability at the time of arrival.	High
Accommodation & Room Services	Does Hotel Nürnberg City Center by Leonardo Hotels offer an accessible room with an adapted bathroom?	Yes, one 25 m² accessible room provides twin beds and a fully adapted roll-in bathroom with grab rails.	Medium
Accommodation & Room Services	Are laptop-size safes provided in every room at Hotel Nürnberg City Center by Leonardo Hotels?	Yes, each guest room contains an electronic safe large enough to secure a laptop computer.	Medium
Accommodation & Room Services	Does Hotel Nürnberg City Center by Leonardo Hotels offer connecting rooms for families or groups?	Information is currently not available. [VERIFY]	Low
Accommodation & Room Services	Is daily housekeeping included for guests staying at Hotel Nürnberg City Center by Leonardo Hotels?	Yes, daily housekeeping is included and covers bed making, towel changes, and general cleaning.	Medium
Accommodation & Room Services	Are hypoallergenic pillows or bedding available at Hotel Nürnberg City Center by Leonardo Hotels?	Yes, hypoallergenic bedding can be requested in advance or at check-in, subject to availability.	Low
Food & Beverage	Does Hotel Nürnberg City Center by Leonardo Hotels serve a daily breakfast buffet?	Yes, a varied hot and cold breakfast buffet is served every morning in the restaurant.	High
Food & Beverage	What are the weekday and weekend breakfast hours at Hotel Nürnberg City Center by Leonardo Hotels?	Breakfast is available from 06:00 to 10:00 Monday to Friday and from 07:00 to 11:00 on weekends and public holidays.	High
Food & Beverage	What is the cost of the breakfast buffet at Hotel Nürnberg City Center by Leonardo Hotels?	The daily breakfast buffet costs €19 per person at Hotel Nürnberg City Center by Leonardo Hotels.	High
Food & Beverage	Does Hotel Nürnberg City Center by Leonardo Hotels have an on-site bar or bistro lounge?	Yes, the Bar & Bistro Lounge offers drinks, snacks, and light dishes on site.	High
Food & Beverage	What are the opening hours of the Bar & Bistro Lounge at Hotel Nürnberg City Center by Leonardo Hotels?	The bar is open Monday to Saturday from 12:00 to 00:00, with hot snacks served until 23:30.	Medium
Food & Beverage	Does Hotel Nürnberg City Center by Leonardo Hotels provide vegetarian or vegan options at breakfast?	The buffet includes vegetarian items such as cheeses, fruit, and breads; strictly vegan options are limited. [VERIFY]	Low
Food & Beverage	Does Hotel Nürnberg City Center by Leonardo Hotels offer room service for food or drinks?	No, the hotel does not offer room service; guests may dine in the restaurant or bar.	Low
Food & Beverage	Are vending machines for snacks or drinks available at Hotel Nürnberg City Center by Leonardo Hotels?	Yes, vending machines for drinks and snacks are located near the guest lifts.	Medium
Policies & Terms	Are pets allowed at Hotel Nürnberg City Center by Leonardo Hotels, and what is the nightly fee?	Pets are allowed for a surcharge of €15 per pet, per night, payable at reception.	High
Policies & Terms	Is smoking permitted anywhere inside Hotel Nürnberg City Center by Leonardo Hotels?	No, smoking is prohibited inside Hotel Nürnberg City Center by Leonardo Hotels.	High
Policies & Terms	Does Hotel Nürnberg City Center by Leonardo Hotels offer luggage storage before check-in or after check-out?	Yes, free luggage storage is available at the 24-hour reception before check-in and after check-out.	Medium
Policies & Terms	Does Hotel Nürnberg City Center by Leonardo Hotels provide express check-in or express check-out services?	Yes, express check-in and express check-out services are offered for faster arrival and departure.	Medium
Policies & Terms	Can guests request early check-in or late check-out at Hotel Nürnberg City Center by Leonardo Hotels?	Yes, early check-in and late check-out can be requested; fees from €40 for early check-in or €50 for late check-out may apply, subject to availability.	Low
Policies & Terms	Which payment methods are accepted at Hotel Nürnberg City Center by Leonardo Hotels?	The hotel accepts major credit cards such as Visa, Mastercard, and American Express, as well as cash payments. [VERIFY]	Low
Policies & Terms	Does Hotel Nürnberg City Center by Leonardo Hotels charge extra for baby cots or children’s beds?	Baby cots are provided without additional charge when reserved in advance; charges for children’s beds are not currently confirmed. [VERIFY]	Low
Policies & Terms	What is the flexible-rate cancellation policy at Hotel Nürnberg City Center by Leonardo Hotels?	Flexible rates generally allow free cancellation up to the evening before arrival; always review the specific rate conditions when booking. [VERIFY]	Low
Location & Transportation	How far is Hotel Nürnberg City Center by Leonardo Hotels from Nuremberg Central Station?	Hotel Nürnberg City Center by Leonardo Hotels is roughly 150 metres from Nuremberg Central Station, about a two-minute walk.	High
