Category	Question	Answer	Frequency Level
General Information	Does Leonardo Royal Hotel Berlin Alexanderplatz offer complimentary Wi-Fi throughout the property?	Yes, complimentary Wi-Fi is available throughout the property.	High
General Information	What are the standard check-in and check-out times at Leonardo Royal Hotel Berlin Alexanderplatz?	Check-in starts at 15:00, and check-out is until 12:00.	High
General Information	Is the front desk at Leonardo Royal Hotel Berlin Alexanderplatz staffed 24 hours a day?	Yes, the front desk is staffed around the clock.	High
General Information	Does Leonardo Royal Hotel Berlin Alexanderplatz provide on-site parking for guests with vehicles?	Yes, on-site parking is available for an additional fee.	High
General Information	Are multilingual staff available at Leonardo Royal Hotel Berlin Alexanderplatz to assist international travelers?	Yes, staff can assist guests in multiple languages.	Medium
General Information	Does Leonardo Royal Hotel Berlin Alexanderplatz have accessible facilities or rooms for guests with reduced mobility?	Yes, accessible rooms and facilities are available, including wheelchair-accessible amenities.	High
General Information	Is luggage storage available at Leonardo Royal Hotel Berlin Alexanderplatz for early arrivals or late departures?	Yes, luggage storage is provided free of charge for early arrivals and late departures.	Medium
General Information	Does Leonardo Royal Hotel Berlin Alexanderplatz offer family-friendly amenities for guests traveling with children?	Yes, the hotel welcomes families and can provide amenities such as baby cribs upon request.	Medium
General Information	Are meeting or conference rooms available at Leonardo Royal Hotel Berlin Alexanderplatz for business events?	Yes, there are conference and meeting facilities suitable for business events.	Medium
Accommodation & Room Services	What types of rooms are offered at Leonardo Royal Hotel Berlin Alexanderplatz?	The property features Comfort, Superior, Deluxe rooms, and suites.	High
Accommodation & Room Services	Does Leonardo Royal Hotel Berlin Alexanderplatz provide air conditioning in guest rooms?	Yes, all rooms are air-conditioned for guest comfort.	High
Accommodation & Room Services	Are tea and coffee-making facilities included in the rooms at Leonardo Royal Hotel Berlin Alexanderplatz?	Yes, each room is equipped with coffee and tea-making facilities.	High
Accommodation & Room Services	Is there a minibar or small fridge in the accommodations at Leonardo Royal Hotel Berlin Alexanderplatz?	Yes, all rooms include a mini-fridge or minibar for guest use.	Medium
Accommodation & Room Services	Does Leonardo Royal Hotel Berlin Alexanderplatz offer 24-hour room service?	No, room service is available but not 24 hours. [VERIFY]	High
Accommodation & Room Services	Are complimentary toiletries provided in every bathroom at Leonardo Royal Hotel Berlin Alexanderplatz?	Yes, complimentary toiletries such as shampoo and soap are provided in each bathroom.	Medium
Accommodation & Room Services	Can guests request extra pillows or hypoallergenic bedding at Leonardo Royal Hotel Berlin Alexanderplatz?	Yes, extra pillows and hypoallergenic bedding are available upon request.	Medium
Accommodation & Room Services	Is an iron and ironing board available in each room at Leonardo Royal Hotel Berlin Alexanderplatz?	No, irons and ironing boards can be requested from reception if needed.	Low
Accommodation & Room Services	Does Leonardo Royal Hotel Berlin Alexanderplatz provide laundry and dry-cleaning services?	Yes, laundry and dry-cleaning services are offered for an additional fee.	Medium
Food & Beverage	Does Leonardo Royal Hotel Berlin Alexanderplatz serve a buffet-style breakfast?	Yes, a buffet-style breakfast is served daily in the restaurant.	High
Food & Beverage	What are the breakfast hours at Leonardo Royal Hotel Berlin Alexanderplatz?	Breakfast is typically served Monday to Friday from 06:30 to 10:30, and on weekends until 11:00.	High
Food & Beverage	Are vegetarian or vegan menu options available at Leonardo Royal Hotel Berlin Alexanderplatz?	Yes, vegetarian and vegan meals can be arranged upon request.	Medium
