Category	Question	Answer	Frequency Level
מידע כללי	האם מלון בזאר-Bazaar מציע חיבור Wi-Fi חופשי בכל רחבי המלון?	כן, אינטרנט אלחוטי מהיר וללא תשלום פועל בכל חדרי המלון ובחללים הציבוריים לכל אורך היממה.	High
מידע כללי	האם מלון בזאר-Bazaar מפעיל דלפק קבלה 24 שעות ביממה?	כן, דלפק הקבלה מאויש וסמוך לעזרת האורחים במשך 24 שעות ביממה ללא הפסקה.	High
מידע כללי	מהן שעות הצ'ק-אין הרשמיות במלון בזאר-Bazaar בימי חול ובשבתות/חגים?	צ'ק-אין מתקיים בשעה 15:00 בימים ראשון-שישי, ובשעה 18:00 במוצאי שבתות וחגים יהודיים.	High
מידע כללי	ומהן שעות הצ'ק-אאוט?	צ'ק-אאוט מתבצע עד 11:00 בימי חול ועד 14:00 בשבתות ובחגים.	High
מידע כללי	האם מלון בזאר-Bazaar מוגדר כולו כמלון ללא-עישון?	כן, כל החדרים והאזורים הציבוריים מוגדרים 100 אחוז ללא-עישון לשמירה על אוויר נקי.	Medium
מידע כללי	האם מלון בזאר-Bazaar כולל מעליות וגישה מלאה לנכים בשטחים הציבוריים?	כן, המעליות והשטחים הציבוריים מונגשים לחלוטין ומותאמים לכיסאות גלגלים ולצרכי ניידות.	High
מידע כללי	כמה חדרים כולל מלון בזאר-Bazaar בסך-הכול?	המלון משתרע על פני 104 חדרי אירוח מעוצבים בקטגוריות שונות.	Medium
מידע כללי	האם מלון בזאר-Bazaar משתייך לקולקציית Fattal Colors של רשת פתאל?	כן, המלון הוא חלק מקולקציית הבוטיק Fattal Colors ומנוהל על-ידי רשת פתאל.	Low
מידע כללי	האם מלון בזאר-Bazaar מציע שליטה חכמה בחדרים באמצעות סמארטפון?	כן, מערכת בית חכם מאפשרת לאורחים לשלוט בתאורה, בטמפרטורה ובמערכות נוספות ישירות מהטלפון.	Low
שירותי אירוח וחדרים	האם מלון בזאר-Bazaar מציע סוגי חדרים כגון סופריור, דלקס, סטודיו וסוויטות ג'וניור?	כן, הקטגוריות כוללות סופריור, דלקס, דלקס בולוורד, דלקס בלקוני, סטודיו וג'וניור סוויט.	Medium
שירותי אירוח וחדרים	האם בכל חדר במלון בזאר-Bazaar יש מכונת קפה ופינת תה?	כן, בכל חדר מוצבת מכונת קפסולות איכותית ומבחר שקיות תה לשימוש חופשי.	High
שירותי אירוח וחדרים	האם בכל חדר במלון בזאר-Bazaar קיים מיני-בר אישי?	כן, כל חדר מצויד במיני-בר עם מבחר משקאות קלים וחטיפים בתשלום.	Medium
שירותי אירוח וחדרים	האם מלון בזאר-Bazaar מאפשר שליטה חכמה בתאורה ובטמפרטורה מהטלפון הנייד?	כן, השליטה החכמה כוללת שינוי תאורה והפעלת מיזוג ישירות מן הסמארטפון האישי.	Low
שירותי אירוח וחדרים	האם במלון בזאר-Bazaar קיימים חדרים עם מרפסת פרטית המשקיפה ליפו?	כן, חדרי Deluxe Balcony מציעים מרפסת ישיבה פרטית הפונה לנופי רחוב ירושלים ויפו העתיקה.	Medium
שירותי אירוח וחדרים	האם מלון בזאר-Bazaar מציע חדרים מונגשים עם מתקני נגישות מלאים?	כן, חדרי Deluxe Accessible כוללים דלתות רחבות, מקלחת נגישה וידיות אחיזה תואמות.	High
שירותי אירוח וחדרים	האם מלון בזאר-Bazaar מספק שירות Room Service לאורך היום?	כן, שירות חדרים פעיל משעות הבוקר המוקדמות ועד שעות הלילה עם תפריט לובי מגוון.	High
שירותי אירוח וחדרים	האם בכל חדר במלון בזאר-Bazaar יש מייבש שיער וטואלטיקה משלימה?	כן, מייבש שיער איכותי ומגוון מוצרי טואלטיקה יוקרתיים ממתינים בכל חדר.	Medium
