Category	Question	Answer	Frequency Level
General Information	Does Leonardo Royal Hotel Nürnberg offer complimentary Wi-Fi throughout the entire property?	Yes, complimentary high-speed Wi-Fi is provided in all guestrooms, meeting rooms and public areas without data limits.	High
General Information	Is the front desk at Leonardo Royal Hotel Nürnberg staffed 24 hours a day?	Yes, the reception operates 24 hours daily, so guests can check in or obtain assistance at any time of day or night.	High
General Information	What are the standard check-in and check-out times at Leonardo Royal Hotel Nürnberg?	Check-in begins at 15:00, while check-out is required by 12:00 noon on the departure day.	High
General Information	Does Leonardo Royal Hotel Nürnberg have multilingual staff available to assist international guests?	Yes, the team includes German- and English-speaking staff, and additional languages are accommodated whenever possible to assist international travellers.	Medium
General Information	How many guest rooms are available at Leonardo Royal Hotel Nürnberg?	The property offers 238 contemporary guest rooms and suites spread over several floors.	Low
General Information	Is Leonardo Royal Hotel Nürnberg a completely non-smoking hotel?	No, all interior areas are strictly non-smoking, but guests may smoke only in designated outdoor zones.	Medium
General Information	Does Leonardo Royal Hotel Nürnberg provide business and conference facilities on-site?	Yes, the hotel houses several modern meeting rooms with audiovisual equipment, breakout space and professional event support.	High
General Information	Are accessible rooms and public areas available at Leonardo Royal Hotel Nürnberg?	Yes, step-free access, adapted guestrooms, accessible lifts and public restrooms are available for guests with reduced mobility.	High
General Information	Does Leonardo Royal Hotel Nürnberg offer on-site parking for guests?	Yes, secure underground parking spaces are located directly beneath the building for an additional fee.	High
General Information	Are electric-vehicle charging stations provided in the car park at Leonardo Royal Hotel Nürnberg?	Yes, the garage includes designated electric-vehicle charging points that guests can use while parked.	Low
Accommodation & Room Services	Are the guestrooms at Leonardo Royal Hotel Nürnberg equipped with individual air-conditioning?	Yes, every room features individually adjustable air-conditioning and heating controls for personal comfort.	High
Accommodation & Room Services	Do rooms at Leonardo Royal Hotel Nürnberg include tea and coffee making facilities?	Yes, each room contains a kettle with complimentary tea and coffee supplies for in-room preparation.	High
Accommodation & Room Services	Is a minibar or small refrigerator provided in every room at Leonardo Royal Hotel Nürnberg?	Yes, a stocked minibar is installed in every guestroom for beverages and snacks.	High
Accommodation & Room Services	Are hairdryers available in all bathrooms at Leonardo Royal Hotel Nürnberg?	Yes, wall-mounted hairdryers are provided in every private bathroom.	High
Accommodation & Room Services	Does Leonardo Royal Hotel Nürnberg supply complimentary toiletries in its guestrooms?	Yes, bathrooms come with free toiletries such as shampoo, shower gel and soap, replenished daily.	Medium
Accommodation & Room Services	Are irons and ironing boards available, either in-room or on request, at Leonardo Royal Hotel Nürnberg?	Yes, irons and ironing boards are available on request from housekeeping at no extra charge.	Medium
Accommodation & Room Services	Can guests request hypoallergenic bedding or extra pillows at Leonardo Royal Hotel Nürnberg?	Yes, hypoallergenic bedding, additional pillows or blankets can be requested before or during the stay.	Low
Accommodation & Room Services	Is 24-hour room service offered at Leonardo Royal Hotel Nürnberg?	No, room service is available but not around the clock; it operates during restaurant kitchen hours only.	Low
Accommodation & Room Services	Does Leonardo Royal Hotel Nürnberg provide same-day laundry and dry-cleaning services?	Yes, express laundry and dry-cleaning handed in before the stated deadline are returned the same day.	Medium
Accommodation & Room Services	Are in-room safes provided for guest valuables at Leonardo Royal Hotel Nürnberg?	Yes, every room includes a laptop-size electronic safe for valuables at no extra cost.	High
Food & Beverage	Does Leonardo Royal Hotel Nürnberg serve a daily buffet breakfast?	Yes, an extensive hot-and-cold buffet breakfast is prepared fresh every morning in the restaurant.	High
Food & Beverage	What are the breakfast service hours at Leonardo Royal Hotel Nürnberg?	Breakfast is usually served 06:30–10:30 Monday to Friday and 06:30–11:00 on weekends and public holidays. [VERIFY]	Medium
Food & Beverage	Does Leonardo Royal Hotel Nürnberg provide vegetarian and vegan breakfast options?	Yes, clearly labelled vegetarian and vegan choices form part of the daily breakfast selection.	Medium
Food & Beverage	Is gluten-free food available on request at Leonardo Royal Hotel Nürnberg?	Yes, gluten-free bread and other items are available; guests should advise staff in advance.	Medium
Food & Beverage	Does Leonardo Royal Hotel Nürnberg have an on-site restaurant open for lunch and dinner?	Yes, the hotel’s restaurant serves regional and international dishes for lunch and evening dinner service.	High
