Category	Question	Answer	Frequency Level
General Information	האם מלון לאונרדו טבריה מציע אינטרנט אלחוטי חינם בכל שטחי המלון?	כן, אינטרנט אלחוטי מהיר וחופשי זמין בחדרים, בלובי ובכל האזורים הציבוריים ללא חיוב.	High
General Information	האם דלפק הקבלה במלון לאונרדו טבריה פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש סביב השעון ומספק שירות מלא 24-7 לאורחים.	Medium
General Information	מהי שעת הצ’ק-אין הרגילה (א׳-ה׳) במלון לאונרדו טבריה?	שעת הצ’ק-אין בימים ראשון-חמישי היא מ-15:00 אחר הצהריים ואילך.	High
General Information	מהן שעות הצ’ק-אין במלון לאונרדו טבריה בשבתות ובחגים יהודיים?	בשבתות ובחגים יהודיים הכניסה לחדרים מתאפשרת רק החל מהשעה 18:00.	Medium
General Information	כמה חדרים מפעיל מלון לאונרדו טבריה?	המלון מפעיל 198 חדרי אירוח מסוגים שונים, לרבות חדרי משפחה וסוויטות.	Low
General Information	האם צוות מלון לאונרדו טבריה דובר שפות מרובות?	כן, הצוות מיומן ודובר עברית, אנגלית, ערבית ורוסית לטובת קהל בינלאומי.	Medium
General Information	האם קיימת חניה סמוכה למלון לאונרדו טבריה והאם נדרש תשלום נוסף?	כן, חניה ציבורית סמוכה זמינה בכפוף למקומות פנויים ובתוספת תשלום מקומי.	Medium
General Information	האם במלון לאונרדו טבריה קיימות תשתיות נגישות מלאות לאורחים עם מוגבלות?	כן, קיימים חדרים נגישים, מעליות ונתיבי גישה חלקים המותאמים לנוחיות אורחים עם מוגבלות.	High
General Information	האם מלון לאונרדו טבריה מותאם וייעודי לחופשות משפחתיות?	כן, המלון ידידותי למשפחות, מציע חדרי משפחה, בריכת ילדים ושירות Welcome Baby ייעודי.	Low
Accommodation & Room Services	האם כל חדרי מלון לאונרדו טבריה מצוידים במיזוג אוויר נשלט אישית?	כן, בכל חדר מותקנת מערכת מיזוג אוויר אישית המאפשרת שליטה מלאה בטמפרטורה.	High
Accommodation & Room Services	האם בחדרי מלון לאונרדו טבריה קיים מיני-בר או מקרר קטן?	כן, כל חדר כולל מיני-בר המצויד במשקאות קלים ובאפשרות לאחסן פריטים פרטיים.	High
Accommodation & Room Services	האם ערכת קפה ותֵה זמינה בכל חדר במלון לאונרדו טבריה?	כן, בחדרים מוצבת ערכת קומקום, קפה, תה וסוכר לרענון עצמי. [VERIFY]	Medium
Accommodation & Room Services	האם מלון לאונרדו טבריה מספק מייבש שיער בכל חדר רחצה?	כן, מייבש שיער איכותי מותקן בכל חדר רחצה לשימוש נוח של האורחים.	High
Accommodation & Room Services	האם ניתן לקבל מגהץ וקרש גיהוץ לפי דרישה בחדר במלון לאונרדו טבריה?	כן, מגהץ וקרש גיהוץ מסופקים ללא חיוב נוסף על-פי דרישה מוקדמת מהקבלה.	Medium
Accommodation & Room Services	האם יש כספת אישית בכל חדר במלון לאונרדו טבריה?	כן, כספת אלקטרונית אישית זמינה בכל חדר לשמירת חפצים יקרי-ערך בביטחון.	Medium
Accommodation & Room Services	האם מלון לאונרדו טבריה מציע חדרי משפחה או חדרים מחוברים להרכב אורחים גדול?	כן, ישנם חדרי משפחה מרווחים ואפשרות לחדרים מחוברים בהזמנה מראש ובכפוף לזמינות.	Medium
Accommodation & Room Services	האם שירות חדרים זמין לאורחי מלון לאונרדו טבריה במהלך היום?	כן, שירות חדרים פועל בשעות היום והערב ומציע מנות קלות ומשקאות לתוך החדר.	Medium
Accommodation & Room Services	האם מלון לאונרדו טבריה מספק שירותי כביסה וניקוי יבש בתשלום?	כן, שירותי כביסה, גיהוץ וניקוי יבש זמינים בתשלום ומבוצעים בתוך 24 שעות.	High
Food & Beverage	האם מלון לאונרדו טבריה מגיש ארוחת בוקר בסגנון בופה, ומה שעות ההגשה?	כן, ארוחת בוקר בופה עשירה מוגשת במסעדה מדי יום בין 07:00-10:00 בבוקר.	High
Food & Beverage	האם ניתן לסעוד בארוחת ערב במסעדת מלון לאונרדו טבריה?	כן, המסעדה מגישה ארוחת ערב בשרית מגוונת עם מנות חמות, סלטים וקינוחים.	Medium
Food & Beverage	האם קיים לובי-בר במלון לאונרדו טבריה המציע משקאות וארוחות קלות?	כן, הלובי-בר האלגנטי פתוח רוב שעות היום ומציע משקאות, קינוחים וארוחות קלות.	High
Food & Beverage	האם שירות החדרים במלון לאונרדו טבריה כולל תפריט אוכל ושתייה בשעות הערב?	כן, תפריט שירות-חדרים ערב מספק מנות חמות, כריכים ומשקאות עד לפתח החדר. [VERIFY]	Medium
Food & Beverage	האם ארוחת הבוקר במלון לאונרדו טבריה כרוכה בתוספת תשלום לאורחים שהזמינו לינה בלבד?	כן, אורחים בעלי בסיס לינה בלבד יכולים להוסיף בופה בוקר בתשלום של כ-80 ₪ לאדם.	Medium
Food & Beverage	האם אורחי מלון לאונרדו טבריה יכולים ליהנות מקפה ותֵה חופשי בלובי במהלך היום?	כן, עמדת קפה ותה חופשית מוצעת בלובי במשך שעות היום ללא תשלום נוסף.	Medium
Food & Beverage	האם בבר של מלון לאונרדו טבריה מוגשים משקאות אלכוהוליים?	כן, הבר מגיש מגוון יינות, בירות וקוקטיילים אלכוהוליים לצד משקאות קלים.	Medium
Food & Beverage	האם בלובי-בר של מלון לאונרדו טבריה מוצעות ארוחות קלות לאורך היום?	כן, בלובי-בר ניתן להזמין כריכים, מאפים ונשנושים טריים בשעות הפעילות.	Low
Food & Beverage	האם מקומות הישיבה במסעדת מלון לאונרדו טבריה משקיפים לנופי הכנרת?	כעת, חלק משולחנות המסעדה משקיפים אל הכנרת, אך נדרש לבקש מושב נוף מראש. [VERIFY]	Low
Policies & Terms	מהו גיל המינימום לצ’ק-אין במלון לאונרדו טבריה?	המינימום לגיל צ’ק-אין הוא 18 שנים, בהתאם למדיניות הזיהוי של המלון.	High
Policies & Terms	האם חיות מחמד מותרות במלון לאונרדו טבריה, והאם קיימת החרגה לכלבי סיוע?	לא, חיות מחמד אינן מורשות; כלבי נחייה ושירות מתקבלים ללא תוספת תשלום.	High
Policies & Terms	האם ניתן לבקש צ’ק-אין מוקדם או צ’ק-אאוט מאוחר במלון לאונרדו טבריה?	כן, ניתן לבקש הגעה מוקדמת או עזיבה מאוחרת בכפוף לזמינות ובעלות נוספת.	Medium
Policies & Terms	האם מלון לאונרדו טבריה מציע שירות שמירת חפצים לפני הגעה או אחרי עזיבה?	כן, מחסן מזוודות מאובטח עומד לרשות האורחים ללא עלות לפני צ’ק-אין או לאחר עזיבה.	Medium
Policies & Terms	אילו אמצעי תשלום מתקבלים במלון לאונרדו טבריה, והאם ניתן לשלם במזומן?	כרטיסי אשראי בינלאומיים עיקריים מתקבלים, וניתן לשלם גם במזומן בשקל חדש.	Low
Policies & Terms	האם אורחים תיירים במלון לאונרדו טבריה פטורים מתשלום מע״מ ישראלי?	כן, בעלי דרכון זר עם אשרת תייר B/2 פטורים ממע״מ ישראלי בעת התשלום.	Low
Policies & Terms	האם העישון מותר בשטחי מלון לאונרדו טבריה או שהמלון מוגדר כמלון ללא עישון?	המלון מוגדר ללא עישון בחללים סגורים; עישון מותר רק באזורי חוץ ייעודיים.	Medium
Policies & Terms	האם נדרש אישור בדיקת קורונה שלילית או תעודת חיסון בעת צ’ק-אין במלון לאונרדו טבריה?	כעת, נדרש להציג בדיקת PCR שלילית עד 24 שעות או תעודת חיסון מלאה. [VERIFY]	Low
Policies & Terms	האם במדיניות מלון לאונרדו טבריה קיימים תנאים מיוחדים להזמנת קבוצות מעל 4 חדרים?	כן, להזמנת יותר מארבעה חדרים חלים תנאי ותוספות תשלום ייחודיים לקבוצות.	Low
Location & Transportation	האם מלון לאונרדו טבריה שוכן לחוף הכנרת ובסמיכות ישירה לטיילת?	כן, המלון ממוקם על קו החוף במרחק צעדים מן הטיילת המרכזית של הכנרת.	High
Location & Transportation	כמה דקות הליכה נחוצות ממלון לאונרדו טבריה למרכז העיר טבריה?	ההליכה למרכז העיר אורכת כ-5 דקות, תלוי בקצב ובנתיב הנבחר.	Medium
Location & Transportation	מהו המרחק בין מלון לאונרדו טבריה למעגן הטבריה (Tiberias Marina)?	המרינה נמצאת כ-8 דקות הליכה, כ-800 מטר דרומית לשטח המלון.	Low
Location & Transportation	אילו אתרים היסטוריים מרוחקים עד 5 דקות הליכה ממלון לאונרדו טבריה?	כנסיית סנט אנדרו וכנסיית פטרוס הקדוש שוכנות במרחק 3-5 דקות הליכה מהמלון.	Medium
Location & Transportation	כמה זמן נסיעה נדרש מבניין נתב״ג לבית מלון לאונרדו טבריה ברכב פרטי?	נסיעה מבניין נתב״ג אורכת כ-100-110 דקות, תלוי בעומסי התנועה ובכבישים.	Medium
