Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Lelystad City Center provide complimentary Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is provided free of charge in all guestrooms and public areas for every guest.	High
General Information	What are the official check-in and check-out times at Leonardo Hotel Lelystad City Center?	Check-in officially starts at 15:00, while check-out is required no later than 12:00 noon on departure day.	High
General Information	What are the daily operating hours of the reception desk at Leonardo Hotel Lelystad City Center?	Currently, the reception is staffed daily from 07:00 to 23:00; guests arriving later must arrange access in advance.	Medium
General Information	How many guestrooms does Leonardo Hotel Lelystad City Center offer?	The hotel comprises 86 contemporary guestrooms and suites spread across several floors.	Medium
General Information	Does Leonardo Hotel Lelystad City Center have multilingual staff available to assist international guests?	Yes, multilingual team members fluent in Dutch, English and German are available to assist international travellers throughout their stay.	Medium
General Information	Is Leonardo Hotel Lelystad City Center a completely non-smoking property?	Yes, the entire property, including all rooms and indoor areas, is strictly non-smoking.	High
General Information	Does Leonardo Hotel Lelystad City Center feature meeting and conference facilities on site?	Yes, three flexible meeting rooms with modern audiovisual equipment host corporate events for up to approximately 250 participants.	High
General Information	Is there an elevator providing access to all floors at Leonardo Hotel Lelystad City Center?	Yes, a guest elevator serves all accommodation and public floors for convenient step-free access.	Medium
General Information	Does Leonardo Hotel Lelystad City Center participate in any eco-friendly initiatives such as on-request room cleaning?	Yes, housekeeping is performed only on guest request via the Duve app, reducing water and chemical consumption.	Low
General Information	Does Leonardo Hotel Lelystad City Center offer express check-in and express check-out services?	Yes, expedited check-in and check-out services are available to minimise waiting time at reception.	Medium
Accommodation & Room Services	Do all rooms at Leonardo Hotel Lelystad City Center include tea and coffee-making facilities?	Yes, every room is equipped with an electric kettle and complimentary tea- and coffee-making amenities.	High
Accommodation & Room Services	Are both bath and shower amenities available in every guestroom at Leonardo Hotel Lelystad City Center?	Yes, all private bathrooms feature a bathtub combined with an overhead shower for versatile bathing options.	High
Accommodation & Room Services	Does Leonardo Hotel Lelystad City Center provide hypo-allergenic bedding or extra pillows upon request?	Yes, hypo-allergenic bedding and additional pillows can be provided on request for enhanced sleeping comfort.	Medium
Accommodation & Room Services	Is air-conditioning available in all accommodation types at Leonardo Hotel Lelystad City Center?	Yes, all accommodation categories include individually controlled air-conditioning to maintain the desired room temperature.	Medium
Accommodation & Room Services	Are cribs or rollaway beds available for families staying at Leonardo Hotel Lelystad City Center?	Yes, cribs are supplied free on request and rollaway beds can be added for a nightly surcharge.	High
