Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Nottingham offer free Wi-Fi throughout the property?	Yes, complimentary Wi-Fi is provided throughout the property, ensuring guests remain connected in all areas.	High
General Information	What are the standard check-in and check-out times at Leonardo Hotel Nottingham?	Check-in is generally available from 3:00 PM, and check-out is usually by 12:00 PM, allowing convenient arrival and departure times.	High
General Information	Does Leonardo Hotel Nottingham have a 24-hour front desk service?	Yes, the front desk operates continuously, providing assistance to guests at any time of day or night.	High
General Information	Is Leonardo Hotel Nottingham family-friendly and suitable for children?	Yes, the property welcomes families and strives to create a comfortable environment for guests of all ages.	High
General Information	What languages does the reception staff at Leonardo Hotel Nottingham speak?	The reception team primarily speaks English, with some staff members able to assist in other languages. [VERIFY]	Medium
General Information	Does Leonardo Hotel Nottingham provide on-site parking facilities?	Yes, on-site parking is available on a limited basis, and spaces are allocated on a first-come, first-served policy. [VERIFY]	High
General Information	Are there meeting and conference rooms available at Leonardo Hotel Nottingham?	Yes, the property offers meeting and conference facilities suitable for various corporate or private events.	Medium
General Information	Is Leonardo Hotel Nottingham fully wheelchair-accessible?	Yes, common areas and select guest rooms are designed to accommodate those with mobility needs.	Medium
General Information	Does Leonardo Hotel Nottingham offer early baggage storage on arrival?	Yes, the property provides secure storage for luggage prior to check-in and after check-out.	Medium
Accommodation & Room Services	Do all rooms at Leonardo Hotel Nottingham include air-conditioning and heating?	Yes, each room features heating and air-conditioning controls for individual comfort.	High
Accommodation & Room Services	Does Leonardo Hotel Nottingham provide coffee and tea-making facilities in each room?	Yes, complimentary coffee and tea-making amenities are provided in every guest room.	High
Accommodation & Room Services	Are hairdryers and ironing boards available in the rooms at Leonardo Hotel Nottingham?	Yes, a hairdryer is included, and ironing boards are offered upon request to ensure guest convenience.	High
Accommodation & Room Services	Can guests request extra pillows or hypoallergenic bedding at Leonardo Hotel Nottingham?	Yes, the housekeeping team can supply additional or hypoallergenic bedding upon availability.	Medium
Accommodation & Room Services	Is there a minibar or small fridge in the rooms at Leonardo Hotel Nottingham?	Currently, standard rooms do not include a minibar, though small fridges may be provided in select room types. [VERIFY]	Medium
Accommodation & Room Services	Does Leonardo Hotel Nottingham offer 24-hour room service?	Yes, a round-the-clock room service menu is available for added convenience.	High
Accommodation & Room Services	Are USB charging sockets available in the rooms at Leonardo Hotel Nottingham?	Yes, some rooms are equipped with USB charging points, and adapters can be requested if needed. [VERIFY]	Medium
Accommodation & Room Services	Can guests arrange for laundry and dry-cleaning services at Leonardo Hotel Nottingham?	Yes, laundry and dry-cleaning services are offered upon request through the front desk.	Medium
Accommodation & Room Services	Does Leonardo Hotel Nottingham provide complimentary toiletries in every room?	Yes, essential toiletries are supplied in all rooms for guest comfort.	High
Food & Beverage	Does Leonardo Hotel Nottingham serve a buffet breakfast each morning?	Yes, a daily breakfast buffet is served, featuring a variety of hot and cold options.	High
Food & Beverage	What are the breakfast hours at Leonardo Hotel Nottingham?	Breakfast is typically available from early morning until mid-morning, though timings can vary slightly by day. [VERIFY]	High
Food & Beverage	Does Leonardo Hotel Nottingham offer vegetarian or vegan breakfast options?	Yes, the culinary team can accommodate plant-based requests to suit vegetarian or vegan preferences.	High
Food & Beverage	Is there a bar at Leonardo Hotel Nottingham open to non-residents?	Yes, the bar welcomes both in-house and external guests, fostering a friendly atmosphere. [VERIFY]	Medium
Food & Beverage	Does Leonardo Hotel Nottingham accommodate gluten-free or other dietary restrictions?	Yes, with advance notice, the kitchen is prepared to handle gluten-free and various special dietary needs.	Medium
Food & Beverage	Are late-night snacks available through room service at Leonardo Hotel Nottingham?	Yes, a selection of late-night snacks is accessible via room service for guests seeking refreshments after hours. [VERIFY]	Medium
Food & Beverage	Can children dine in the bar area at Leonardo Hotel Nottingham?	Currently, there is no strict age restriction, but adult supervision and local licensing guidelines apply. [VERIFY]	Low
Food & Beverage	Does Leonardo Hotel Nottingham offer lunch and dinner service on-site?	Yes, the property provides lunch and dinner options, serving a menu of dishes throughout the day and evening.	Medium
Food & Beverage	Is an afternoon tea experience available at Leonardo Hotel Nottingham?	No, a formal afternoon tea service is not routinely offered. [VERIFY]	Low
Policies & Terms	What is the minimum age required to check in at Leonardo Hotel Nottingham?	Guests must typically be at least 18 years old to register for a room. [VERIFY]	High
Policies & Terms	Does Leonardo Hotel Nottingham allow pets in the rooms?	Yes, small pets may be permitted, subject to prior arrangement and possible additional charges. [VERIFY]	Medium
Policies & Terms	Are there any smoking areas at Leonardo Hotel Nottingham, or is it entirely non-smoking?	The property is completely non-smoking, and smoking is not allowed in any indoor areas.	High
Policies & Terms	Does Leonardo Hotel Nottingham require a security deposit or pre-authorisation upon check-in?	Yes, a credit card pre-authorisation or cash deposit may be requested to cover incidentals.	High
Policies & Terms	What is the cancellation policy at Leonardo Hotel Nottingham for standard bookings?	Currently, standard bookings commonly allow free cancellation until a specified deadline, though terms may vary by rate. [VERIFY]	High
Policies & Terms	Does Leonardo Hotel Nottingham allow express check-in and check-out procedures?	Yes, an expedited check-in and check-out process is available for added convenience.	Medium
Policies & Terms	Is free cancellation offered for bookings at Leonardo Hotel Nottingham?	Yes, some rates provide free cancellation if canceled before the specified cutoff time, while others may be non-refundable. [VERIFY]	Medium
Policies & Terms	Can guests request an early check-in or late check-out at Leonardo Hotel Nottingham?	Yes, early arrivals and late departures can be arranged based on availability and may incur additional charges.	High
Policies & Terms	Does Leonardo Hotel Nottingham have specific group booking conditions?	Yes, group reservations can involve special policies or contractual terms. [VERIFY]	Medium
Location & Transportation	How far is Leonardo Hotel Nottingham from Nottingham Train Station?	The property is situated within a short walk of about five minutes from the train station.	High
Location & Transportation	Is Leonardo Hotel Nottingham within walking distance of the city centre and local attractions?	Yes, the location is conveniently close to the city centre and popular tourist spots, easily reachable on foot.	High
Location & Transportation	Does Leonardo Hotel Nottingham provide an airport shuttle service to East Midlands Airport?	No, the property does not operate a direct airport shuttle, though taxis or public transport are recommended.	Medium
Location & Transportation	How long does it take to drive from Leonardo Hotel Nottingham to East Midlands Airport?	A typical drive is around 25 to 30 minutes, depending on traffic conditions.	Medium
Location & Transportation	Are there taxi or car-hire services readily available near Leonardo Hotel Nottingham?	Yes, taxis are readily accessible, and car-hire services are available in the area for convenient transportation.	Medium
Location & Transportation	Is Leonardo Hotel Nottingham close to Nottingham Castle or the Lace Market?	Yes, both Nottingham Castle and the Lace Market are within easy reach for sightseeing or exploration.	High
Location & Transportation	Can guests easily reach the Motorpoint Arena from Leonardo Hotel Nottingham?	Yes, the arena is located nearby, and guests often walk or use local transport to get there.	Medium
Location & Transportation	Does Leonardo Hotel Nottingham offer secure bicycle storage for guests?	Currently, secure bicycle storage is not guaranteed, and guests may wish to inquire about alternatives. [VERIFY]	Low
Location & Transportation	Is on-site parking limited at Leonardo Hotel Nottingham, and are there alternative options nearby?	Yes, on-site parking is limited, and additional public parking facilities can be found nearby if needed.	High
Activities & Entertainment	Does Leonardo Hotel Nottingham feature an indoor swimming pool for guests?	No, there is no indoor swimming pool at this property. [VERIFY]	Medium
Activities & Entertainment	Are spa or massage treatments available at Leonardo Hotel Nottingham?	No, spa or massage services are not offered on-site. [VERIFY]	Medium
Activities & Entertainment	Does Leonardo Hotel Nottingham offer a fitness center or gym classes?	Yes, there is a small fitness area, though organized gym classes are not provided. [VERIFY]	Medium
Activities & Entertainment	Is there a sauna or steam room at Leonardo Hotel Nottingham?	No, sauna or steam room facilities are not part of the amenities at this time. [VERIFY]	Low
Activities & Entertainment	Can children access the leisure facilities at Leonardo Hotel Nottingham?	Yes, children are permitted with adult supervision in any available leisure areas. [VERIFY]	Low
Activities & Entertainment	Does Leonardo Hotel Nottingham arrange guided city tours or local excursions?	No, the property does not arrange official tours, but the front desk can offer advice and referrals. [VERIFY]	Low
Activities & Entertainment	Are there any evening entertainment or live music events at Leonardo Hotel Nottingham?	Currently, no regular on-site entertainment is scheduled, though occasional events may occur. [VERIFY]	Medium
Activities & Entertainment	Does Leonardo Hotel Nottingham have a rooftop terrace with city views?	No, there is no rooftop terrace available at this location. [VERIFY]	Medium
Activities & Entertainment	Can guests purchase tickets to local attractions directly at Leonardo Hotel Nottingham?	Yes, the reception desk can assist with ticket bookings for certain local attractions and events. [VERIFY]	Medium
