Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Mannheim City Center offer complimentary Wi-Fi throughout the property?	Yes, complimentary high-speed Wi-Fi is available in all rooms and public areas. [VERIFY]	High
General Information	Is the front desk at Leonardo Hotel Mannheim City Center staffed 24 hours a day?	Yes, reception operates 24 hours a day, providing assistance at any time. [VERIFY]	High
General Information	What are the standard check-in and check-out times at Leonardo Hotel Mannheim City Center?	Check-in starts at 15:00 and check-out is required by 12:00 noon. [VERIFY]	High
General Information	Does Leonardo Hotel Mannheim City Center provide on-site parking for hotel guests?	Yes, an underground garage is available on site for a daily fee. [VERIFY]	High
General Information	Are meeting and conference rooms available at Leonardo Hotel Mannheim City Center?	Yes, several fully equipped meeting and conference rooms can be reserved in advance. [VERIFY]	High
General Information	Does Leonardo Hotel Mannheim City Center have multilingual staff available?	Yes, the team speaks German, English and additional languages to assist international guests. [VERIFY]	Medium
General Information	Is Leonardo Hotel Mannheim City Center considered family-friendly?	Yes, family rooms, baby cots and child-friendly amenities make the property suitable for families. [VERIFY]	Medium
General Information	Does Leonardo Hotel Mannheim City Center offer facilities for guests with reduced mobility?	Yes, accessible guest rooms, step-free entrances and elevators are available for reduced-mobility guests. [VERIFY]	Medium
General Information	Does Leonardo Hotel Mannheim City Center operate as a non-smoking hotel?	Yes, all guestrooms and indoor public areas are designated non-smoking; outdoor areas are provided. [VERIFY]	Medium
General Information	How many guest rooms are there at Leonardo Hotel Mannheim City Center?	The hotel offers 148 contemporary guest rooms and suites. [VERIFY]	Low
Accommodation & Room Services	Do rooms at Leonardo Hotel Mannheim City Center feature air-conditioning?	Yes, every guest room is equipped with individually controlled air-conditioning. [VERIFY]	High
Accommodation & Room Services	Does Leonardo Hotel Mannheim City Center provide tea- and coffee-making facilities in all rooms?	Yes, a kettle with complimentary tea and coffee supplies is provided in every room. [VERIFY]	High
Accommodation & Room Services	Is a minibar available in the rooms at Leonardo Hotel Mannheim City Center?	Yes, each room contains a stocked minibar that is replenished regularly. [VERIFY]	High
Accommodation & Room Services	Are baby cots or cribs available at Leonardo Hotel Mannheim City Center?	Yes, baby cots are available free of charge on request and subject to availability. [VERIFY]	High
Accommodation & Room Services	Does Leonardo Hotel Mannheim City Center provide laundry and dry-cleaning services?	Yes, same-day laundry and professional dry-cleaning services can be arranged for a fee. [VERIFY]	High
Accommodation & Room Services	Are ironing facilities available at Leonardo Hotel Mannheim City Center?	Yes, an iron and ironing board can be delivered to the room on request. [VERIFY]	Medium
Accommodation & Room Services	Does Leonardo Hotel Mannheim City Center supply complimentary toiletries in guest bathrooms?	Yes, bathrooms are stocked with complimentary toiletries including soap, shampoo and shower gel. [VERIFY]	Medium
Accommodation & Room Services	Is daily housekeeping included at Leonardo Hotel Mannheim City Center?	Yes, rooms are tidied and serviced by housekeeping staff on a daily basis. [VERIFY]	Medium
Accommodation & Room Services	Are rollaway or extra beds available at Leonardo Hotel Mannheim City Center?	Yes, rollaway beds can be provided in selected room categories for an additional charge. [VERIFY]	Medium
