Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel Berlin City South offer complimentary Wi-Fi in all areas?	Yes, complimentary Wi-Fi is available throughout the property.	High
General Information	Is the reception at Leonardo Boutique Hotel Berlin City South staffed around the clock?	Yes, the reception is staffed 24 hours a day.	High
General Information	What are the standard check-in and check-out times at Leonardo Boutique Hotel Berlin City South?	Check-in starts at 15:00, and check-out ends at 12:00.	High
General Information	Does Leonardo Boutique Hotel Berlin City South have on-site parking facilities?	Yes, on-site parking is available for a fee.	High
General Information	Is Leonardo Boutique Hotel Berlin City South fully accessible for guests with restricted mobility?	Yes, the property provides wheelchair-accessible rooms and facilities for guests with restricted mobility.	Medium
General Information	Does Leonardo Boutique Hotel Berlin City South feature meeting and conference rooms for business events?	Yes, meeting and conference facilities are available for business events.	Medium
General Information	Are multilingual staff members available at Leonardo Boutique Hotel Berlin City South?	Yes, multilingual staff members are on hand to assist guests.	Medium
General Information	Is there a family-friendly environment at Leonardo Boutique Hotel Berlin City South?	Yes, families are welcomed, and a child-friendly atmosphere is offered.	Low
General Information	Are there smoking areas at Leonardo Boutique Hotel Berlin City South, or is it entirely non-smoking?	No, it is a 100% non-smoking property.	Medium
Accommodation & Room Services	Which room types are available at Leonardo Boutique Hotel Berlin City South?	Comfort Rooms and Superior Rooms are available, each offering modern amenities.	High
Accommodation & Room Services	Does Leonardo Boutique Hotel Berlin City South provide air conditioning and heating in guest rooms?	Yes, all guest rooms include air conditioning and heating.	High
Accommodation & Room Services	Does every room at Leonardo Boutique Hotel Berlin City South include tea and coffee-making facilities?	Yes, each room is equipped with tea and coffee-making facilities.	Medium
Accommodation & Room Services	Are minibars or mini-fridges provided in the rooms of Leonardo Boutique Hotel Berlin City South?	Yes, each room features a minibar.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel Berlin City South supply a hairdryer and complimentary toiletries in all bathrooms?	Yes, a hairdryer and complimentary toiletries are provided in every bathroom.	High
Accommodation & Room Services	Is it possible to request extra pillows or hypoallergenic bedding at Leonardo Boutique Hotel Berlin City South?	Yes, extra pillows or hypoallergenic bedding can be arranged upon request.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel Berlin City South offer laundry or dry-cleaning services?	Yes, laundry and dry-cleaning services are available upon request.	Medium
Accommodation & Room Services	Can guests arrange for an iron and ironing board at Leonardo Boutique Hotel Berlin City South?	Yes, an iron and ironing board can be provided on request.	Medium
Accommodation & Room Services	Is there 24-hour room service available at Leonardo Boutique Hotel Berlin City South?	No, 24-hour room service is not currently available.	Low
Food & Beverage	What are the breakfast hours at Leonardo Boutique Hotel Berlin City South?	Breakfast is served from 06:30 to 10:30 on weekdays and 07:00 to 11:00 on weekends and public holidays.	High
Food & Beverage	Does Leonardo Boutique Hotel Berlin City South serve a breakfast buffet, and are there vegetarian or vegan options?	Yes, a breakfast buffet is served, and vegetarian or vegan options are available.	High
