Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Dresden Altstadt operate a 24-hour front desk?	Yes, the reception is staffed 24 hours a day, allowing check-in, check-out and assistance at any time.	High
General Information	Does Leonardo Hotel Dresden Altstadt offer complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is provided in all guestrooms and public areas.	High
General Information	What are the standard check-in and check-out times at Leonardo Hotel Dresden Altstadt?	Check-in begins at 15:00, while check-out is required by 12:00 noon on the day of departure.	High
General Information	Does Leonardo Hotel Dresden Altstadt provide on-site parking for guests and what is the nightly rate?	Yes, an underground on-site car park is available for guests at a charge of approximately €15 per night.	High
General Information	Is Leonardo Hotel Dresden Altstadt fully accessible for guests with reduced mobility?	Yes, step-free entrances, elevators and fully equipped accessible rooms ensure comfortable access for guests with reduced mobility.	High
General Information	Does Leonardo Hotel Dresden Altstadt employ multilingual staff at reception?	Yes, reception staff speak German and English and can assist in additional languages if required.	Medium
General Information	How many meeting or conference rooms are available at Leonardo Hotel Dresden Altstadt?	The property provides three fully equipped meeting rooms accommodating up to about 80 participants.	Medium
General Information	Does Leonardo Hotel Dresden Altstadt offer laundry and dry-cleaning services?	Yes, same-day laundry, dry-cleaning and ironing services can be arranged through the reception desk.	Medium
General Information	Is complimentary luggage storage available at Leonardo Hotel Dresden Altstadt before check-in or after check-out?	Yes, guests may store their luggage free of charge both prior to check-in and after check-out.	Medium
Accommodation & Room Services	Are the guestrooms at Leonardo Hotel Dresden Altstadt equipped with individual climate control?	Yes, every guestroom features individually adjustable air-conditioning and heating controls.	High
Accommodation & Room Services	Does every room at Leonardo Hotel Dresden Altstadt feature a minibar or small refrigerator?	Yes, all rooms contain a minibar stocked with chilled beverages.	High
Accommodation & Room Services	Are tea and coffee making facilities provided in the rooms of Leonardo Hotel Dresden Altstadt?	Yes, each room includes an electric kettle with complimentary tea and coffee supplies.	Medium
Accommodation & Room Services	Does Leonardo Hotel Dresden Altstadt supply a hairdryer in every bathroom?	Yes, a wall-mounted hairdryer is provided in every private bathroom.	High
Accommodation & Room Services	Are complimentary toiletries replenished daily at Leonardo Hotel Dresden Altstadt?	Yes, housekeeping refreshes the complimentary toiletries in guest bathrooms on a daily basis.	Medium
Accommodation & Room Services	Can guests request hypoallergenic bedding or extra pillows at Leonardo Hotel Dresden Altstadt?	Yes, hypoallergenic bedding, extra pillows or blankets can be supplied upon request without surcharge.	Medium
Accommodation & Room Services	Are ironing boards and irons available at Leonardo Hotel Dresden Altstadt?	Yes, irons and ironing boards are available from reception and can be delivered to the room.	Medium
Accommodation & Room Services	Do the rooms at Leonardo Hotel Dresden Altstadt feature sound-proof windows?	Yes, guestrooms are fitted with sound-insulated windows to minimise outside noise.	Medium
Accommodation & Room Services	Are there fully accessible guestrooms at Leonardo Hotel Dresden Altstadt for wheelchair users?	Yes, several guestrooms are purpose-built for wheelchair users, offering wider doors and roll-in showers.	High
Food & Beverage	Does Leonardo Hotel Dresden Altstadt serve a daily breakfast buffet?	Yes, a varied hot and cold breakfast buffet is served every morning in the restaurant.	High
Food & Beverage	What are the breakfast service hours at Leonardo Hotel Dresden Altstadt?	Breakfast is available Monday–Friday from 06:30 to 10:30 and on weekends or public holidays until 11:00.	Medium
Food & Beverage	Are vegetarian and vegan options available at the breakfast buffet of Leonardo Hotel Dresden Altstadt?	Yes, the buffet includes vegetarian and vegan choices, and additional items can be prepared on request.	Medium
Food & Beverage	Can Leonardo Hotel Dresden Altstadt provide gluten-free dishes on request?	Yes, gluten-free bread and other items are available; guests should advise the hotel in advance.	Medium
Food & Beverage	Does Leonardo Hotel Dresden Altstadt have an on-site bar or lounge?	Yes, a cosy lobby bar offers drinks, coffee specialities and light snacks throughout the day.	High
Food & Beverage	Are late-night snacks offered at the bar of Leonardo Hotel Dresden Altstadt?	Yes, the bar menu includes light late-night snacks until the closing hour. [VERIFY]	Low
Food & Beverage	Is the bar at Leonardo Hotel Dresden Altstadt open to non-resident guests?	Yes, non-resident visitors are welcome to drop in for drinks during the bar’s opening hours.	Low
Food & Beverage	Does Leonardo Hotel Dresden Altstadt offer room service for food and beverages?	Yes, room service is available for selected food and drink items during designated hours.	Medium
Policies & Terms	What is the pet policy at Leonardo Hotel Dresden Altstadt, and is there a surcharge?	Pets are welcome upon prior notice; a supplement of approximately €15 per pet per night applies.	High
Policies & Terms	Is Leonardo Hotel Dresden Altstadt a non-smoking property?	Yes, the entire interior is non-smoking, with smoking permitted only in designated outdoor areas.	High
Policies & Terms	Does Leonardo Hotel Dresden Altstadt offer free cancellation, and what is the deadline for penalty-free cancellation?	Flexible rates may be cancelled free of charge until 18:00 on the day of arrival; non-refundable rates follow different terms.	Medium
Policies & Terms	Does Leonardo Hotel Dresden Altstadt require a security deposit or pre-authorization at check-in?	A credit card pre-authorisation for incidental charges is taken at check-in. [VERIFY]	Low
Policies & Terms	What is the minimum age to check in unaccompanied at Leonardo Hotel Dresden Altstadt?	Guests must be at least 18 years old to check in without an accompanying adult.	Low
Policies & Terms	Does Leonardo Hotel Dresden Altstadt provide express check-in and express check-out options?	Yes, express check-in and express check-out can be arranged to speed up formalities.	Low
Policies & Terms	Can guests request early check-in or late check-out at Leonardo Hotel Dresden Altstadt?	Yes, early arrival or late departure can be granted subject to availability and a possible fee.	Medium
Policies & Terms	Are there special terms for group bookings at Leonardo Hotel Dresden Altstadt?	Yes, bookings of ten or more rooms are treated as groups and are governed by separate contract conditions.	Low
Policies & Terms	Does Leonardo Hotel Dresden Altstadt allow baggage storage after check-out?	Yes, guests may leave luggage at reception after check-out for the remainder of the day free of charge.	Medium
Location & Transportation	How far is Leonardo Hotel Dresden Altstadt from Dresden Mitte railway station?	The hotel stands roughly 300 metres from Dresden Mitte station, a comfortable three-to-five-minute walk.	High
Location & Transportation	What is the walking distance from Leonardo Hotel Dresden Altstadt to the Zwinger Palace?	The Zwinger complex is about 750 metres away, reachable on foot in approximately ten minutes.	High
Location & Transportation	Is the International Congress Center Dresden within walking distance of Leonardo Hotel Dresden Altstadt?	Yes, the congress centre lies around 400 metres away and can be reached in five minutes on foot.	High
Location & Transportation	How long does it take to reach Dresden Airport from Leonardo Hotel Dresden Altstadt by public transport?	The S-Bahn S2 from nearby Dresden Mitte reaches the airport in roughly 22–25 minutes door to door.	Medium
Location & Transportation	Does Leonardo Hotel Dresden Altstadt arrange an airport shuttle service for guests?	No, the property does not run its own shuttle, but reception will gladly book a taxi or shared transfer.	Medium
Location & Transportation	Which tram or bus lines stop near Leonardo Hotel Dresden Altstadt?	Tram lines 6, 10 and 11 as well as bus 94 stop at Kongresszentrum, less than 200 metres away. [VERIFY]	Low
Location & Transportation	Does Leonardo Hotel Dresden Altstadt provide assistance with taxi or car-hire reservations?	Yes, the front desk can order taxis and organise car-rental arrangements on behalf of guests.	Medium
Location & Transportation	Is on-site car parking at Leonardo Hotel Dresden Altstadt secured or covered?	Yes, vehicles are parked in a covered, access-controlled underground garage beneath the building.	Low
Location & Transportation	Are bicycle storage facilities available at Leonardo Hotel Dresden Altstadt for guests who bring their own bikes?	Yes, a locked bicycle storage room is provided free of charge to resident guests.	Low
Activities & Entertainment	Does Leonardo Hotel Dresden Altstadt offer concierge or ticket services for local attractions?	Yes, the reception team acts as concierge, booking tickets and providing local information daily.	Medium
Activities & Entertainment	Can guests rent bicycles directly at Leonardo Hotel Dresden Altstadt for sightseeing?	Yes, bicycles are available to hire from the hotel for an additional daily fee.	Medium
Activities & Entertainment	Does Leonardo Hotel Dresden Altstadt have an on-site fitness centre?	No, the property does not feature a fitness centre or gym facilities.	High
Activities & Entertainment	Are jogging or cycling route maps along the River Elbe available at Leonardo Hotel Dresden Altstadt?	Yes, complimentary maps highlighting popular Elbe river routes are available from reception. [VERIFY]	Low
Activities & Entertainment	Does the lobby bar at Leonardo Hotel Dresden Altstadt screen live sports events?	Yes, the lobby bar shows major live sports broadcasts on its television. [VERIFY]	Low
Activities & Entertainment	Is a business corner with computer terminals available at Leonardo Hotel Dresden Altstadt?	Yes, a 24-hour business corner in the lobby offers a computer workstation and printer.	Medium
Activities & Entertainment	Does Leonardo Hotel Dresden Altstadt arrange guided walking tours of Dresden upon request?	Yes, guided city walking tours can be organised through the front desk on prior request.	Low
Activities & Entertainment	Are there seasonal cultural events hosted at Leonardo Hotel Dresden Altstadt?	Currently, the hotel does not host regular seasonal cultural events on site. [VERIFY]	Low
Activities & Entertainment	Does Leonardo Hotel Dresden Altstadt provide board games or entertainment options for children?	Board games can be borrowed from reception to entertain children in guestrooms or the lobby. [VERIFY]	Low
