Category	Product Question	Answer	Frequency Level
General Information	Where is Hotel Gotham located, and does it occupy a historic building in Manchester?	It is located on King Street in central Manchester and occupies a historic former bank. The property showcases striking Art Deco architecture, creating a theatrical yet refined ambience.	High
General Information	Does Hotel Gotham offer complimentary Wi-Fi throughout the property?	Yes, complimentary Wi-Fi is offered throughout the hotel, ensuring guests can stay connected in all areas.	High
General Information	What are the front desk hours at Hotel Gotham?	The front desk operates 24 hours a day, allowing guests to receive assistance at any time.	Medium
General Information	Are multilingual staff available at Hotel Gotham for guest services?	Yes, multilingual staff members are on hand to assist international travelers and ensure effective communication.	Medium
General Information	Does Hotel Gotham provide on-site parking or valet parking options?	Yes, valet service is available, and nearby parking facilities are recommended for those preferring self-parking.	High
General Information	Is Hotel Gotham family-friendly and suitable for guests of all ages?	Yes, families are welcome, and accommodations are designed to be comfortable for guests of different ages.	Medium
General Information	Does Hotel Gotham offer meeting or conference facilities for business events?	Yes, stylish meeting and event spaces are available, complete with modern technology for corporate gatherings.	Medium
General Information	What is the standard check-in and check-out time at Hotel Gotham?	Check-in typically begins at 3:00 PM, and check-out is usually by 11:00 AM, ensuring a smooth transition for arrivals and departures.	High
General Information	Does Hotel Gotham provide concierge assistance for local recommendations?	Yes, a dedicated concierge team offers local tips and can help with everything from reservations to tickets.	Medium
Accommodation & Room Services	What type of rooms and suites does Hotel Gotham offer, and are they all Art Deco-inspired?	A variety of rooms and suites is available, each featuring Art Deco-inspired décor, plush linens, and modern comforts.	High
Accommodation & Room Services	Does Hotel Gotham provide 24-hour room service for all guest rooms?	Yes, 24-hour room service is offered so guests can enjoy dining at any time.	High
Accommodation & Room Services	Are the rooms at Hotel Gotham equipped with tea and coffee-making facilities?	Yes, each room includes a kettle and coffee-making amenities for convenient hot beverages.	High
Accommodation & Room Services	Does Hotel Gotham offer minibars or private in-room bars with premium selections?	Yes, minibars or private bars are stocked with premium beverages and snacks for guests’ enjoyment.	Medium
Accommodation & Room Services	Is there a turndown service available at Hotel Gotham, and does it include special amenities?	Yes, a nightly turndown service is provided, often complemented by a small treat or amenity for extra comfort.	Medium
Accommodation & Room Services	Are hypoallergenic pillows and bedding available upon request at Hotel Gotham?	Yes, hypoallergenic bedding can be requested to ensure a comfortable sleep environment for sensitive guests.	Low
Accommodation & Room Services	Does Hotel Gotham provide laundry and dry-cleaning services for guests?	Yes, laundry and dry-cleaning services are available, offering quick turnaround for guests’ convenience.	Medium
Accommodation & Room Services	Are USB charging outlets or international power sockets provided in the rooms at Hotel Gotham?	Yes, rooms feature USB charging ports and universal sockets, allowing guests to power devices from various regions.	Medium
Accommodation & Room Services	What in-room entertainment options are available at Hotel Gotham, such as smart TVs or streaming apps?	Rooms are equipped with contemporary televisions and access to popular streaming platforms for on-demand entertainment.	Medium
Food & Beverage	Does Hotel Gotham feature a signature restaurant on-site for breakfast, lunch, and dinner?	Yes, Honey Restaurant serves breakfast, lunch, and dinner, presenting a refined dining experience in Art Deco style.	High
Food & Beverage	What are the breakfast hours at Hotel Gotham, and is breakfast included with every booking?	Breakfast generally runs from 7:00 AM to 10:30 AM on weekdays and 7:30 AM to 11:00 AM on weekends. Inclusion depends on the chosen rate plan.	High
Food & Beverage	Are vegetarian or vegan menu options available at Hotel Gotham’s Honey Restaurant?	Yes, vegetarian and vegan options are offered, carefully prepared to maintain both flavor and dietary considerations.	Medium
Food & Beverage	Does Hotel Gotham accommodate guests with gluten-free or other specific dietary requirements?	Yes, dietary requests are accommodated with advance notice, ensuring meals meet various special requirements.	Medium
Food & Beverage	Is the rooftop bar at Hotel Gotham known as Club Brass open to non-residents?	No, it primarily serves members and overnight guests, though exceptions may be made if arranged in advance. [VERIFY]	High
Food & Beverage	Does Hotel Gotham serve afternoon tea, and do guests need a reservation in advance?	Yes, afternoon tea is served daily, and booking in advance is recommended to secure preferred seating times.	Medium
Food & Beverage	Are children permitted in the dining venues at Hotel Gotham, including Club Brass?	Yes, children are welcome in most dining areas, though age restrictions or special timings may apply at the rooftop bar. [VERIFY]	Low
Food & Beverage	Can guests order late-night snacks through room service at Hotel Gotham?	Yes, late-night dining is available through 24-hour room service, ensuring refreshments throughout the evening.	Medium
Food & Beverage	Does Hotel Gotham offer any signature cocktails or themed drinks reflecting its Art Deco heritage?	Yes, a curated cocktail menu features drinks inspired by the building’s Art Deco design and theatrical flair.	Low
Policies & Terms	What is Hotel Gotham’s policy on pets, and are there any additional charges?	Pets are permitted in select rooms, and an extra fee may apply to cover deep cleaning and ensure the comfort of all guests.	High
Policies & Terms	Does Hotel Gotham allow smoking in guest rooms or public areas?	No, smoking is strictly prohibited throughout all guest rooms and common areas.	High
Policies & Terms	What is the minimum age requirement for check-in at Hotel Gotham?	Guests must be 18 or older to check in, ensuring a responsible registration process.	High
Policies & Terms	Is there a pre-authorization or security deposit required upon arrival at Hotel Gotham?	Yes, a credit card pre-authorization or cash deposit is commonly requested at check-in for incidentals.	Medium
Policies & Terms	Does Hotel Gotham offer free cancellation, and what is the deadline for making changes?	Cancellation policies vary, but most rates permit free cancellation up to 24 or 48 hours before arrival. [VERIFY]	High
Policies & Terms	Can guests request early check-in or late check-out at Hotel Gotham, and are fees involved?	Yes, early check-in or late check-out may be possible for an additional charge, subject to availability.	Medium
Policies & Terms	Does Hotel Gotham provide baggage storage on arrival or departure days?	Yes, secure luggage storage is offered, allowing guests to explore without their bags before check-in or after check-out.	Medium
Policies & Terms	Are there special terms for group bookings at Hotel Gotham, such as weddings or corporate events?	Yes, group bookings are available with customized arrangements and rates for events or larger gatherings. [VERIFY]	Low
Policies & Terms	Does Hotel Gotham offer express check-in and check-out options?	Yes, expedited procedures are in place for those seeking a swift arrival and departure process.	Low
Location & Transportation	Where is Hotel Gotham located in Manchester, and which landmarks are nearby?	It is situated on King Street in the heart of Manchester, close to attractions like Manchester Arndale and the Royal Exchange Theatre.	High
Location & Transportation	How far is Hotel Gotham from Manchester Piccadilly Train Station, and does the hotel arrange transfers?	It is around a 15-minute walk or a quick taxi ride from Manchester Piccadilly; transfers can be arranged upon request.	High
Location & Transportation	Is there an airport shuttle service available from Manchester Airport to Hotel Gotham?	No dedicated airport shuttle is provided, but private transfers or taxis can be booked through the front desk.	Medium
Location & Transportation	How long does it take to walk from Hotel Gotham to popular attractions like Manchester Arndale or Deansgate?	Manchester Arndale is around five minutes away on foot, and Deansgate is roughly a ten-minute stroll, depending on pace.	Medium
